EVTNAME5002;스탠리 컵
EVTOPTA14130;열린 마음을 유지하도록 노력하라.
EVTOPTB14130;우리가 할 수 있는 일은 없다.
EVTOPTC14130;유감스러운 일이다.
EVTOPTD14130;불쾌한 일이긴 하지만, 우리는 제한적인 수용 이상을 고려할 수 없다.
EVTOPTE14130;우리가 할 수 있는 일을 할 것이며, 이는 용납되지 않을 것이다.
EVTNAME14140;성스러운 장소
EVTNAME14140_sub;종교 정책과 국가의 후원
EVTDESC14140;공금을 사용한 지역 교회 개축이 $COUNTRY$의 지방 선거에서 뜨거운 화제가 되었습니다. 이 계획의 지지자들은 종교에 대한 어느 정도의 정부 지원이 사람들 사이의 신앙을 보존하여 혁명 세력에 대항하는 지역적 전위대가 되는 데 도움이 될 것이라고 주장하는 반면, 반대자들은 국가가 사적인 신앙 문제에 개입해서는 안 된다고 주장합니다.
EVTOPTA14140;교회는 당연히 개축되어야 한다!
EVTOPTB14140;문화적 중요성을 이유로 일부 자금 지원을 고려해볼 수 있다.
EVTOPTC14140;이 문제는 근본적으로 국민 주권에 맡겨져야만 한다.
EVTOPTD14140;우리는 원칙에 입각하여 그러한 계획을 반대해야 한다.
EVTOPTE14140;신은 죽었다
EVTNAME14150;이민 유입과 고용
EVTNAME14150_sub;지방 선거에서의 이민 유입 논쟁
EVTDESC14150;현재의 이민자 유입으로 인해 더 많은 일자리에 대한 수요가 생겨났습니다. 이민자 권리 옹호자들은 귀화한 새 시민들이 출생에 의한 거주자와 동등한 권리를 부여받아야 한다고 요구하고 있습니다. 이 상황은 지방 선거에서의 논쟁거리가 되었습니다.
EVTOPTA14150;그들에게는 아무것도 요구할 권리가 없다.
EVTOPTB14150;왜 그들이 같은 권리를 가져야 하는가?
EVTOPTC14150;우리가 무엇을 할 수 있을지 알아보겠다.
EVTOPTD14150;우리는 이 문제를 해결할 것이다.
EVTOPTE14150;쉽지는 않겠지만, 우리가 할 수 있는 모든 것을 다할 것이다.
EVTNAME14160;이민 문제
EVTNAME14160_sub;지방 선거에서 논의되는 거주 정책
EVTDESC14160;$COUNTRY$의 일부 주민들은 출신을 이유로 국가가 자신들을 차별한다고 느끼고 있으며, 자유주의자들이 이민자와 외국인의 권리가 존중받아야 한다고 주장함에 따라 이는 지방 선거에서 논쟁거리가 되었습니다. 반대자들과 대다수 여론은 하루아침에 $COUNTRY_ADJ$ 국민이 될 수는 없으며, 귀화 과정에는 여러 세대는 아니더라도 최소 몇 년의 세월이 필요하다고 생각하는 듯합니다.
EVTOPTA14160;충성스러운 신민으로 입증될 때까지 제한적 시민권 부여
EVTOPTB14160;제한적 시민권 부여, 단 특정 예외 포함
EVTOPTC14160;제한적 시민권이 기본 원칙이 되어야 한다
EVTOPTD14160;모든 인간은 평등하게 창조되었다
EVTOPTE14160;알다시피, 나에게는 나만의 꿈이 있다...
EVTNAME14170;투표와 새로운 시민
EVTNAME14170_sub;시민권과 거주권 제한에 대한 논쟁
EVTDESC14170;자유주의자들이 이민자를 포함한 우리 사회 구성원 모두에게 선거권을 확대해야 한다고 주장함에 따라, 이민 제도는 $COUNTRY$의 지방 선거에서 주요 쟁점으로 떠올랐습니다. 과거의 특권이 박탈될 것을 두려워한 탓인지 다른 이들은 확신하지 못하고 있습니다. 선거가 다가옴에 따라 $COUNTRY$ 내에서 논쟁이 격화되고 있습니다.
EVTOPTA14170;우리는 끊임없이 자유를 확대하기 위해 노력해야 한다!
EVTOPTB14170;약간의 자격 요건만 갖춘 완전한 시민권이 나아갈 길이다
EVTOPTC14170;우리는 본질적으로 완전한 시민권을 지지한다
EVTOPTD14170;안타깝게도 완전한 시민권은 선택지가 아니다
EVTOPTE14170;이민자라고!? *나의* $COUNTRY$에!?
EVTNAME14180;전쟁과 평화
EVTNAME14180_sub;선거 운동에서 논의되는 군국주의
EVTDESC14180;다가오는 선거를 앞두고 $COUNTRY$에서 진행되는 논란의 핵심은 $COUNTRY$의 군사 및 국방 정책입니다. 이 국가는 외교 정책에 있어 오랫동안 매파적 성향의 보루였으며, 올해도 예외는 아닐 것으로 보입니다. 이번 투표에서도 호전주의 정책이 유권자들의 지지를 받을 것이 분명해 보이지만, 토론 분위기가 전환된다면 그 영향을 다소 줄일 수 있을지도 모릅니다.
EVTOPTA14180;맹세코, 전쟁으로!
EVTOPTB14180;우리에게는 강력한 군대가 필요하다.
EVTOPTC14180;국방 지출을 늘릴 필요가 없다
EVTOPTD14180;사실 우리는 삭감에 대해 생각하고 있었다...
EVTOPTE14180;어머니가 권총은 악마의 오른손이라 하셨다.
EVTNAME14190;병사들의 허기
EVTNAME14190_sub;지방 선거에서의 군사 및 국방 논의
EVTDESC14190;장군들은 병사들에게 보급되는 열악한 식량에 대해 불만을 제기하기 시작했으며 병사들의 식대에 더 많은 돈을 써야 한다고 요구하고 있습니다. 장군들은 빈약한 식단이 병사들의 사기를 떨어뜨린다고 주장하며, 더 나은 식량을 제공하여 이를 끌어올리기를 원합니다. 이러한 문제들은 $COUNTRY$의 많은 군인 가족들에게 중요한 화제가 되었습니다.
EVTOPTA14190;병사들에게는 더 나은 식량이 필요하다!
EVTOPTB14190;그들이 잘 싸우기 위해서는 더 나은 식량이 필요하다.
EVTOPTC14190;그들의 식량에 얼마나 더 투입할 수 있을지 알아보겠다.
EVTOPTD14190;이는 우리가 우선시해야 할 사안이 아니다.
EVTOPTE14190;아마도 우리는 병사 등 다른 부분에서 예산을 삭감해야 할 것이다...
EVTNAME14200;전쟁을 치르기에 너무 낡았는가?
EVTNAME14200_sub;$COUNTRY$에서 논의되는 군사 지출
EVTDESC14200;병사들의 무기 대부분이 마모되었다는 주요 보고서가 올라왔으며, 누군가 이를 점검하여 폐기해야 하는지 파악하기를 원하고 있습니다. 병사들에게 새로운 무기를 제공하는 데는 현재 군사 예산으로 감당할 수 있는 것보다 더 많은 비용이 소요될 것입니다.
EVTOPTA14200;비용이 많이 들 것 같군.
EVTOPTB14200;그거 없이도 싸울 수 없나?
EVTOPTC14200;우리가 그 문제에 대해 무언가 할 수 있을지도 모른다.
EVTOPTD14200;병사에게는 무기가 필요하다.
EVTOPTE14200;우리는 그들의 무기를 개량해야 한다.
EVTNAME14210;평화주의의 물결
REMOVE_EVTNAME14210_sub;온 $COUNTRY$가 외치는 것은 '평화에 기회를 주자!'입니다.
EVTDESC14210;평화주의 정서가 한동안 $COUNTRY$를 맴돌았으나, 다가오는 이번 선거에서는 이 지역의 평화주의 정서를 잘 활용할 수 있는 자가 선거일에 확실한 승자가 될 것으로 보입니다. 아직 풀리지 않은 유일한 의문은 선거 전 토론을 통해서 평화주의에 대한 공감이 어느 정도까지 유지될 것인가 하는 것입니다.
EVTOPTA14210;평화는 항상 승리한다!
EVTOPTB14210;폭력은 결코 해답이 아니다.
EVTOPTC14210;펜은 칼보다 강하다.
EVTOPTD14210;군대에 필요한 것은 총이지, 쓸데없는 잡담이 아니다
EVTOPTE14210;어쩌면 폭력이 해답일지도 모른다.
EVTNAME10270;자유주의 학생회
EVTDESC10270;'$COUNTRY$의 청년인 우리는 고대의 자유를 되찾기 위해 공통의 요구 아래 단결해야 한다. $COUNTRY$에 제2의 그리스를 세우자.'\n\n고대의 낭만주의적 자유 및 국가관에 영감을 받은 학생회가 주립 대학교의 급진파 청년들에 의해 결성되었습니다. 이들은 선거권 개혁과 일명 '$COUNTRY$ 고대의 전통적 자유'의 부활을 촉구하는 선언문을 발표했습니다. 이 대담하고 새로운 이념이 거세게 몰아침에 따라, 이 학생회는 캠퍼스 내에서 빠르게 대중 운동으로 자리잡고 있습니다.
EVTOPTA10270;그들이 의견을 표출하도록 두어야 한다
EVTOPTB10270;총장이 이 말도 안 되는 짓을 어떻게든 해결할 수 없나?
EVTNAME10280;재발견된 고전
EVTDESC10280;'페리클레스 시대의 아테네에 대해 읽을 때마다, 이 고대 사회의 진보성에 항상 놀라게 된다. 수천 년이 지난 지금, 나는 그때의 그들보다 덜 자유로운 사람이다.'\n\n19세기에는 고전에 대한 관심이 되살아났습니다. 로마와 그리스 등 많은 고대 사회는, 자유주의 사상가들이 현대에 구현하고자 했던 것과 같은 자유 전통의 초기 사례와 실험을 엿볼 수 있는 영감의 대상이 되었습니다. 지역의 개혁 클럽이 고대 문학의 일부 작품을 선별해 재출간했으며, 이는 $COUNTRY$의 교육받은 엘리트들 사이에서 크게 유행하고 있습니다.
EVTOPTA10280;솔직히, 그거보다 나은 할 일은 없소?
EVTOPTB10280;고전이 주목받는 것을 보니 좋군. 소크라테스의 대화록, 어떤가요?
EVTNAME10290;자유주의 작가
EVTDESC10290;'그럼에도 그는 $COUNTRY$의 자유로운 아들들의 생득권으로서 전통이 부여한 예로부터의 신선한 공기, 즉 자유를 박탈당한 인민의 궁핍함을 보며 눈물 흘렸다.'\n\n우리 국가에서 가장 칭송받는 작가 중 한 명이 최근 책을 출판했습니다. 비평가들은 이 책이 검열을 통과한 $COUNTRY_ADJ$ 정치 체제에 대한 역사상 가장 신랄한 규탄이라고 평가했습니다. 이 작가의 작품은 자유를 통렬하게 주장하며, 인민과 공화국의 권리를 옹호하고 구세계에 확립된 군주제 질서의 철폐를 촉구하고 있습니다.
EVTOPTA10290;기껏해야 한 지역에서만 인기 있게 만들도록 하라
EVTOPTB10290;이러한 목소리는 $COUNTRY$ 전역에서 들을 수 있어야 한다!
EVTNAME10300;상공회의소의 항의
EVTDESC10300;우리 주의 한 상공회의소가 지역 정부에 강력히 항의하며, 정부의 개입주의 경제 정책이 자유 시장의 근본 논리를 왜곡하여 지역 사업에 해를 끼친다고 불만을 표출했습니다. 프랑스 중농주의자들과 스코틀랜드 계몽주의자들의 자유무역 및 자유방임주의에 관한 계몽주의 출판물에 영감을 받은 상공회의소는 정부의 정책 변화를 요구하고 있으며, 그들이 적합하다고 생각하는 방식으로 사업을 수행하도록 내버려 둘 것을 요구하고 있습니다. 그들의 요구가 받아들여지지 않는다면, 이 문제를 전국적인 수준으로 키우겠다고 위협하고 있습니다.
EVTOPTA10300;지역 차원에서 고려할 수 있는 약간의 조정이 있을지도 모른다
EVTOPTB10300;뿌리 박힌 엘리트들의 정치적 요구에 굴복하기를 거부한다
EVTNAME10320;경제학 논고
EVTDESC10320;우리 대학의 한 자유주의 교수가 발표한 경제학 팸플릿이 $COUNTRY$ 및 해외의 자유주의계에서 진지한 주목을 받고 있습니다. 이 팸플릿은 자유시장 정서와 자유방임주의의 미덕을 유려한 어조로 주장하는 심오하고 작은 논고로, 이제 이 저자는 리카도나 스미스와 같은 권위자들과 나란히 언급되고 있습니다. 우리는 이 팸플릿을 거짓된 자유주의 선전물이라고 깎아내릴 수도 있지만, 한편으로는 그들의 말이 맞을지도 모릅니다?
EVTOPTA10320;당연히 우리는 이 출판물에 자부심을 가져야 해!
EVTOPTB10320;틀림없이, 이것은 노동자 계층을 착취하기 위해 만들어진 선전물일 뿐이다.
EVTNAME10330;차티스트 집회
EVTDESC10330;$COUNTRY_ADJ$ 차티스트 클럽 회원들이 우리 주 중 한 곳에서 더 넓은 대중 계층으로의 선거권 확대를 요구하는 집회를 조직했습니다. 표면적으로는 차분하고 비교적 질서정연하지만, 집회는 언제든 통제 불능 상태에 빠질 수 있습니다. 경찰은 개입할 태세를 갖추고 대기 중이며, 그들 중 일부는 이를 간절히 바라는 것처럼 보이기도 합니다.
EVTOPTA10330;그들의 조촐한 집회를 열게 내버려둬라.
EVTOPTB10330;경찰들이 이 혁명 선동가들을 마음대로 처리하게 하라
DIPLOMACY_INFAMY;악명: §Y$VALUE$§W
WARDIALOG_INFAMY;악명 $VALUE$
WARDIALOG_PRESTIGE;위신 $VALUE$
WARDIALOG_PEACECOST;평화 비용 $VALUE$
WARDIALOG_SELECT_COUNTRY;우측 목록에서 §Y국가§W를 선택하십시오
WARDIALOG_SELECT_STATE;우측 목록에서 §Y주§W를 선택하십시오
status_quo_desc;어느 쪽도 §Y전쟁 목표§W를 달성하지 못하도록 하며 전쟁 개입을 시도합니다
conquest_desc;단일 주 §Y국가§W 또는 §Y비문명국§W을 합병합니다
add_to_sphere_desc;국가를 우리의 §Y세력권§W으로 편입합니다
take_from_sphere_desc;다른 국가의 §Y세력권§W에서 제외하여 우리의 세력권으로 편입합니다
acquire_core_state_desc;우리의 §Y핵심 프로빈스§W가 있는 적국의 §Y주§W를 획득합니다
acquire_state_desc;적국의 §Y주§W를 획득합니다
place_in_the_sun_desc;적국의 §Y식민 주§W를 획득합니다
cut_down_to_size_desc;다른 §Y국가§W를 무장 해제시키고 우리에게 배상금을 지불하도록 강제합니다
free_peoples_desc;억압자들로부터 §Y국가§W를 해방시킵니다
protect_minor_desc;우측 목록에서 §Y주§W를 선택하십시오
humiliate_desc;적 §Y국가§W에 굴욕을 주어 우리의 군사력을 과시하고, 이를 통해 그들의 §Y위신§W은 낮추고 우리의 위신은 높입니다
po_disarmament2;군대 모집이 금지되며 §Y$YEARS$§W년 동안 병력의 §Y$PERCENTAGE$%§W를 상실합니다
po_reparations2;§Y$YEARS$§W년 동안 조세 수입의 §Y$PERCENTAGE$%§W를 지불해야 합니다
po_reduce_prestige2;§Y위신§W이 §R$VALUE$§W만큼 감소합니다
POP_DETAILS_UNEMPLOYED;실업자:
POP_DETAILS_POPCHANGES;POP 변화
repeal_the_corn_laws_title;곡물법 폐지
repeal_the_corn_laws_desc;'곡물법'은 영국 중상주의의 드문 사례로 종종 묘사되는 매우 인기가 없는 일련의 관세로, 값싼 외국산과의 경쟁으로부터 영국의 농민과 곡물 가격을 '보호'하기 위해 고안되었으나, 자연스럽게 영국 빈민층들에게 곡물 가격을 효과적으로 인상시키는 결과를 가져왔습니다. 1845년의 흉작과 이어진 아일랜드의 대기근 이후, 곡물법은 마침내 1846년에 폐지되었습니다. 이러한 관세 정책의 실패는 19세기의 대부분 동안 지속될 영국의 자유방임주의 자본주의 이념에 대한 오랜 헌신의 서막을 알렸습니다.
corn_laws_repealed;곡물법 폐지
corn_laws_repealed_desc;매유 인기가 없는 수입 관세인 '곡물법'이 폐지되었습니다.
crown_empress_of_india_title;인도 여제
crown_empress_of_india_desc;무굴 제국과 영국 동인도 회사가 폐지된 후, 1857년 빅토리아 여왕은 인도 여제의 칭호를 받았습니다. 이 칭호 창설의 원래 발의자는 보통 당시 총리였던 벤저민 디즈레일리로 알려져 있습니다. 인도에 영국령 인도를 설립함으로써, 우리는 대영 제국을 위한 태양 아래의 자리를 보장할 수 있습니다!
svenska_pansarbats_foreningen_title;스웨덴 장갑선 협회
svenska_pansarbats_foreningen_desc;스웨덴 장갑선 협회는 스웨덴 해군을 위한 현대식 연안 방어 순양함 구매 자금을 모금하기 위해 1912년에 결성되었습니다. 이 프로젝트는 대중적으로 큰 성공을 거두었으며, 협회는 단 100일 만에 구스타브 5세 폐하께 약 1,500만 크로나에 달하는 금액을 헌정할 수 있었고, 이는 마침내 1915년에 진수된 'HMS 스베리예'의 건조에 사용되었습니다.
OUTLINER_QUEUED;대기 중인 부대:
BUDGET_NO_LOANS_TO_REPAY;갚아야 할 대출이 없습니다
POPDETAIL_NO_REBEL;관련 반란군 없음
PRODUCTION_STOCKPILE_LACK_COST;비축량 부족 비용:
DIPLOMACY_AT_WAR_WITH;교전 중:
COLONIZE_CLOSEST_BASE_TO_FAR_SPEC;§Y$PROV$§W에 있는 가장 가까운 해군 기지로는 충분치 않습니다.\n(해상 거리: §R$NEED$§W/§Y$CURR$§W 필요함)
COLONIZE_CLOSEST_BASE_SPEC;가장 가까운 해군 기지는 §Y$PROV$§W에 있습니다.\n(해상 거리: §G$NEED$§W/§Y$CURR$§W 필요함)
BUILDING_INFRASTRUCTURE;기반 시설: §Y$VALUE$§W
UNITVIEW_POP_INFO;§Y$LOC$§W의 §Y$TYPE$§W.
UNITVIEW_POP_INFO_FACTION;§Y$FACTION$§W 소속.
SCHOOL_EFFECT;§Y$NAME$§W(으)로 변경!\n
IS_NOT_MOB;동원 해제 상태입니다.
IS_MOB;동원됨
enact_female_suffrage_title;여성 참정권 제정
enact_female_suffrage_desc;여성 참정권이라는 아이디어는 19세기 내내 서구 사회에서 점점 더 많은 지지를 얻었습니다. 영국의 메리 울스턴크래프트나 존 스튜어트 밀과 같은 초기 자유주의 철학자들의 저술에서 처음 주창된 여성 참정권의 이념과 사상은 19세기가 지남에 따라 점차 그 자체로 일관된 이념인 페미니즘으로 발전했습니다. 평시에는 남성들의 전유물이었던 공장 노동 및 기타 직업에서 여성들이 일하게 된 제1차 세계대전 동안의 경험은 여성의 노동권, 참정권을 확보하고 사회의 다른 분야에서 남성과 법적 평등을 달성하는 데 결정적인 전환점이 된 것으로 종종 여겨지고 있습니다.
female_suffrage;여성 참정권
female_suffrage_desc;우리 국가는 여성에게 남성과 동등한 법적 평등을 부여하며, 총선거에서의 투표권을 인정합니다.
SOCIAL_DESC2;사회 지출 예산은 채택된 사회 개혁의 자금으로 사용됩니다. 분배할 금액은 당신의 §Y국가 행정 효율§W에 따라 달라집니다.
support_ruhr_industrialism_desc;다수의 주요 자본가들, 그중에서도 특히 크루프 가문 출신이 프로이센 국가 이데올로기에 발맞춰 우리의 군사 및 산업 역량을 발전시키기 위해 프로이센 육군 및 정부 관리들과 협력하고 있는, 폭넓게 산업화된 루르 지역에서 특유의 군산복합체가 등장하고 있습니다. 볼테르는 프로이센을 일컬어 국가를 가진 군대라고 말한 바 있으며, 루르에서만큼 이 말이 더 잘 들어맞는 곳은 없습니다.
EVTNAME17020;세계 반노예제 대회
EVTDESC17020;요전 날 $COUNTRY$의 $CAPITAL$에서 열린 $CAPITAL$ 반노예제 대회에서 여성 참정권 문제가 국가적 관심사로 떠올랐습니다. 그중 일부는 여성인 여러 국제 대표자들이 참석한 가운데 이 대회에서는 여성 대표자들이 회의장에서 발언을 할 수는 있으나 대회에서 채택될 어떠한 결의안에 대해서도 궁극적으로 투표권이 거부되어야 한다는 발의안이 제출되었습니다. 대회에 참석한 남성과 여성이 분리되어 앉아 있다는 점 때문에 좌석 배치 자체부터가 문제가 되었습니다. $COUNTRY$의 여성들은 물론 서구 세계 전체의 여성들이 점점 더 대중의 담론과 토론에 참여하려고 분투하고 있다는 사실이 그 어느 때보다 명확해지고 있습니다.
EVTOPTA17020;이 노골적인 차별은 터무니없을 정도로 어리석은 짓이다
EVTOPTB17020;대중 집회에서 여성이 말하도록 노골적으로 허용하는 것은 터무니없을 정도로 어리석은 짓이다
HAVE_INDUSTRIAL_SCORE_MORE_THAN;다음보다 높은 산업 점수 보유:
EVTNAME17030;일하는 여성
EVTDESC17030;전쟁이 장기화되고 군 복무에 징집되는 건장한 청년들이 점점 늘어남에 따라, 일부 주요 자본가들은 $COUNTRY_ADJ$ 여성들의 생산적 에너지를 활용하여 여성들을 공장의 임시직으로 교대 투입할 것을 제안했습니다. 이 정책은 몇 차례 소규모 시도에서 이미 성공적인 것으로 입증되었고, 배움이 느리다는 일반적인 통념과 달리 여성들은 전혀 그렇지 않았다고 산업 전문가들은 말합니다. 보아하니, 여성도 공장에서 자신에게 할당된 임무를 능히 다룰 수 있는 것 같습니다. 아직 경이로움의 시대는 지나지 않은 듯합니다.
EVTOPTA17030;당연히 전쟁을 수행하려면 가용한 모든 일손이 필요하다
EVTOPTB17030;피와 정복!!! ... 죄송하지만, 무슨 말씀을 하셨습니까?
EVTNAME17040;소령님이 여성 참정권론자인 줄 알았습니다만
EVTDESC17040;'...그리고 그러므로 나의 결론은, 일반적으로 여성이 종사하기 부적합한 특정 직업이 있기는 하지만, 작업장에 여성이 존재한다고 해서 사회 질서에 근본적인 위협이 되지 않는다는 것이다.'\n\n우리 군부대에서 잘 알려져 있고 존경받는 한 인사가 오늘 $COUNTRY$의 주요 일간지 중 하나인 $CAPITAL$ 쿠리어에 오피니언 사설을 게재했습니다. 최근 10년간 가장 큰 경력상의 실수로 묘사되는 이 글에서 장군은 공장과 기업 등 작업장에 여성을 포함해야 한다고 옹호하며, 주로 이들을 포함하고 법으로 보호하는 것이 여성이 고용되어 있다는 이미 확립된 사실상의 상태를 확인하는 것일 뿐이라고 주장했습니다.
EVTOPTA17040;작업장에서의 여성의 법적 지위는 당연히 규정되어야 한다
EVTOPTB17040;이 남자에게 $COUNTRY_ADJ$ 육군에서의 미래는 확실히 없겠군.
EVTNAME17050;진흙 행진
EVTDESC17050;'$CAPITAL$의 날씨는 우리에게 최악으로 다가왔습니다: 진흙, 진흙, 또 진흙이 그 결정적인 특징이었으며, 그 후 우리들 사이에서 이것은 진흙 행진으로 알려지게 되었습니다.'\n\n한 여성 참정권 운동가가 이번 주 $CAPITAL$의 거리에서 여성 해방 및 참정권을 위해 다양한 조직에서 온 시위자, 여성 방직공, 금주령 지지자, 예술가 등 3,000명이 넘는 여성들이 무력시위를 위해 함께 모여 벌인 시위 행진인 진흙 행진 중 날씨에 대해 위와 같이 언급했습니다. 날씨에도 불구하고 대부분의 사람들에게 꽤나 화려한 행렬이었습니다.
EVTOPTA17050;우리는 지켜보고, 관찰하고, 배우지만, 궁극적으로 아무것도 하지 않는다.
EVTOPTB17050;우리는 이러한 정서에 대한 우리의 진심 어린 이해와 지지를 표명해야 한다
EVTOPTC17050;공개 집회라는 이 말도 안 되는 짓거리가 너무 오랫동안 지속되어 왔다는 명백한 징조이다
TRIGGER_STATE;주
EVTNAME17060;초라한 피켓 시위
EVTDESC17060;우리 주 중 한 곳의 지역 술집에서 피켓 시위를 벌이던 여성 참정권 운동가들이 온 주의 웃음거리가 되고 있습니다. 비교적 연약해 보이는 두 상류층 여성이 술집 밖에서 플래카드를 들고 서서 여성 참정권과 금주를 요구하는 피켓 시위를 벌이는 모습은 조롱거리가 될 뿐만 아니라, 하층민들 사이에서 분노를 일으키고 있습니다. 이들은 부유하고 거들먹거리며 잘난 척하는 자들이 궤변과 미사여구로 자신들을 가르치려 든다(또는 경우에 따라서는 훈계하려 든다)고 느끼고 있습니다.
EVTOPTA17060;오, 글쎄, 언론의 자유와 뭐 그런 거겠지.
EVTOPTB17060;이 훌륭한 숙녀분들이 그들에게 설명하려는 것을 더 많이 경청한다면 어떨까?
EVTNAME17070;여성 참정권 운동가와 지지자
EVTDESC17070;많은 초기 정치 이념들과 마찬가지로, 초기 여성 참정권 운동가들은 전술 및 이념적 차이로 인한 내분과 조직 분열을 겪는 일이 흔했으며, 영국에서 발생한 NUWSS와 NSWRV 간의 분열이 그 대표적인 예입니다. $COUNTRY$의 여성 참정권 운동도 조직 분열로 인해 당분간 차질을 빚게 되었습니다.
EVTOPTA17070;좀 더 보수주의적 의제를 추진하기 좋은 시기로군
EVTOPTB17070;아아, 반동주의 대의가 아침 공기를 들이마시는구나
EVTNAME17080;기혼 여성 재산법 제정 캠페인
EVTDESC17080;'기혼 여성은 개인 재산을 소유할 수 없으며, 법률과 혼인 아래 남편과 아내가 한 사람이 되면서 법적 정체성이 사라지게 됩니다. 우리는 이를 바꾸어 여성들이 자신의 재산을 마음대로 처분할 수 있기를 원합니다. 우리는 법원이 남편과 아내를 두 개의 분리된 법적 주체로 인정하기를 원합니다.'\n\n$COUNTRY$의 여성 참정권 운동 조직이 우리 주 중 한 곳에서 집회를 열어 많은 경우에 기혼 여성이 실질적으로 소유하고 있는 재산에 대한 권리와 증서, 소유권을 인정받기 위한 캠페인을 벌이고 있습니다.
EVTOPTA17080;...그래서 주식 시장 보고서는?
EVTOPTB17080;기본적 인권을 위한 이 캠페인은 전국적으로 확대되어야 한다
EVTNAME17090;전단지 캠페인
EVTDESC17090;'우리는 도시 전체를 돌았습니다. 저와 소녀들은 흩어져서 메인 스트리트와 3번가의 모퉁이에서 만났고, 각자 한두 블록 정도씩을 도맡겠다며 떠났습니다. 힘든 일이었지만 행복한 시간으로 기억됩니다.'\n\n$COUNTRY_ADJ$ 여성 참정권 운동가들이 대의에 대한 지지를 호소하기 위해 우리 주 중 한 곳에서 전단지 캠페인을 시작했습니다. 도시 전역에서 플래카드를 두르고 재산, 결혼, 국내법부터 투표권 등 온갖 여성 참정권 문제에 대한 지지를 호소하는 전단지를 나누어주는 여성들을 볼 수 있습니다.
EVTOPTA17090;이렇게 쓰레기를 마구 버리는 것을 지역 주민들이 어떻게 생각할지 모르겠군. 진짜 모르겠어.
EVTOPTB17090;그 근처에 사는 하원의원이 적어도 한 명은 있지 않나?
EVTNAME17100;여성을 위한 교육
EVTDESC17100;'교수님께서 156번 학생이 보닛을 쓰고 있다는 사실에 화가 나셨다면, 기꺼이 저의 눈에 띄는 모자를 벗고 교실 맨 뒷자리에 앉겠습니다. 하지만 제가 자진해서 강의에서 빠지지는 않을 것입니다.'\n\n한 여성이 그곳에 존재한다는 것 자체만으로 $COUNTRY_ADJ$ 대학교에서 파문을 일으켰습니다. 우리 고등 교육 기관 중 한 곳에 여성이 등록했으며, 이 사건은 지역 보수주의자들 사이에서 상당한 파장과 논란을 불러일으키고 있습니다.
EVTOPTA17100;내 고등 교육 기관에서 저런 말썽꾼을 당장 쫓아내라!
EVTOPTB17100;그래서 우리 석학들이 고작 여성의 지성에 호들갑을 떨고 있다 이 말인가?
EVTNAME17110;제2의 성
EVTDESC17110;'어떤 여성들은 이 본질을 구형하고자 극성스럽게 애를 쓰지만, 그것은 특허를 받을 수 있는 성질의 것이 아니다. 그것은 예언자의 어휘에서 빌려온 듯한 모호하고 눈부신 용어들로 빈번히 묘사되며, 실제로 성 토마스 시대에는 양귀비의 최면 효과처럼 명확하게 정의된 본질로 간주되었다.'\n- 시몬 드 보부아르 -- 제2의 성\n\n저명한 $COUNTRY_ADJ$ 여성 참정권 운동가가 페미니즘 이론의 교본이라 칭할 수 있는 훌륭한 주제에 관한 책을 출판했으며, 이 책은 국내는 물론 국제적으로도 상당한 이목을 끌고 있습니다.
EVTOPTA17110;책을 칭찬한다
EVTOPTB17110;책을 당장 비난한다
EVTNAME17120;편지 쓰기 캠페인
EVTDESC17120;'그래서 저는 자매 여러분에게 부탁합니다, 글을 쓰세요! 여러분의 의원, 지역 하원의원, 할머니, 누구에게든, 아무에게나 쓰세요! 만약 세상이 여성이 정치적 동물로서 모든 관련 측면에서 남성과 평등하다는 메시지에 코방귀도 뀌지 않는다면, 그 메시지를 억지로라도 세상에 전해야만 합니다!'\n\n$COUNTRY_ADJ$ 여성 참정권 연대에서는 여성 참정권이 통과되어 여성에게 투표권이 주어질 때까지 매년 모든 하원의원에게 천 통의 편지를 보내겠다는 야심 찬 목표로 편지 쓰기 캠페인에 돌입했습니다. 이 캠페인은 이미 상당한 영향을 미치고 있습니다.
EVTOPTA17120;상원에서 개혁 의제가 상당한 지지를 얻게 될 것이라 예상한다
EVTOPTB17120;이 대의가 대중들 사이에서 상당한 지지를 얻을 것이라 예상한다
EVTNAME17130;무법적 여성 참정권 운동가들
EVTDESC17130;'네 개의 깨진 창문, 방화 미수, 경찰관 두 명에 대한 사실상의 폭행... 경찰관분들은 물리적으로 다치진 않았겠지만, 그분들의 자존심은 꽤 상했을 겁니다. 대체 무엇이 당신을 이런 지경까지 몰고 갔습니까?'\n\n$COUNTRY_ADJ$ 여성 참정권 운동의 보다 호전적인 분파가 우리 주 중 한 곳에서 정부 당국을 상대로 무력적인 항의 시위를 벌였습니다. 지역 보수주의자들은 국가의 도덕적 토대가 무너지고 서구 문명의 암울한 종말이 도래했다며 탄식하고 있습니다.
EVTOPTA17130;알겠다.
EVTNAME17140;여성 참정권 운동가 단식 투쟁!
