support_for_blank;$text$ 지지
intervene_5;전쟁 발발 후 최소 $x$개월 경과
intervene_6;이 전쟁에 참가해도 같은 국가를 두 번 상대하거나 동시에 같은 국가와 전쟁하는 상황에 놓이지 않음
intervene_7;위기 전쟁이 아님
intervene_8;참전하면 휴전이 파기됨
intervene_9;방어측을 지지 중
intervene_10;방어측은 현상 유지 외의 다른 전쟁 목표가 없음
intervene_11;공격측 전쟁 점수가 최소 $x$
intervene_12;전쟁 피로도가 $x$ 미만
intervene_13;전쟁 지도자와의 관계가 최소 $x$
intervene_14;당신의 세력권 구성원 중 누구도 반대편에 서 있지 않음
intervene_15;당신의 동맹국이 반대편에 서 있지 않음
intervene_16;당신의 군대가 당신과 적대하는 국가가 소유한 주에 주둔하고 있지 않음
intervene_17;주요 방어국이 당신에게 우호적 평가를 가짐
military_score_explain_1;주력함 점수: $x$
military_score_explain_2;모병 가능한 부대: $x$
military_score_explain_3;모병된 부대: $x$
military_score_explain_4;비무장 여부(페널티 계수: $x$)
military_score_explain_5;보급 소모 수정치: $x$
military_score_explain_6;평균 육군 유닛 점수: $x$
military_score_explain_7;장군 총수: $x$
industry_score_explain_2;다음 해외 투자도 합산됩니다(가중 계수 $x$):
industry_score_explain_3;$y$의$x$
war_goal_1;추가자: $x$
war_goal_2;목표: $x$
war_goal_3;요구 지역: $x$
war_goal_4;제2 목표: $x$
war_goal_5;현재 전쟁 점수: $x$
war_goal_6;우리가 ?Y$x$?!의 각 주를 점령하면 ?Y$y$?!의 전쟁 점수를 얻게 됩니다(점령한 주의 비율에 따라)
war_goal_7;우리는 점령할 수 있는 유예 기간이 ?Y$x$?!일 있으며, 그렇지 않으면 매일 ?Y$y$?!의 전쟁 점수를 잃게 됩니다
war_goal_8;전쟁은 ?Y$x$?!에 시작되었으며, ?R소진?!되기 전에 ?Y$y$?!의 전쟁 목표를 이행해야 합니다
war_goal_9;유예 기간이 ?R소진됨?! (유예 기간은 ?Y$x$?!부터 ?Y$y$?!까지)
war_goal_10;제2 목표: $x$
utt_unit;($country$)-$unit$($leader$)\n($infantry$/$cavalry$/$special$)
utt_noleader;지휘관 없음
war_score_1;점령으로부터: $x$
war_score_2;전투로부터: $x$
war_score_3;전쟁 목표로부터: $x$
war_score_4;봉쇄로부터: $x$
dp_inf_tooltip_ban;대사관 봉쇄는 $x$까지 지속됨
dp_inf_tooltip_discredit;비방 효과는 $x$까지 지속됨
discredit_explain_1;자신의 명예를 실추시킬 수는 없습니다
discredit_explain_2;대상이 당신에 대한 평가가 반감보다 높습니다
discredit_explain_3;열강이 봉쇄되지 않았습니다
iaction_explain_1;이 대상에 대해 당신은 최소 $x$의 영향력을 보유해야 합니다
iaction_explain_2;당신의 대사관이 봉쇄되지 않았습니다
iaction_explain_3;당신은 전쟁 목표가 될 수 없습니다
iaction_explain_4;대상의 열강에 대한 평가가 그들이 당신에게 하는 평가보다 더 높습니다
expel_explain_1;자국 고문을 추방할 수는 없습니다
expel_explain_2;대상의 당신에 대한 평가는 최소한 중립입니다
ban_explain_1;자신의 대사관을 봉쇄할 수는 없습니다
ban_explain_2;대상의 당신에 대한 평가는 최소한 우호적입니다
dec_op_explain_1;한 국가의 당신에 대한 평가를 낮출 수는 없습니다
dec_op_explain_2;한 국가가 자신의 세력권 지도자에 대해 가진 평가를 낮출 수는 없습니다
dec_op_explain_3;대상의 당신에 대한 평가는 반감보다 높습니다
dec_op_explain_4;대상의 열강에 대한 평가는 적대보다 낮을 수 없습니다
iaction_explain_5;당신은 열강입니다
iaction_explain_6;열강 대상이 아닙니다
state_transfer_di;지역 양도
state_transfer_button;지역 양도
state_transfer_offer;$actor$이(가) 우리에게 지역을 제공하고 있습니다:
state_transfer_desc;한 지역의 소유권을 다른 국가로 이전합니다. 일반적인 게임 내 협상 범위를 넘어서는 데 더 유용합니다
state_transfer_explain_1;대상 국가는 플레이어입니다
state_transfer_explain_2;현재 위기가 없습니다
state_transfer_explain_3;우리는 속국이 아닙니다
state_transfer_explain_4;그들은 속국이 아닙니다
state_transfer_explain_5;우리는 평화 상태입니다
state_transfer_explain_6;우리는 최소 1개의 지역을 보유하고 있습니다
cancel_ally_explain_1;자신과의 동맹을 취소할 수는 없습니다
cancel_ally_explain_2;최소 $x$ 외교 점수 보유
cancel_ally_explain_3;당신은 이미 동맹을 맺고 있습니다
cancel_ally_explain_4;당신은 더 이상 전쟁에 참가할 수 없습니다
cancel_ally_explain_5;당신은 대상국의 괴뢰국일 수 없습니다
ally_explain_1;자신과 동맹을 맺을 수는 없습니다
ally_explain_2;당신은 최소 $x$ 외교 점수를 보유하고 있습니다
ally_explain_3;현재 동맹을 맺을 수 없습니다
ally_explain_4;위기 중인 열강과는 동맹할 수 없습니다
ally_explain_5;당신은 속국일 수 없습니다
ally_explain_6;현재 전시 목표가 될 수 없습니다
ally_explain_7;AI가 수락할 것입니다
ally_explain_8;대상은 속국일 수 없습니다
call_ally_explain_1;당신은 이 국가와 동맹을 맺고 있거나, 그 종주국입니다.
call_ally_explain_2;당신은 최소 $x$ 외교 점수를 보유하고 있습니다
call_ally_explain_3;당신은 전쟁 중입니다
call_ally_explain_4;현재 이 국가를 참전 요청할 수 있는 전쟁이 있습니다
call_ally_explain_5;AI가 수락할 것입니다
cancel_access_explain_1;당신은 최소 $x$ 외교 점수를 보유하고 있습니다
ask_access_explain_1;자기 자신에게서 군사 통행권을 얻을 수는 없습니다
ask_access_explain_2;당신은 최소 $x$ 외교 점수를 보유하고 있습니다
ask_access_explain_3;AI가 수락할 것입니다
ask_access_explain_4;현재 당신은 대상과 전쟁 중이 아닙니다
cancel_given_access_explain_1;당신은 최소 $x$ 외교 점수를 보유하고 있습니다
give_access_explain_1;자신에게 군사 통행권을 줄 수는 없습니다
give_access_explain_2;당신은 최소$x$외교 점수를 보유하고 있습니다
give_access_explain_3;현재 당신은 대상과 전쟁 중이 아닙니다
increase_rel_explain_1;우리의 관계를 ?G+$x$만큼 개선
increase_rel_explain_2;자신과의 관계를 개선할 수는 없습니다
increase_rel_explain_3;당신은 최소$x$외교 점수를 보유하고 있습니다
increase_rel_explain_4;현재 관계가 200보다 낮습니다
increase_rel_explain_5;현재 당신은 대상과 전쟁 중이 아닙니다
decrease_rel_explain_1;우리의 관계를 ?R$x$만큼 악화
decrease_rel_explain_2;자신과의 관계를 악화시킬 수는 없습니다
decrease_rel_explain_3;당신은 최소$x$외교 점수를 보유하고 있습니다
decrease_rel_explain_4;현재 관계가 -200보다 큽니다
decrease_rel_explain_5;현재 당신은 대상과 전쟁 중이 아닙니다
cancel_w_sub_explain_1;우리는 현재 이 국가에 매일 ?Y$x$?!를 지원하고 있습니다
cancel_w_sub_explain_2;당신은 최소 $x$ 외교 점수를 보유하고 있습니다
w_sub_explain_1;자신에게 전쟁 보조금을 제공할 수는 없습니다
w_sub_explain_2;당신은 최소 $x$ 외교 점수를 보유하고 있습니다
w_sub_explain_3;현재 당신은 대상과 전쟁 중이 아닙니다
w_sub_explain_4;대상은 전쟁 중입니다
invention_bulb_1;이 발명은 현재 발견될 수 없습니다
invention_bulb_2;이제 이 발명을 발견할 수 있습니다
invention_bulb_3;이 발명은 이미 발견되었습니다
not_implemented;이 기능은 현재 구현될 수 없습니다
inc_op_explain_1;이 국가의 당신에 대한 평가는 우호보다 낮습니다
add_sphere_explain_1;이 국가는 당신에 대해 우호적인 평가를 가지고 있습니다
add_sphere_explain_2;이 국가는 현재 다른 열강의 세력권에 편입될 수 없습니다
rem_sphere_explain_1;이 국가는 현재 어떤 열강의 세력권 안에 있습니다
rem_sphere_explain_2;이 국가는 당신에 대해 우호적인 평가를 가지고 있습니다
rem_sphere_explain_3;이 국가는 현재 당신의 세력권 안에 있습니다
rem_sphere_explain_4;당신의 세력권에서 한 국가를 제거하면 ?R$x$의 악명이 증가합니다
rem_sphere_explain_5;당신의 세력권에서 한 국가를 제거하면 ?R$x$?!의 위신이 감소합니다
fab_explain_1;자신에게 전쟁을 정당화할 수는 없습니다
fab_explain_2;당신은 최소$x$외교 점수를 보유하고 있습니다
fab_explain_3;현재 당신은 전쟁 명분을 정당화하고 있지 않습니다
fab_explain_4;당신은 독립국이거나 목표가 당신의 종주국이다
fab_explain_5;이 나라는 당신의 세력권 내에 없다
fab_explain_6;당신은 현재 목표와 전쟁 중이 아니다
fab_explain_7;당신은 정당화할 전쟁 명분이 있다
peace_description;이 국가와의 적대를 끝내기 위해 강화를 맺는다
peace_explain_1;괴뢰국이 아니다
peace_explain_2;목표는 속국이 아니다
peace_explain_3;협상 당사자 중 최소 한 쪽은 당신 측의 전쟁지도자이다
peace_explain_4;모든 참전국이 전쟁지도자이다 (위기 전쟁에만 해당)
peace_explain_5;당신은 현재 진행 중인 다른 평화 제안이 없다
war_explain_1;당신은 자기 자신에게 선전포고할 수 없다
war_explain_2;당신은 이 국가를 대상으로 하는 전쟁 명분을 가지고 있다.
war_explain_3;당신은 최소 $x$ 외교 점수를 가지고 있다
war_explain_4;당신은 이 국가와의 전쟁에 참여하고 있지 않다
wg_result_1;이 전쟁 목표를 추가할 때:
wg_result_2;이 전쟁 목표를 달성할 때:
wg_result_3;이 전쟁 목표를 달성하지 못할 때:
wg_not_ready;전쟁 목표를 완전히 선택해야 한다
crisis_temperature_ex;현재 위기 열도는 ?R$value$?W!이며 ?R100?W에 도달하면 양측 간의 위기 전쟁이 발발한다
crisis_mode_no_crisis;여기에는 위기가 없다
crisis_mode_finding_attacker;공격측의 지지자를 찾는 중
crisis_mode_finding_defender;방어측의 지지자를 찾는 중
crisis_mode_heating_up;위기 고조
crisis_back_explain_1;당신은 이 위기에 관심이 있다 (미정)
crisis_back_explain_2;이 위기는 이미 초기 지지자를 끌어모았다
crisis_add_interest_button;이번 위기에서 하나의 관심을 선택한다
crisis_add_interest_button_ex_1;당신은 열강이다
crisis_add_interest_button_ex_2;이 위기는 이미 초기 지지자를 끌어모았다
crisis_add_interest_button_ex_3;당신은 최소 1 외교 점수를 가지고 있다
crisis_offer_button;이 국가에 위기에서 당신의 진영에 합류할 것을 제안한다
crisis_offer_button_ex_1;당신은 위기 진영 한쪽의 지도자이다
crisis_offer_button_ex_2;이 위기는 이미 초기 지지자를 끌어모았다
crisis_offer_button_ex_3;당신은 최소 1 외교 점수를 가지고 있다
multiunit_header;$x$ 부대 선택됨
ai_alliance_1;AI가 동맹을 찾고 있다
ai_alliance_2;당신의 국가는 전쟁을 지원하러 가기에 이미 충분히 가깝다
ai_alliance_3;서로 충돌하는 야망이 없다
ai_alliance_4;당신의 군대는 충분히 강하다
ai_alliance_5;공동의 전략적 이해관계를 가진다
ai_access_1;AI는 당신의 전쟁 중 하나가 자신들에게 이롭다고 여긴다
col_start_title;이 지역의 식민화를 시작
col_start_1;식민자가 없거나 식민화가 아직 초기 단계이다
col_start_2;당신의 국가 등급은 최소 $x$이다
col_start_3;이 지역은 식민 위기의 대상이 아니다
col_start_4;당신은 위기 전쟁에 참여하고 있지 않다
col_start_5;식민화 가능한 최소 생활수준($x$)이 이 지역의 생활수준($y$) 이상이다
col_start_6;기본: ?Y$x$
col_start_7;현재 식민자는 최대 셋까지만 있을 수 있다
col_start_8;당신은 이 지역과 인접해 있거나, 이 지역이 해군 범위 내에 있다
col_start_9;사용 가능한 식민력 점수를 최소 $x$ 보유하고 있다
col_invest_title;당신의 식민지에 투자
col_invest_1;당신의 국가 등급은 최소 $x$이다
col_invest_2;이 지역은 식민 위기의 대상이 아니다
col_invest_3;당신은 위기 전쟁에 참여하고 있지 않다
col_invest_4;당신과 경쟁하는 자가 없으며, $x$ 후 이 지역을 식민지로 만들 수 있다
col_invest_5;당신이 마지막으로 투자한 뒤 $x$일이 지났다 (다음 투자는 $y$에 가능)
col_invest_6;사용 가능한 식민력 점수를 최소 $x$ 보유하고 있다
activated_by_with_a_chance_of;?Y$x$?!에 의해 활성화되며, 다음 효과를 가진다:
unit_max_speed;최고 속도 ?G$x$?! KPH
unit_attack;공격 ?G$x$
unit_hull;선체 ?G$x$
unit_fire_range;사거리 ?G$x$
unit_supply_consumption;보급 소모 ?R$x$
unit_supply_load;보급량 ?R$x$
unit_defence;방어 ?G$x$
unit_discipline;훈련도 ?G$x$
unit_maneuver;기동 ?G$x$
unit_recon;정찰 ?G$x$
unit_support;지원 ?G$x$
unit_evasion;회피 ?G$x$
unit_siege;공성 ?G$x$
unit_torpedo_attack;어뢰 공격 ?G$x$
unit_build_time;$x$ 일
unit_build_unit_pop_size;$x$ k
unit_build_unit_brigades;$x$/$y$
uv_sort_a;공격
uv_sort_b;방어
uv_sort_c;조직
uv_sort_d;사기
uv_sort_e;속도
uv_sort_f;정찰
uv_sort_g;신뢰성
uv_sort_h;경험
alice_condition_diplo_points;그는 최소 $x$ 외교 점수를 가진다
alice_retreat;전투에서 후퇴
alice_retreat_1;전투 시작 후 $x$일이 지났다
alice_retreat_2;당신은 공격측 또는 방어측의 지도자이다
alice_province_select;주 선택
alice_province_deselect;주 선택 해제
alice_province_selector_on;켜기
alice_province_selector_off;끄기
province_selector;선택기
province_immigrator;이민자
tt_a_bank;은행
tt_a_university;대학
et_add_selector;주 선택 구역 활성화
et_remove_selector;주 선택 구역 비활성화
et_add_immigrator;주 이민 활성화
et_remove_immigrator;주 이민 비활성화
et_if;만약
et_else_if;그렇지 않으면
modifier_province_selector;주 선택 구역
modifier_province_immigrator;주 이민
modifier_conversion_rate;전도율
modifier_attrition;소모
chat_player_joins;$playername$ 참가
chat_player_leaves;$playername$ 퇴장
chat_player_ban;$playername$ 차단됨
chat_player_kick;$playername$ 추방됨
chat_player_switch;$playername$ 님이 $country$(을)를 선택했습니다
chat_player_oos;$playername$ 님의 연결이 끊어졌습니다!
alice_status_stream;저장 파일 처리 진행도: $value$
alice_play_pending_client;$playername$ 준비되지 않음
alice_stockpile_button_0_0;국가 비축은 일상적인 경제 상업 활동을 조절하는 수단으로 사용할 수 있으며, ?G초록색?W 선에서는 가격 상승을, ?R빨간?W 선에서는 하락을 볼 수 있습니다. 늘 그렇듯 나는 ?Y아니?W 선 그래프라서 항상 눈에 띄는 건 아니에요 :)
alice_stockpile_button_1_0;네가 날 열 번 클릭해도 아무것도 얻지 못해, 내 말 믿고 이제 그만 눌러, ?R그렇지 않으면?W……
alice_stockpile_button_1_1;알겠어, 좋아, 이제 더 말하지 않을게. 네가 내가 ?Y다른?W 말을 할 때까지 계속 클릭할 거란 걸 아니까. 하지만 그것도 너무 지루하잖아
alice_stockpile_button_1_2;좋아, 널 막을 수는 없지만, 아마 이건 어떨까?
alice_stockpile_button_2_0;나는 쓸모없는 버튼이야, 계속해
alice_stockpile_button_3_0;친구와 함께 하는 거지? ?Remmm, 행운을 빌어, 넌 그게 필요할 테니까, 그렇지 않겠어??W
a_alert_reb;반란군이 이미 우리 세력권 구성원에게 맞서 봉기했습니다:
event_auto;이 이벤트의 남은 시간 동안 이 선택지를 자동으로 고릅니다
event_taken_auto;이 선택지는 ?Y$date$?W에 자동으로 선택됩니다.
alice_load_unload_1;이곳에 정박한 해군은 충분한 수송 능력을 갖추고 있습니다
alice_load_unload_2;육군 수송 중
alice_load_unload_3;수송 함대 정박 중
alice_load_unload_4;육군 수송 중
alice_load_unload_5;함대 정박 중
alice_unload_fleet;이 함대가 수송 중인 모든 부대를 하선시킵니다
auto_save_lb;자동 저장 빈도
auto_save_1;매일
auto_save_2;매월
auto_save_3;매년
auto_save_0;자동 저장 안 함
monthly_emigration_lab;월별 이주 목적지(상위 10개)
monthly_immigration_lab;월별 이주 출신지(상위 10개)
im_em_header;해당 주의 소속:
alice_unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W 소모
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ by $date$(공격 $attunit$ 방어 $defunit$ 유지비 ?R$cost$?W)
unit_standing_text;$m$ $n$/$x$/$y$(공격 $attunit$ 방어 $defunit$ 유지비 ?R$cost$?W)
disarmed_pop;무장 해제된 구성국
cancel_fac_construction;공장 건설 취소
cancel_fac_upgrade;공장 업그레이드 취소
kierkegaard_1;혹은
kierkegaard_2;아니면
open_and_sub;공장 재가동 및 보조금 지급
o_set_national_flag;소유자에게 국가 변수 $text$ 설정
o_add_modifier_until;주 소유자가 $date$까지 $text$ 획득
o_add_modifier;주 소유자가 $text$ 획득
o_relations_with;주 소유자와 $text$의 관계
o_add_to_treasury;주 소유자를 위하여
w_rgo_prod;세계 원자재 생산: $x$
w_artisan_prod;세계 장인 생산
w_artisan_profit;국내 장인 이익
w_artisan_distribution;국내 장인 분포
w_fac_prod;세계 공장 생산: $x$
alice_lose_gp;우리는 ?Y열강?! 지위를 잃고 있습니다!
alice_state_select_title;지역 선택
press_esc_to_cancel;취소하려면 ?YESC?!를 누르세요
fort_build_tt_1;해당 지역은 현재 당신의 통제하에 있습니다
fort_build_tt_2;해당 지역은 포위되지 않았습니다
fort_build_tt_3;현재 등급 $x$, +현지 건설 난이도 보정 $n$, 최고 등급 $y$ 미만
nb_build_tt_1;해당 지역은 해안 주입니다
nb_build_tt_2;이 지역에는 해군 기지가 없습니다
rr_build_tt_1;우리 집권당은 정부의 철도 건설을 허용합니다
tech_ol_tt;?G$x$?! 당신의 종주국이 보유한 이 기술로부터
tech_year_tt;?G$x$?! 현재 연도로부터
disband_all;선택한 모든 부대 해산
alice_play_checksum_host;체크섬이 호스트와 일치하지 않습니다. 동일한 모드와 저장 파일을 가지고 있는지 확인하세요
alice_play_save_stream;호스트가 당신에게 저장 파일을 전송 중입니다. 완료될 때까지 기다리세요
ai_will_accept_po;그들은 이 제안을 수락할 것입니다
ai_will_not_accept_po;그들은 이 제안을 수락하지 않을 것입니다
close_and_del;공장 폐쇄 및 제거
cb_conditions_header;사용 조건:
as_a_vassal;속국으로서
change_state_name_to;지역 이름이 $text$(으)로 변경됩니다
alice_join_crisis_offer;$ACTOR$는 우리가 이번 위기에서 그들 편에 가담하면 다음과 같은 이익을 제공할 것입니다
alice_unit_disable_rebel_hunt;반란군 소탕 중지
alice_regiment_battle_info;$m$ $name$ ?Y$type$?!\n조직력: ?Y$organisation$?W\n병력: ?Y$strength$?W
understaffed_regiment;?RT이 연대는 인원이 부족하며 병사가 $value$명뿐입니다!?W
tech_queue_explain;?YSHIFT?W로 대기열에 추가, ?Y우클릭?W으로 제거
alice_province_building_build;?YSHIFT?W로 전체 ?G주?W에 건설.\n?YSHIFT-우클릭?W으로 전체 ?G국가?W에 건설.
commodity_shortage;?R이 상품은 부족합니다
commodity_surplus;?G이 상품은 과잉입니다
alice_trade_flow_produced;?Y국내 생산
alice_trade_flow_consumed;?Y국내 소비
alice_trade_flow_label;시장 개요
alice_trade_flow_piechart_producers;생산자
alice_trade_flow_piechart_consumers;소비자
alice_trade_flow_piechart_workforce;투자자
alice_diplo_release_subject;속국 해방
alice_diplo_release_subject_desc;우리의 종속국 하나를 해방하여 더 이상 우리의 속국이 아니게 합니다. 동맹은 별도로 해제해야 합니다
alice_diplo_release_subject_0;우리의 속국입니다
kill_leader;지휘관 사망
annex_null;무주지로 만듦
meets_the_conditions_of;다음 조건을 만족함:
does_not_meet_the_conditions_of;다음 조건을 만족하지 않음:
fab_finish_date;전쟁 명분 조작이 $date$에 완료됩니다
fab_is_paused;전쟁 명분 조작이 일시 중지됨
macro_builder;부대 템플릿
macro_total_desc;부대 총계:
macro_switch_type_land;육군 편성
macro_switch_type_naval;해군 편성
macro_warn_overseas;?R해외 주에서는 이 부대를 편성할 수 없습니다!?!
macro_warn_culture;?R주요 문화 POP만으로만 편성할 수 있습니다!?!
macro_warn_unlocked;?R이 부대는 아직 해금되지 않았습니다!?!
macro_select_province;지도에서 주 하나를 선택하세요
macro_warn_insuff;?R$x$ $name$을(를) 건설할 수 없습니다 ($y$만 가능)?!
macro_warn_invalid_province;?R이 지역에 속하지 않은 주입니다?!
shortcut_tooltip;단축키: ?Y$x$?!
filter_all;?Y모든?! 국가를 선택합니다.
filter_allies;우리와 ?Y동맹?! 관계인 국가를 선택합니다.\n?Y우클릭?!하여 우리와 동맹을 맺고 싶은 국가를 선택합니다.
filter_enemies;우리와 ?Y적대 중이거나 전쟁 중인?! 국가를 선택합니다.
filter_sphere;우리의 ?Y세력권?!에 있는 국가를 선택합니다.\n?Y우클릭?!하여 우리가 영향력을 행사하고 있지만 아직 세력권에 속하지 않은 국가를 선택합니다.
filter_neighbors;우리와 ?Y접경한?! 국가를 선택합니다.\n?Y우클릭?!하여 우리와 ?Y접경했지만?! ?Y속국?!은 아닌 국가를 선택합니다.
filter_best_guess;?Y최선의 추정?!에 기반해 선택하며, ?Y동맹국?!, ?Y적국?!, ?Y세력권 구성원?! 및 ?Y접경?! 국가를 포함합니다.
alice_warn_war_ends_for_us;?R이렇게 하면 우리 편에 선 모든 국가에 대해 이 전쟁이 종료됩니다?!。
alice_invention_chance;이 ?Y발명?!을 발견할 확률은 다음과 같습니다:
is_primary_culture;?Y$NAME$?!는 주요 문화입니다
is_primary_religion;?Y$NAME$?!는 국교입니다
tt_can_use_nation;이 전쟁 목표를 사용하기 위한 조건:
et_on_add;이 전쟁 목표를 전쟁에 추가하면 다음 효과가 발생합니다:
et_on_po_accepted;이 전쟁 목표가 포함된 평화 제안을 수락하면 다음 효과가 발생합니다:
alice_no_possible_units;건설 가능한 부대가 없고, 현재 건설 중인 부대도 없습니다
alice_debt_spending;부채 지출을 비활성화 또는 활성화
alice_loan_size;현재 우리의 최대 대출은 $x$입니다. 대출 규모가 이를 초과하면 파산하게 됩니다
alice_currently_bankrupt;우리나라는 현재 파산 상태입니다 ($x$까지)
alice_no_loans_possible;현재는 대출을 받을 수 없습니다
alice_rf_demands_enforced_trigger;다음이 참일 경우에만 반군이 그들의 요구를 강제로 관철합니다:
alice_rf_demands_enforced_effect;반군이 그들의 요구를 강제로 시행하면 다음 효과가 발생합니다:
alice_rf_siege_won_trigger;반군이 공성전에서 승리하면 다음이 적용되는지 검사합니다. 예: 수도 $x$에서:
alice_rf_siege_won_effect;위의 모든 조건이 참이면 다음 효과가 발생합니다. 예: 수도 $x$:
may_month_name;5월
alice_ca_cant_influence;현재 우리는 다른 국가에 대한 평가를 올리거나 내릴 수 없습니다
alice_gp_status_regain_expiration;?Y$x$?W위 이상 국가가 되지 못하면 ?Y$date$?W!에 ?Y열강?W 지위를 잃게 됩니다!
alice_mil_decay_description;자연 감소 ?G-$x$
alice_con_decay_description;자연 감소 ?R-$x$
x_from_y;?Y$culture$?W $x$ 출신: ?Y$y$?W
reinforce_rate;이 군대는 매달 병사 $x$명을 보충받을 수 있습니다
reinforce_rate_none;부대를 증원할 수 없음
alice_domestic_investment_button;개별 프로젝트 투자는 권장되지 않습니다. 대신 예산 화면의 국내 투자 슬라이더를 사용하세요
alice_domestic_investment_pops;간접적으로 자금을 지원할 수 있는 투자자가 $x$명 있습니다
alice_domestic_investment_needs;그들은 매일 사치 생활 수요 $x$를 충족해야 합니다
alice_budget_scaled_inc;수입: ?G$value$
alice_budget_scaled_1;빈곤층 세금: ?G$value$
alice_budget_scaled_2;중산층 세금: ?G$value$
alice_budget_scaled_3;부유층 세금: ?G$value$
alice_budget_scaled_4;관세: ?G$value$
alice_budget_scaled_exp;지출: ?R$value$
alice_budget_scaled_5;육군 유지비: ?R$value$
alice_budget_scaled_6;해군 유지비: ?R$value$
alice_budget_scaled_7;건설: ?R$value$
alice_budget_scaled_8;교육: ?R$value$
alice_budget_scaled_9;행정: ?R$value$
alice_budget_scaled_10;사회 지출: ?R$value$
alice_budget_scaled_11;군사 지출: ?R$value$
alice_budget_scaled_12;국내 투자: ?R$value$
alice_budget_scaled_13;해외 지출: ?R$value$
alice_budget_scaled_14;비축 보충: ?R$value$
alice_budget_scaled_15;전쟁 원조: ?R$value$
alice_budget_scaled_16;외교 투자: ?G$value$
alice_budget_scaled_17;금 생산: ?G$value$
alice_budget_scaled_net;순수입: ?Y$value$
alice_budget_setting_percent;$perc$ 기준 설정
alice_spending_land_construction;$name$에서 육군 건설: ?R$cost$?W
alice_spending_naval_construction;$name$에서 해군 건설: ?R$cost$?W
alice_spending_building_construction;$name$에서 건물 건설: ?R$cost$?W
alice_spending_factory_construction;$name$에서 공장 건설: ?R$cost$?W
alice_spending_unit;$name$에 따라 이 부대에 드는 총비용: ?R$cost$?W
alice_spending_unit_1;이 부대의 총비용: ?R$cost$?W
alice_spending_total;?Y총비용: ?W
alice_spending_commodity;?R$cost$?W - $need$에 필요한 $name$ ($val$)
alice_spending_commodity_2;?R$cost$?W - $need$의 $name$ 구매 ($val$배). 진행도: $x$/$y$
alice_recommended_build;?G이 공장 건설을 권장함?W
alice_factory_bonus;다음 조건일 경우 ?Y$x$?W 보너스를 획득:
alice_factory_inputs;필요 투입물:
alice_factory_input_item;?R$cost$?W - $need$에 필요한 $name$ ($val$)
alice_factory_base_workforce;기본 노동력 ?Y$x$?W
alice_factory_total_bonus;총합은 대략 ?Y$x$?W입니다
alice_slider_controls;?Y좌클릭?W ?Y$value$?W 증가\n?YSHIFT+좌클릭?W ?Y$x$?W 증가\n?YSHIFT+우클릭?W 최댓값까지 증가
alice_slider_controls_2;?Y좌클릭?W ?Y$value$?W 감소\n?YSHIFT+좌클릭?W ?Y$x$?W 감소\n?YSHIFT+우클릭?W 최솟값까지 감소
explain_colonial_points;열강과 준열강은 식민 점수를 축적합니다.
alice_lobby_back;로비로 돌아가기
alice_lobby_back_tt_1;너는 이미 그 빌어먹을 로비에 있다
alice_lobby_back_tt_2;호스트만 로비로 돌아갈 수 있습니다
reopen_with_tab;?YTAB?W으로 창으로 다시 전환할 수 있습니다
alice_topbar_tab_1;탭 전환
alice_topbar_tab_2;인구 탭 전환
colonial_points_from_technology;기술로부터:
colonial_points_from_naval_bases;해군 기지로부터:
colonial_points_from_ships;함선으로부터:
used_colonial_maintenance;기존 식민지 유지비:
topbar_pause_speed;게임을 일시정지합니다. 다시 클릭하면 일시정지가 해제됩니다
att_call_will_accept;$x$가 당신의 전쟁에 참가할 것입니다
att_call_will_decline;$x$가 당신의 전쟁에 참가하지 않을 것입니다
att_call_is_human;$x$가 당신의 전쟁에 참가할 수도 있습니다
att_call_no_allies;동맹국이 없습니다!
domestic_investment_label;국내 투자:
modifier_min_domestic_investment;최소 국내 투자율
modifier_max_domestic_investment;최대 국내 투자율
mouse_left_click_mode_label;클릭하여 해제
alice_supply_limit_desc;보급 한계: $x$
alice_factory_worker_1;고용: ?G$x$?W
alice_factory_worker_2;실업: ?R$x$?W
alice_rgo_unemployment_country_alert;다음 지역에 실업자가 있습니다:
pop_promote_info_on_sel_2;$val$ 다음 달 예상: $who$ 에서 $where$로
