PROV1;سيتكا
PROV1206;ميرف
PROV1207;كولوب
PROV1208;خوروغ
PROV1209;كابول
PROV1210;فايز آباد
PROV1211;بلخ
PROV1212;هرات
PROV1213;باميان
PROV1214;فرح
PROV1215;قندهار
PROV1216;جلال اباد
PROV1217;غزني
PROV1218;بيشاور
PROV1219;كويتا
PROV1220;دالباندين
PROV1221;كلات
PROV1222;بيلا
PROV1223;شيترال
PROV1224;سريناجار
PROV1225;جيلجيت
PROV1226;ليه
PROV1227;لاهور
PROV1228;ملتان
PROV1229;سيالكوت
PROV1230;أتوك
PROV1231;باهاوالبور
PROV1232;شاهبور
PROV1233;أمريتسار
PROV1234;فيروزبور
PROV1235;شيملا
PROV1236;دلهي
PROV1237;بانيبات
PROV1238;ديهرا دون
PROV1239;ميروت
PROV1240;أغرا
PROV1241;كاونبور
PROV1242;لكناو
PROV1243;الله أباد
PROV1244;فيض آباد
PROV1245;بيناريس
PROV1246;جوراخبور
PROV1247;باتنا
PROV1248;جايا
PROV1249;خارسواري
PROV1250;بهاجالبور
PROV1251;كلكتا
PROV1252;دارجيلنج
PROV1253;بردوان
PROV1254;دكا
PROV1255;راجشاهي
PROV1256;جيسور
PROV1257;شيتاغونغ
PROV1258;جواهاتي
PROV1259;امفال
PROV1260;ديبروجاره
PROV1261;كوتاك
PROV1262;كيونجاهر
PROV1263;سامبالبور
PROV1264;أجمر
PROV1265;جايسالمر
PROV1266;جودبور
PROV1267;بيكانير
PROV1268;جايبور
PROV1269;أودايبور
PROV1270;جواليور
PROV1271;اندور
PROV1272;بوبال
PROV1273;تشاتاربور
PROV1274;ريوا
PROV1275;جوبولبور
PROV1276;هوشانغ آباد
PROV1277;ناجبور
PROV1278;اماراتي
PROV1279;جاغدالبور
PROV1280;رايبور
PROV1281;بيلاسبور
PROV1282;رايجاره
PROV1283;حيدر أباد
PROV1284;اورانجاباد
PROV1285;نظام آباد
PROV1286;جولبارجا
PROV1287;وارانجال
PROV1288;كراتشي
PROV1289;سوكور
PROV1290;اوماركوت
PROV1291;أحمد آباد
PROV1292;راجكوت
PROV1293;ماندفي
PROV1294;باتان
PROV1295;بارودا
PROV1296;سورة
PROV1297;بومباي
PROV1298;ناسيك
PROV1299;بونا
PROV1300;بيجابور
PROV1301;كولهابور
PROV1302;بلجاوم
PROV1303;جوا
PROV1304;مدراس
PROV1305;فيزاجاباتنام
PROV1306;ماسوليباتنام
PROV1307;نيلور
PROV1308;كورنول
PROV1309;تانجور
PROV1310;مادوراي
PROV1311;كويمباتور
PROV1312;بونديشيري
PROV1313;بنغالور
PROV1314;ميسور
PROV1315;شيتالدروغ
PROV1316;مانجالور
PROV1317;كاليكوت
PROV1318;كوشين
PROV1319;تريفاندروم
PROV1320;جزر أندامان
PROV1321;كولومبو
PROV1322;جافنا
PROV1323;كاندي
PROV1324;ترينكومالي
PROV1325;جزر المالديف
PROV1326;كاتماندو
PROV1327;جملة
PROV1328;توملونج
PROV1329;ثيمبو
PROV1330;رانغون
PROV1331;باسين
PROV1332;بيجو
PROV1333;تونغو
PROV1334;افا
PROV1335;كيوكسي
PROV1336;ماجوي
PROV1337;بروم
PROV1338;تاونجي
PROV1339;هاكا
PROV1340;لاشيو
PROV1341;بوتاو
PROV1342;ميتكيينا
PROV1343;مولمين
PROV1344;ميرغي
PROV1345;سيتوي
PROV1346;بانكوك
PROV1347;لوبوري
PROV1348;ناخون صوان
PROV1349;سوخوثاي
PROV1350;ناخون راتشاسيما
PROV1351;براشينبوري
PROV1352;فوكيت
PROV1353;راتشابوري
PROV1354;ناخون سي ثامارات
PROV1355;تشيانغ ماي
PROV1356;لوانغ برابانغ
PROV1357;فينتيان
PROV1358;أودون ثاني
PROV1359;سيساكيت
PROV1360;شيانغابولي
PROV1361;سافانخت
PROV1362;سالافان
PROV1363;باكتشي
PROV1364;أودونغ
PROV1365;تشانثابوري
PROV1366;باتامبانغ
PROV1367;كامبوت
PROV1368;ستونجترينج
PROV1369;هانوي
PROV1370;هاي فونج
PROV1371;كاو بانج
PROV1372;ابن لا
PROV1373;لانج سون
PROV1374;ثانه هوا
PROV1375;مسحة
PROV1376;فينه
PROV1377;توران
PROV1378;بليكو
PROV1379;كوي نهون
PROV1380;سايجون
PROV1381;دونغ كاي
PROV1382;هاتين
PROV1383;فينهلونج
PROV1384;سنغافورة
PROV1385;جوهور باهرو
PROV1386;ملقا
PROV1387;كوالا لمبور
PROV1388;بينانج
PROV1389;ألور ستار
PROV1390;كوانتان
PROV1391;كوتا باهرو
PROV1392;باتاني
PROV1393;بروناي
PROV1394;كوتشينغ
PROV1395;بينتولو
PROV1396;واجهة برمجة التطبيقات
PROV1397;سانداكان
PROV1398;جامبي
PROV1399;باليمبانج
PROV1400;إنديراجيري
PROV1401;سياك
PROV1402;تانجونجبينانج
PROV1403;لامبونج
PROV1404;بالاك بينانج
PROV1405;باندا آتشيه
PROV1406;ميدان
PROV1407;تاباكتوان
PROV1408;بادانج
PROV1409;سيبولجا
PROV1410;بنكولن
PROV1411;جونونجسيتولي
PROV1412;عدن
PROV1413;باتافيا
PROV1414;بوجور
PROV1415;سيريبون
PROV1416;يوجياكرتا
PROV1417;سيمارانج
PROV1418;سورابايا
PROV1419;سوراكارتا
PROV1420;بروبولينغو
PROV1421;مادورا
PROV1422;موراليف
PROV1423;بانجارماسين
PROV1424;باسير
PROV1425;تاراكان
PROV1426;بونتياناك
PROV1427;كوتا وارينجين
PROV1428;سينتانج
PROV1429;ساماريندا
PROV1430;ماكاسار
PROV1431;عظم
PROV1432;ماموجو
PROV1433;مينادو
PROV1434;لووك
PROV1435;بالو
PROV1436;كينداري
PROV1437;بولون
PROV1438;بالي
PROV1439;فلوريس
PROV1440;سومباوا
PROV1441;سومبا
PROV1442;لومبوك
PROV1443;روتي
PROV1444;ألور
PROV1445;كوبينج
PROV1446;ديلي
PROV1447;تيرنات
PROV1448;جيلولو
PROV1449;امبون
PROV1450;سيرام
PROV1451;آرو
PROV1452;بياك
PROV1453;سورونج
PROV1454;ميرا
PROV1455;مانيلا
PROV1456;فيجان
PROV1457;ليجازبي
PROV1458;ميندورو
PROV1459;بالاوان
PROV1460;إيلويلو
PROV1461;تاكلوبان
PROV1462;زامبوانجا
PROV1463;دافاو
PROV1464;سولو
PROV1465;أورجا
PROV1466;دالاندزادجاد
PROV1467;بيان تومين
PROV1468;أولياستاي
PROV1469;كيزيل
PROV1470;انتشينغ
PROV1471;تشيتشو
PROV1472;فنغيانغ
PROV1473;هويتشو
PROV1474;لوتشو
PROV1475;نينجو
PROV1476;سيتشو
PROV1477;تايبينغ
PROV1478;ينغتشو
PROV1479;موكدين
PROV1480;جينتشو
PROV1481;بورت آرثر
PROV1482;فوتشو
PROV1483;جيانينغ
PROV1484;تشيوانتشو
PROV1485;تايبيه
PROV1486;تينغتشو
PROV1487;تشانغتشو
PROV1488;جيايوقوان
PROV1489;قونغتشانغ
PROV1490;لانتشو
PROV1491;نينغشيا
PROV1492;بينجليانج
PROV1493;كانتون
PROV1494;تشاوتشو
PROV1495;تشانجيانغ
PROV1496;هونج كونج
PROV1497;هويتشو
PROV1498;ماكاو
PROV1499;هاينان
PROV1500;شاوتشو
PROV1501;تشاوتشينج
PROV1502;ناننينغ
PROV1503;قويلين
PROV1504;بينجل
PROV1505;قوييانغ
PROV1506;انشون
PROV1507;تشن يوان
PROV1508;كايفنغ
PROV1509;مرشد
PROV1510;لويانغ
PROV1511;تشنغتشو
PROV1512;تشنتشو
PROV1513;نانيانغ
PROV1514;رونينغ
PROV1515;ويهوي
PROV1516;هانيانغ
PROV1517;عميد
PROV1518;هوانغتشو
PROV1519;أنلو
PROV1520;جينغتشو
PROV1521;شينان
PROV1522;ووتشانغ
PROV1523;شيانغيانغ
PROV1524;تشانغشا
PROV1525;تشانغده
PROV1526;باوتشينج
PROV1527;هنغتشو
PROV1528;يوتشو
PROV1529;يونغشون
PROV1530;يونغتشو
PROV1531;أيرلندا الجديدة
PROV1532;جويهوا توميد
PROV1533;جيريم تشولجان
PROV1534;أولان شاب شولجان
PROV1535;ييكي جو تشولغان
PROV1536;هوايان
PROV1537;تشانغتشو
PROV1538;شنغهاي
PROV1539;سوتشو
PROV1540;تايتسانغتشو
PROV1541;تونغتشو
PROV1542;سوزهو
PROV1543;يانغتشو
PROV1544;تشنجيانغ
PROV1545;نانتشانغ
PROV1546;جوانجكسين
PROV1547;جيان
PROV1548;جيانتشانغ
PROV1549;جيوجيانغ
PROV1550;قانتشو
PROV1551;راوزهو
PROV1552;تشيتشيهار
PROV1553;ايجون
PROV1554;نينغوتا
PROV1555;جيلين
PROV1556;ماخاي
PROV1557;باليكونجومي
PROV1558;كيغودو
PROV1559;شيان
PROV1560;ميروك
PROV1561;ينان
PROV1562;هانتشونغ
PROV1563;جينان
PROV1564;كاوتشو
PROV1565;لايتشو
PROV1566;تشينغداو
PROV1567;كينغتشو
PROV1568;تايان
PROV1569;ويهايوي
PROV1570;وودينغ
PROV1571;ييتشو
PROV1572;تاييوان
PROV1573;فنزهو
PROV1574;لوان
PROV1575;بينغيانغ
PROV1576;داتونغ
PROV1577;تشونغتشينغ
PROV1578;تشنغدو
PROV1579;باوتونج
PROV1580;جيادينغ
PROV1581;كويتشو
PROV1582;لونجان
PROV1583;شونكينغ
PROV1584;تونغتشوان
PROV1585;ييبين
PROV1586;ياتشو
PROV1587;لاسا
PROV1588;تشامدو
PROV1589;شيجاتسي
PROV1590;لودراك
PROV1591;تشانغتانغ
PROV1592;نجاري
PROV1593;تاوانج
PROV1594;كاشغر
PROV1595;إيلي
PROV1596;تولتا
PROV1597;اكسو
PROV1598;خوتان
PROV1599;كومول
PROV1600;ديهو
PROV1601;كونمينغ
PROV1602;دالي
PROV1603;بوير
PROV1604;هانغتشو
PROV1605;هوتشو
PROV1606;جياشينغ
PROV1607;جينهوا
PROV1608;نينغبو
PROV1609;شاوشينغ
PROV1610;تايتشو
PROV1611;ونزهو
PROV1612;بكين
PROV1613;تشنغده
PROV1614;دامينغ
PROV1615;جيتشو
PROV1616;تانغشان
PROV1617;تيانجين
PROV1618;تشونغدينغ
PROV1619;بيونغ يانغ
PROV1620;تشونشون
PROV1621;هامهونغ
PROV1622;تشونغجين
PROV1623;كيمتشاك
PROV1624;سيول
PROV1625;كايسونج
PROV1626;هايجو
PROV1627;ساريوون
PROV1628;انشون
PROV1629;وونسان
PROV1630;كانجنونج
PROV1631;وونجو
PROV1632;بوسان
PROV1633;تايجو
PROV1634;بوهانج
PROV1635;كوانغجو
PROV1636;تايجون
PROV1637;تشيجو
PROV1638;هيروشيما
PROV1639;أوكاياما
PROV1640;ياماغوتشي
PROV1641;ماتسو
PROV1642;هاكوداته
PROV1643;إيشيكارا
PROV1644;نيمورو
PROV1645;نيجاتا
PROV1646;كانازاوا
PROV1647;فوكوي
PROV1648;توياما
PROV1649;ايدو
PROV1650;تشيبا
PROV1651;يوكوهاما
PROV1652;أوراوا
PROV1653;ميتو
PROV1654;بونين
PROV1655;أوساكا
PROV1656;واكاياما
PROV1657;كيوتو
PROV1658;نارا
PROV1659;كوبي
PROV1660;فوكوكا
PROV1661;ناغازاكي
PROV1662;كاجوشيما
PROV1663;ميازاكي
PROV1664;كوماموتو
PROV1665;كوتشي
PROV1666;ماتسوياما
PROV1667;توكوشيما
PROV1668;سينداي
PROV1669;فوكوشيما
PROV1670;موريوكا
PROV1671;اكيتا
PROV1672;أوموري
PROV1673;ياماغاتا
PROV1674;أوتسونوميا
PROV1675;ناغويا
PROV1676;شيزوكا
PROV1677;ناغانو
PROV1678;أوكيناوا
PROV1679;العماري
PROV1680;فاس
PROV1681;وزان
PROV1682;مكناس
PROV1683;تازة
PROV1684;وجدة
PROV1685;الرباط
PROV1686;طنجة
PROV1687;تطوان
PROV1688;اجدير
PROV1689;مليلية
PROV1690;مراكش
PROV1691;الدار البيضاء
PROV1692;هوريبكا
PROV1693;صويرة
PROV1694;أغادير
PROV1695;إفني
PROV1696;طرفاية
PROV1697;فكيك
PROV1698;الرشيدية
PROV1699;ورزازات
PROV1700;الجزائر العاصمة
PROV1701;بوجي
PROV1702;سطيف
PROV1703;المدية
PROV1704;وهران
PROV1705;تلمسان
PROV1706;مستغانم
PROV1707;ماسكارا
PROV1708;قسنطينة
PROV1709;عظم
PROV1710;بسكرة
PROV1711;ورقلة
PROV1712;طغرط
PROV1713;لغوات
PROV1714;بشار
PROV1715;نعمة
PROV1716;تندوف
PROV1717;تشيناشين
PROV1718;في صلاح
PROV1719;إليزي
PROV1720;تيميمون
PROV1721;في قزام
PROV1722;تين زواتن
PROV1723;بالبوا
PROV1724;تمنراست
PROV1725;تونس
PROV1726;بنزرت
PROV1727;قفصة
PROV1728;القيروان
PROV1729;توزر
PROV1730;قابس
PROV1731;طرابلس
PROV1732;غريان
PROV1733;مصراتة
PROV1734;سرت
PROV1735;بنغازي
PROV1736;دارنا
PROV1737;طبرق
PROV1738;الجغبوب
PROV1739;الكفرة
PROV1740;ودان
PROV1741;مرزق
PROV1742;سبها
PROV1743;غات
PROV1744;غدامس
PROV1745;القاهرة
PROV1746;دمياط
PROV1747;طنطا
PROV1748;المنصورة
PROV1749;الزقازيق
PROV1750;الجيزة
PROV1751;الإسكندرية
PROV1752;مطروح
PROV1753;سيدي براني
PROV1754;سيوة
PROV1755;السويس
PROV1756;العريش
PROV1757;شرم الشيخ
PROV1758;الفرافرة
PROV1759;الباويطي
PROV1760;موت
PROV1761;باريس
PROV1762;أسيوط
PROV1763;بني سويف
PROV1764;المنيا
PROV1765;الفيوم
PROV1766;أسوان
PROV1767;الأقصر
PROV1768;إدفو
PROV1769;قنا
PROV1770;القصير
PROV1771;مرسى علم
PROV1772;رأس غارب
PROV1773;عيون
PROV1774;الداخلة
PROV1775;نواكشوط
PROV1776;روسو
PROV1777;أليغ
PROV1778;مغامة
PROV1779;شنجيت
PROV1780;تيشيت
PROV1781;والاتا
PROV1782;بير مورغين
PROV1783;داكار
PROV1784;سانت لويس
PROV1785;بانجول
PROV1786;لينجير
PROV1787;ديوربيل
PROV1788;كاولاك
PROV1789;بودور
PROV1790;ماتام
PROV1791;باكيل
PROV1792;زيغينشور
PROV1793;فيلينجارا
PROV1794;باماكو
PROV1795;كايس
PROV1796;نيورو
PROV1797;كيتا
PROV1798;بوغوني
PROV1799;سيكاسو
PROV1800;بالتأكيد
PROV1801;مردية
PROV1802;جين
PROV1803;تمبكتو
PROV1804;باندياجارا
PROV1805;جاو
PROV1806;تاوديني
PROV1807;تساليت
PROV1808;نيامي
PROV1809;يقول
PROV1810;دوسو
PROV1811;مارادي
PROV1812;أجاديس
PROV1813;ارليت
PROV1814;ماداما
PROV1815;زيندر
PROV1816;كوفي
PROV1817;بيلما
PROV1818;ماسينيا
PROV1819;موندو
PROV1820;بونجور
PROV1821;أبيشي
PROV1822;ام تيمان
PROV1823;مونجو
PROV1824;ماو
PROV1825;زوار
PROV1826;فايا
PROV1827;الخرطوم
PROV1828;ود مدني
PROV1829;كسلا
PROV1830;سنار
PROV1831;ربك
PROV1832;فشودة
PROV1833;سواكن
PROV1834;حلايب
PROV1835;دنقلا
PROV1836;هيا
PROV1837;عطبرة
PROV1838;عبيد
PROV1839;نهود
PROV1840;كادقلي
PROV1841;الفاشر
PROV1842;جنينة
PROV1843;واو
PROV1844;بور
PROV1845;يامبيو
PROV1846;لادو
PROV1847;كبويتا
PROV1848;أسمرة
PROV1849;مصوع
PROV1850;أكوردات
PROV1851;عصب
PROV1852;جوندر
PROV1853;ديبري تابور
PROV1854;متمة
PROV1855;ديبري ماركوس
PROV1856;أكسوم
PROV1857;أنتالو
PROV1858;أوسا
PROV1859;انكوبر
PROV1860;أواسا
PROV1861;أسيليا
PROV1862;بونجا
PROV1863;أسوسا
PROV1864;نيجيل
PROV1865;هارير
PROV1866;الذهاب با
PROV1867;فيردر
PROV1868;مقديشو
PROV1869;بيدوا
PROV1870;كيسمايو
PROV1871;هوبيو
PROV1872;بوصاصو
PROV1873;بربرة
PROV1874;زيلا
PROV1875;جيبوتي
PROV1876;الرأس الأخضر
PROV1877;بيساو
PROV1878;جابو
PROV1879;بوفا
PROV1880;تيمبو
PROV1881;دينغيراي
PROV1882;كانكان
PROV1883;بيلا
PROV1884;فريتاون
PROV1885;فالابا
PROV1886;بو
PROV1887;مونروفيا
PROV1888;هاربر
PROV1889;بوبولو
PROV1890;غبارنغا
PROV1891;زويدرو
PROV1892;جراند لاهو
PROV1893;ساساندرا
PROV1894;جراند بسام
PROV1895;بواكي
PROV1896;رجل
PROV1897;أكوبي
PROV1898;كونغ
PROV1899;بوندوكو
PROV1900;أوديين
PROV1901;واغادوغو
PROV1902;واهيجيا
PROV1903;دوري
PROV1904;فادا نجورما
PROV1905;بوبو ديولاسو
PROV1906;أورودارو
PROV1907;أكرا
PROV1908;كيب كوست
PROV1909;سيكوندي
PROV1910;كوماسي
PROV1911;كينتامبو
PROV1912;وا
PROV1913;تامالي
PROV1914;لومي
PROV1915;هو
PROV1916;يندي
PROV1917;اتكابامي
PROV1918;سوكود
PROV1919;كوتونو
PROV1920;أبومي
PROV1921;نيكي
PROV1922;لعبة
PROV1923;لاغوس
PROV1924;أبيوكوتا
PROV1925;إبادان
PROV1926;إيفي
PROV1927;إيلورين
PROV1928;بنين
PROV1929;أكور
PROV1930;لوكوجا
PROV1931;واري
PROV1932;بوني
PROV1933;أوكا
PROV1934;كالابار
PROV1935;أروشوكو
PROV1936;مكوردي
PROV1937;توكاري
PROV1938;بوسا
PROV1939;زاريا
PROV1940;بيدا
PROV1941;أبوجا
PROV1942;باوتشي
PROV1943;جوس
PROV1944;جومبي
PROV1945;كانو
PROV1946;كيبي
PROV1947;كاتسينا
PROV1948;سوكوتو
PROV1949;هاديجيا
PROV1950;يولا
PROV1951;كوكا
PROV1952;نجورو
PROV1953;ديكوا
PROV1954;ساو تومي
PROV1955;فرناندو بو
PROV1956;دوالا
PROV1957;بويا
PROV1958;كريبي
PROV1959;ياوندي
PROV1960;بافوسام
PROV1961;باميندا
PROV1962;برتوا
PROV1963;نغاونديري
PROV1964;مروة
PROV1965;بانغي
PROV1966;نولا
PROV1967;بوار
PROV1968;بوسانغوا
PROV1969;زيميو
PROV1970;بانجاسو
PROV1971;نديلي
PROV1972;ليبرفيل
PROV1973;باتا
PROV1974;مايومبي
PROV1975;مواندا
PROV1976;ماكوكو
PROV1977;نكونا
PROV1978;مادينغو
PROV1979;بيلوكا
PROV1980;جامبالا
PROV1981;إمفوندو
PROV1982;كينشاسا
PROV1983;بوما
PROV1984;كانانجا
PROV1985;كومبانا
PROV1986;لوسامبو
PROV1987;بونكيا
PROV1988;موسومبا
PROV1989;مونزا
PROV1990;نيانغوي
PROV1991;أوفيرا
PROV1992;باسوكو
PROV1993;ايريبو
PROV1994;نشنغ
PROV1995;جيمينا
PROV1996;كيسنغاني
PROV1997;مونجباني
PROV1998;بارامو
PROV1999;لواندا
PROV2000;كابيندا
PROV2001;مبانزا
PROV2002;كيبالا
PROV2003;بنجويلا
PROV2004;محمديس
PROV2005;هوامبو
PROV2006;كويتو
PROV2007;مافينجا
PROV2008;أونجيفا
PROV2009;مالانجي
PROV2010;سوريمو
PROV2011;كوباندا
PROV2012;لوساكا
PROV2013;مونغو
PROV2014;كاسيمبا
PROV2015;مونزو
PROV2016;كازيمبي
PROV2017;كاسيما
PROV2018;تشيباتا
PROV2019;عنتيبي
PROV2020;مبارارا
PROV2021;ماسندي
PROV2022;كيتجوم
PROV2023;جينجا
PROV2024;نيروبي
PROV2025;مارسابيت
PROV2026;لودوار
PROV2027;ناكورو
PROV2028;كيسومو
PROV2029;مومباسا
PROV2030;لامو
PROV2031;واجير
PROV2032;جاريسا
PROV2033;فوي
PROV2034;كيغالي
PROV2035;أوسومبورا
PROV2036;دار السلام
PROV2037;طنجة
PROV2038;كيلوا
PROV2039;ليندي
PROV2040;سونجيا
PROV2041;ماساسي
PROV2042;إيرينجا
PROV2043;تابورا
PROV2044;موانزا
PROV2045;موروغورو
PROV2046;أوجيجي
PROV2047;أروشا
PROV2048;زنجبار
PROV2049;لورينزو ماركيز
PROV2050;شيميت
PROV2051;إنهامبان
PROV2052;ماسكيسيس
PROV2053;سينا
PROV2054;تيتي
PROV2055;سونجو
PROV2056;زومبو
PROV2057;سوفالا
PROV2058;موسوريز
PROV2059;كيليماني
PROV2060;موزمبيق
PROV2061;أنجوشي
PROV2062;شانغتشو
PROV2063;ايبو
PROV2064;نامبولا
PROV2065;ميلانج
PROV2066;زومبا
PROV2067;ليلونجوي
PROV2068;هراري
PROV2069;جويرو
PROV2070;موتاري
PROV2071;بولاوايو
PROV2072;هوانج
PROV2073;ماسفينغو
PROV2074;جابورون
PROV2075;سيروي
PROV2076;نوكانينج
PROV2077;تسابونج
PROV2078;ويندهوك
PROV2079;سواكوبموند
PROV2080;تسوميب
PROV2081;لينياتي
PROV2082;أوتجينين
PROV2083;خليج والفيس
PROV2084;أنجرا بيكينا
PROV2085;نو جوز
PROV2086;كاراسبورج
PROV2087;كيب تاون
PROV2088;سبرينغبوك
PROV2089;ووستر
PROV2090;سويتنهام
PROV2091;خليج موسيل
PROV2092;بوفورت
PROV2093;كالفينيا
PROV2094;كيمبرلي
PROV2095;ديكاثونج
PROV2096;ميناء اليزابيث
PROV2097;جراف رينيت
PROV2098;بيشو
PROV2099;ماثيل
PROV2100;امتاتا
PROV2101;بلومفونتين
PROV2102;وينبورغ
PROV2103;فيليبوليس
PROV2104;ثابا بوسيو
PROV2105;بريتوريا
PROV2106;ويتواترسراند
PROV2107;كليركسدروب
PROV2108;موسيجا
PROV2109;ليدنبورغ
PROV2110;ثوهوياندو
PROV2111;ديربان
PROV2112;ليديسميث
PROV2113;أولوندي
PROV2114;مبابان
PROV2115;تاناناريف
PROV2116;فيانارانتسوا
PROV2117;امانيهي
PROV2118;تولانارو
PROV2119;تواماسينا
PROV2120;أنتسيرانانا
PROV2121;ماهاجانجا
PROV2122;توليارا
PROV2123;جزر القمر
PROV2124;مايوت
PROV2125;موريشيوس
PROV2126;بوربون
PROV2127;سيشيل
PROV2128;دييغو جارسيا
PROV2129;سانت هيلانة
PROV2130;الصعود
PROV2131;جزر فوكلاند
PROV2132;تريستان دا كونها
PROV2133;جورجيا الجنوبية
PROV2134;جزر الأزور
PROV2135;الماديرا
PROV2136;جزر الكناري
PROV2137;هيرموسيلو
PROV2138;لوريتو
PROV2139;روزاريتو
PROV2140;نوجاليس
PROV2141;جويماس
PROV2142;تشيهواهوا
PROV2143;باسو ديل نورتي
PROV2144;ديليسياس
PROV2145;بارال
PROV2146;مونتيري
PROV2147;موريلوس
PROV2148;رينوسا
PROV2149;ماتاموروس
PROV2150;سيوداد فيكتوريا
PROV2151;سالتيلو
PROV2152;مونكلوفا
PROV2153;دورانجو
PROV2154;سانتا ماريا ديل أورو
PROV2155;توريون
PROV2156;مازاتلان
PROV2157;كولياكان
PROV2158;زاكاتيكاس
PROV2159;سان لويس بوتوسي
PROV2160;أغواسكاليينتس
PROV2161;تيبيك
PROV2162;فيراكروز
PROV2163;تامبيكو
PROV2164;ميناتيتلان
PROV2165;فيلاهيرموسا
PROV2166;غوادالاخارا
PROV2167;غواناخواتو
PROV2168;بويرتو فالارتا
PROV2169;كوليما
PROV2170;موريليا
PROV2171;لوس ألبانيليس
PROV2172;مدينة مكسيكو
PROV2173;كويريتارو
PROV2174;تولوكا
PROV2175;تولانسينغو
PROV2176;بويبلا
PROV2177;أواكساكا
PROV2178;كولاتارو
PROV2179;أكابولكو
PROV2180;تشيلبانسينغو
PROV2181;توكستلا
PROV2182;تاباتشولا
PROV2183;ميريدا
PROV2184;كامبيتشي
PROV2185;باكالار
PROV2186;غواتيمالا
PROV2187;كويتزالتنانغو
PROV2188;بويرتو باريوس
PROV2189;ساياكسشي
PROV2190;بليز
PROV2191;سان سلفادور
PROV2192;سان ميغيل
PROV2193;كوماياغوا
PROV2194;سان بيدرو سولا
PROV2195;لا سيبا
PROV2196;بويرتو لامبيرا
PROV2197;ماناغوا
PROV2198;ريفاس
PROV2199;ليون
PROV2200;بلوفيلدز
PROV2201;سان خوسيه
PROV2202;ليبيريا
PROV2203;ليمون
PROV2204;مدينة باناما
PROV2205;ديفيد
PROV2206;بينونومي
PROV2207;سينشاند
PROV2208;يافيزيا
PROV2209;هافانا
PROV2210;جاغوا
PROV2211;كاماغوي
PROV2212;سانتياغو دي كوبا
PROV2213;بورت أو برنس
PROV2214;سانتو دومينغو
PROV2215;كاب هايتيان
PROV2216;لا فيجا
PROV2217;جامايكا
PROV2218;جزر كايمان
PROV2219;جزر البهاما
PROV2220;تركس وكايكوس
PROV2221;نانجينغ
PROV2222;بورتوريكو
PROV2223;سانت توماس
PROV2224;أنتيغوا
PROV2225;مونتسيرات
PROV2226;تورتولا
PROV2227;سانت كيتس
PROV2228;مارتينيك
PROV2229;بربادوس
PROV2230;جوادلوب
PROV2231;القديسة لوسيا
PROV2232;دومينيكا
PROV2233;غرينادا
PROV2234;كوراكاو
PROV2235;أروبا
PROV2236;القديس مارتن
PROV2237;ترينيداد
PROV2238;توباغو
PROV2239;جورج تاون
PROV2240;باراماريبو
PROV2241;حريف
PROV2242;المهدية
PROV2243;إيسيكويبو
PROV2244;جزيرة عيد الميلاد
PROV2245;أبيتينا
PROV2246;ماريباسولا
PROV2247;بوغوتا
PROV2248;إيباغوي
PROV2249;تونجا
PROV2250;مانيزاليس
PROV2251;كوكوتا
PROV2252;ميديلين
PROV2253;كويبدو
PROV2254;قرطاجنة دي إندياس
PROV2255;بارانكويلا
PROV2256;كالي
PROV2257;بوبايان
PROV2258;بوينافينتورا
PROV2259;باستو
PROV2260;سان خوسيه ديل جوافياري
PROV2261;أوباندو
PROV2262;كازاناري
PROV2263;إل إنكانتو
PROV2264;كاراكاس
PROV2265;جواناري
PROV2266;كالابوزو
PROV2267;كومانا
PROV2268;سان فيليبي
PROV2269;جويريا
PROV2270;ماراكايبو
PROV2271;فاليرا
PROV2272;كورو
PROV2273;باركيسيميتو
PROV2274;باريناس
PROV2275;أنجوستورا
PROV2276;كوريابو
PROV2277;الجوبال
PROV2278;سان فرناندو دي أتابابو
PROV2279;كيتو
PROV2280;غواياكيل
PROV2281;ازميرالداس
PROV2282;لوخا
PROV2283;زامورا
PROV2284;تينا
PROV2285;غالاباغوس
PROV2286;إكيتوس
PROV2287;يوريماجواس
PROV2288;يونكوس
PROV2289;بوكا أوركو
PROV2290;كاخاماركا
PROV2291;بيورا
PROV2292;تروخيو
PROV2293;هوانوكو
PROV2294;مويوبامبا
PROV2295;ليما
PROV2296;هوانكافيليكا
PROV2297;إيكا
PROV2298;هواراز
PROV2299;أياكوتشو
PROV2300;بوكالبا
PROV2301;بويرتو مالدونادو
PROV2302;كوسكو
PROV2303;بونو
PROV2304;أريكويبا
PROV2305;أنتوفاجاستا
PROV2306;سوروكابا
PROV2307;إكيكي
PROV2308;أريكا
PROV2309;كالاما
PROV2310;لاباز
PROV2311;كوتشابامبا
PROV2312;أورورو
PROV2313;تشوكيساكا
PROV2314;بوتوسي
PROV2315;تاريخا
PROV2316;سانتا كروز
PROV2317;سان إجناسيو
PROV2318;روبوري
PROV2319;سانتا آنا
PROV2320;ريبيرالتا
PROV2321;كوبيجا
PROV2322;كوبيابو
PROV2323;لا سيرينا
PROV2324;سانتياغو
PROV2325;فالبارايسو
PROV2326;فينا ديل مار
PROV2327;تالكا
PROV2328;فالديفيا
PROV2329;تيموكو
PROV2330;كوكوينيس
PROV2331;شيلان
PROV2332;أوسورنو
PROV2333;بويرتو آيسن
PROV2334;بونتا اريناس
PROV2335;بورفينير
PROV2336;جزيرة الفصح
PROV2337;فورتين فالكون
PROV2338;بويرتو غواراني
