support_for_blank;دعم النص $
pop_lit_5;معدّل كفاءة التعليم الوطني: $x$
pop_lit_6;معدّل معدّل كفاءة التعليم الوطني: $x$
pop_lit_7;معدل التغير الأساسي في معرفة القراءة والكتابة: $x$
pop_lit_8;و 0.01
pop_growth_topbar;ومن المتوقع أن ينمو بنسبة ?G$x$?W خلال الشهر المقبل.
pop_growth_topbar_2;تغير عدد السكان بمقدار ?G$x$?W في آخر ?Y30?W أيام.
pop_growth_topbar_3;يبلغ عدد السكان الذكور البالغين لدينا ?Y$curr$?W. ذكرنا البالغ
pop_growth_topbar_4;مجموع سكاننا هو؟Y$val$؟W.
pop_growth_1;نمو البوب ​​الشهري:
pop_growth_2;العبيد لا ينمون
pop_growth_3;يتناسب نمو البوب ​​​​مع حجم الفرقعة مضروبًا في مجموع:
pop_growth_4;عامل جودة الحياة $x$ وهو حاصل ضرب:
pop_growth_5;عامل المقاطعة $x$، وهو في حد ذاته مجموع:
pop_growth_6;تصنيف الحياة للمقاطعة $x$ مطروحًا منه الحد الأدنى لتصنيف الحياة $y$، في جميع الأوقات $val$
pop_growth_7;وقيمة نمو البوب ​​الأساسي $x$
pop_growth_8;تحتاج حياة البوب ​​إلى العامل $x$ (الحياة تحتاج إلى الرضا $y$ - حد المجاعة $val$)
pop_growth_9;و 4
pop_growth_10;معدل النمو السكاني المحلي $x$
pop_growth_11;معدل النمو السكاني الوطني $x$
pop_assim_1;استيعاب البوب ​​الشهري: $x$
pop_assim_2;العبيد لا يستوعبون
pop_assim_3;لا يتم استيعاب الملوثات العضوية الثابتة في الثقافة المقبولة
pop_assim_4;لا يتم استيعاب الملوثات العضوية الثابتة في المقاطعات الاستعمارية
pop_assim_5;لا يتم استيعاب الملوثات العضوية الثابتة في المقاطعات الخارجية
pop_assim_6;يتناسب الاستيعاب مع حجم البوب ​​مضروبًا في ناتج:
pop_assim_7;مقياس الاستيعاب الأساسي: $x$
pop_assim_8;معدّل معدل الاستيعاب الوطني: $x$
pop_assim_9;معدّل معدل الاستيعاب المحلي: $x$
pop_assim_10;0.1 لعدم وجود ثقافة خارجية
pop_assim_11;$x$ من النوى الموجودة في المقاطعة
pop_assim_12;عوامل الاستيعاب المتغيرة: $x$
pop_conver_1;تحويل البوب ​​الشهري: $x$
pop_conver_2;الملوثات العضوية الثابتة في دين الدولة لا تتحول
pop_conver_3;لا يتحول البوب ​​إلا إذا كان هناك بوباء من دين الدولة في نفس المحافظة
pop_conver_4;يتناسب التحويل مع حجم البوب ​​مضروبًا في ناتج:
pop_conver_5;مقياس التحويل الأساسي: $x$
pop_conver_6;معدّل معدل التحويل الوطني: $x$
pop_conver_7;مُعدِّل معدل التحويل المحلي: $x$
pop_conver_8;عوامل التحويل المتغيرة: $x$
pop_issue_attraction_1;جاذبية الإصدار: $x$
pop_issue_attraction_2;وهذا الإصلاح غير ممكن حاليا
pop_issue_attraction_3;إن جذب القضايا هو نتاج:
pop_issue_attraction_4;المعدل الوطني لرغبة الإصلاح الاجتماعي: $x$
pop_issue_attraction_5;المعدل الوطني لرغبة الإصلاح السياسي: $x$
pop_issue_attraction_6;وعامل جذب المشكلة: $x$
pop_ideology_attraction_1;جاذبية الأيديولوجية: $x$
pop_ideology_attraction_2;هذه الأيديولوجية غير متوفرة حاليا
trade_setting_drawing;الرسم على المخزونات
trade_setting_filling;ملء المخزونات
trade_setting_stable;لا يوجد نشاط مخزون
trade_commodity_report_1;الطلب العالمي الحالي: $x$
trade_commodity_report_2;الإنتاج العالمي الحالي: $x$
trade_commodity_report_3;الاستهلاك العالمي الحالي: $x$
trade_commodity_report_4;المبلغ في السوق العالمية: $x$
trade_fill;يملأ
trade_use;رسم على
trade_stockpile_target;الكمية المستهدفة للمخزون:
trade_stockpile_current;المخزون الحالي:
diplomacy_wx_1;الإرهاق الحربي الشهري:
influence_explain_1;نحن محظورون حاليا وليس لدينا أي تأثير مع هذه الأمة
influence_explain_2;لدينا هدنة مع هذه الأمة وليس لنا أي نفوذ فيها
influence_explain_3;نحن في حالة حرب مع هذه الأمة وليس لنا أي نفوذ فيها
influence_explain_4;نحن نجمع، مع جميع الدول، ما مجموعه $x$ من التأثير يوميًا.
influence_explain_5;هذا هو حاصل ضرب معدل اكتساب التأثير الأساسي ($x$) مضروبًا في معدّل التأثير الوطني ($y$) مضروبًا في معدّل التأثير من التكنولوجيا ($val$)
influence_explain_6;معدل التأثير الوطني: $x$
influence_explain_7;معدل التأثير من التكنولوجيا: $x$
influence_explain_8;يتم تقسيم هذا بين الدول التي نؤثر عليها، مما يؤدي إلى ربح يومي أساسي قدره: $x$
influence_explain_9;وهو مضروب أيضًا في 1 بالإضافة إلى مجموع العوامل التالية:
influence_explain_10;$x$ من فقدان مصداقيتها
influence_explain_11;$x$ من كوننا جيرانًا
influence_explain_12;$x$ من وجود واحد أو أكثر من أعضاء مجالنا كجار
influence_explain_13;$x$ من عدم وجود رأس مالها في نفس القارة مثل قارتنا
influence_explain_14;$x$ من كونه موضوعنا
influence_explain_15;$x$ من علاقتنا
influence_explain_16;$x$ من استثمارنا في الأمة
influence_explain_17;$x$ من حجم الدولة المستهدفة
influence_explain_18;$x$ من درجاتنا النسبية
until_date;حتى $x$
add_wg_1;لا يمكنك إضافة هدف حرب ضد نفسك
add_wg_2;أنت في حالة حرب
add_wg_3;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
add_wg_4;يلبي دعم الشوفينية الحالي ($x$) الحد الأدنى المطلوب لإضافة هدف حرب ($y$)
add_wg_5;لم تتم إضافة هدف حرب الوضع الراهن إلى جانبك
intervene_1;التدخل في الحرب
intervene_2;التدخل في حرب كبيرة
intervene_3;هي قوة عظمى
intervene_4;لا تدخل في أزمة
intervene_5;لقد مر شهر (أشهر) $x$ على الأقل منذ بدء الحرب
intervene_6;إن الانضمام إلى الحرب لن يضعك في حالة حرب ضد نفس الأمة مرتين أو القتال مع نفس الأمة وضدها
intervene_7;ليست حرب أزمة
intervene_8;الانضمام من شأنه أن يكسر الهدنة
intervene_9;ويدعم المدافع
intervene_10;ليس للمدافعين أهداف حربية سوى الوضع الراهن
intervene_11;تبلغ نتيجة حرب المهاجم $x$ على الأقل
intervene_12;استنفاد الحرب أقل من $x$
intervene_13;العلاقات مع زعيم الحرب لا تقل عن $x$
intervene_14;لا يوجد أي من أعضاء مجالك على الجانب الآخر
intervene_15;لا أحد من حلفائك في الجانب المعارض
intervene_16;لا يوجد أي من جيوشك في المقاطعات المملوكة للجانب المعارض
intervene_17;المدافع الأساسي لديه رأي ودي عنك
military_score_explain_1;نقاط السفينة الرئيسية: $x$
military_score_explain_2;الأفواج القابلة للتجنيد: $x$
military_score_explain_3;الأفواج النشطة: $x$
military_score_explain_4;هل منزوع السلاح؟ (عامل الجزاء $x$)
military_score_explain_5;معدل استهلاك العرض: $x$
military_score_explain_6;متوسط ​​نقاط وحدة الأرض: $x$
military_score_explain_7;إجمالي عدد القادة: $x$
industry_score_explain_2;الاستثمارات الأجنبية التالية تضيف أيضًا (عامل الوزن $x$):
industry_score_explain_3;$y$ في $x$
war_goal_1;تمت الإضافة بواسطة: $x$
war_goal_2;الاستهداف: $x$
war_goal_3;بالنسبة للحالة: $x$
war_goal_4;الأمة الثانوية: $x$
war_goal_5;نتيجة الحرب الموقوتة: $x$
war_goal_6;إذا نحن نحتل؟Y$x$؟! من المحافظات سنكسب ?Y$y$؟! درجة الحرب الموقوتة (نسبة إلى جزء من المقاطعات المحتلة)
war_goal_7;لدينا فترة سماح تبلغ ?Y$x$؟! أيام للاحتلال، وإلا فإننا سوف تفقد؟Y$y$؟! نقاط الحرب الموقوتة يوميا
war_goal_8;بدأت الحرب في ?Y$x$؟!، يجب أن نملأها بـ ?Y$y$؟!، قبل انتهاء فترة السماح؟!
war_goal_9;فترة السماح ؟الرس نفذ؟! (كانت الفترة من ?Y$x$؟! إلى ?Y$y$؟!)
war_goal_10;العلامة الثانوية: $x$
utt_unit;($country$) - $unit$ ($leader$)\n ($المشاة$ / $cavalry$ / $special$)
utt_noleader;لا زعيم
war_score_1;من المهنة: $x$
war_score_2;من المعارك: $x$
war_score_3;من أهداف الحرب: $x$
war_score_4;من الحصار: $x$
dp_inf_tooltip_ban;السفارة محظورة حتى $x$
dp_inf_tooltip_discredit;فقدت مصداقيتها حتى $x$
discredit_explain_1;لا يمكنك تشويه سمعة نفسك
discredit_explain_2;رأي الهدف فيك أفضل من رأي العداء
discredit_explain_3;القوة العظمى ليست محظورة
iaction_explain_1;لديك تأثير $x$ على الأقل على الهدف
iaction_explain_2;سفارتك ليست محظورة
iaction_explain_3;أنت لست في حالة حرب مع الهدف
iaction_explain_4;إن رأي الهدف في القوة العظمى يساوي على الأكثر رأيه فيك
expel_explain_1;لا يمكنك طرد المستشارين الخاصين بك
expel_explain_2;رأي الهدف فيك هو على الأقل محايد
ban_explain_1;لا يمكنك حظر سفارتك
ban_explain_2;رأي الهدف فيك ودود على الأقل
dec_op_explain_1;لا يمكنك التقليل من رأي الأمة فيك
dec_op_explain_2;لا يمكنك التقليل من رأي أمة في زعيم مجالها
dec_op_explain_3;رأي الهدف فيك أفضل من رأي العداء
dec_op_explain_4;إن رأي الهدف بشأن قوة عظمى لا يمكن أن يكون أسوأ من كونه عدائياً
iaction_explain_5;أنت قوة عظيمة
iaction_explain_6;الهدف ليس قوة عظمى
state_transfer_di;نقل الدولة
state_transfer_button;نقل الدولة
state_transfer_offer;يعرض $actor$ أن يقدم لنا حالات:
state_transfer_desc;ينقل ملكية دولة إلى دولة أخرى، وهو أمر مفيد للمفاوضات خارج نطاق اللعبة
state_transfer_explain_1;الأمة المستهدفة هي لاعب
state_transfer_explain_2;لا توجد أي أزمة حاليا
state_transfer_explain_3;نحن لسنا مواضيع
state_transfer_explain_4;إنهم ليسوا مواضيع
state_transfer_explain_5;نحن في سلام
state_transfer_explain_6;لدينا أكثر من 1 دولة
cancel_ally_explain_1;لا يمكنك إلغاء التحالف مع نفسك
cancel_ally_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
cancel_ally_explain_3;أنت متحالف حاليا
cancel_ally_explain_4;أنت لست حاليًا في حرب معًا
cancel_ally_explain_5;أنت لست تابعاً للدولة المستهدفة
ally_explain_1;لا يمكنك تشكيل تحالف مع نفسك
ally_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
ally_explain_3;أنت لست متحالفا حاليا
ally_explain_4;أنتم لستم قوتين عظيمتين بينما الأزمة مستمرة
ally_explain_5;أنتم لستم أمة خاضعة
ally_explain_6;أنت لست حاليًا في حالة حرب مع الهدف
ally_explain_7;سوف يقبل الذكاء الاصطناعي
ally_explain_8;الهدف ليس دولة خاضعة
call_ally_explain_1;لديك تحالف مع هذه الأمة
call_ally_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
call_ally_explain_3;أنت في حالة حرب
call_ally_explain_4;هناك حرب يمكن استدعاء هذه الأمة إليها
call_ally_explain_5;سوف يقبل الذكاء الاصطناعي
cancel_access_explain_1;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
ask_access_explain_1;لا يمكنك الحصول على وصول عسكري من نفسك
ask_access_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
ask_access_explain_3;سوف يقبل الذكاء الاصطناعي
ask_access_explain_4;أنت لست حاليًا في حالة حرب مع الهدف
cancel_given_access_explain_1;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
give_access_explain_1;لا يمكنك منح حق الوصول العسكري لنفسك
give_access_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
give_access_explain_3;أنت لست حاليًا في حالة حرب مع الهدف
increase_rel_explain_1;يحسن علاقاتنا بـ ?G+$x$
increase_rel_explain_2;لا يمكنك زيادة علاقتك مع نفسك
increase_rel_explain_3;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
increase_rel_explain_4;العلاقات الحالية أقل من 200
increase_rel_explain_5;أنت لست حاليًا في حالة حرب مع الهدف
decrease_rel_explain_1;يؤدي إلى تفاقم علاقاتنا بنسبة ?R$x$
decrease_rel_explain_2;لا يمكنك تقليل علاقتك مع نفسك
decrease_rel_explain_3;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
decrease_rel_explain_4;العلاقات الحالية أكبر من -200
decrease_rel_explain_5;أنت لست حاليًا في حالة حرب مع الهدف
cancel_w_sub_explain_1;حاليا نحن ندعم هذه الأمة؟Y$x$؟! في اليوم
cancel_w_sub_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
w_sub_explain_1;لا يمكنك تقديم إعانات الحرب لنفسك
w_sub_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
w_sub_explain_3;أنت لست حاليًا في حالة حرب مع الهدف
w_sub_explain_4;الهدف في حالة حرب
invention_bulb_1;لا يمكن اكتشاف هذا الاختراع حاليا
invention_bulb_2;ومن الممكن اكتشاف هذا الاختراع
invention_bulb_3;وقد تم اكتشاف هذا الاختراع
not_implemented;لم يتم تنفيذ هذه الميزة حاليا
inc_op_explain_1;رأي الأمة فيك أقل من الود
add_sphere_explain_1;الأمة لديها رأي ودي فيك
add_sphere_explain_2;الأمة لا تخضع حاليًا لقوة عظمى أخرى
rem_sphere_explain_1;الأمة حاليا محاطة بقوة عظمى
rem_sphere_explain_2;الأمة لديها رأي ودي فيك
rem_sphere_explain_3;الأمة في دائرة نفوذك
rem_sphere_explain_4;إن إزالة أمة من دائرة نفوذك سوف يزيد من شهرتك بمقدار ?R$x$
rem_sphere_explain_5;إن إزالة أمة من مجال نفوذك سوف يقلل من هيبتك بمقدار ?R$x$
fab_explain_1;لا يمكنك تبرير الحرب ضد نفسك
fab_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
fab_explain_3;أنت لا تقوم حاليًا باختلاق سبب للحرب
fab_explain_4;أنت أمة مستقلة أو الهدف هو أفرلورد الخاص بك
fab_explain_5;الهدف ليس في نطاق نفوذك
fab_explain_6;أنت لست حاليًا في حالة حرب مع الهدف
fab_explain_7;يمكنك اختلاق سبب للحرب
peace_description;قدم عرض سلام لإنهاء الأعمال العدائية بينك وبين هذه الأمة
peace_explain_1;ليست أمة خاضعة
peace_explain_2;الهدف ليس أمة خاضعة
peace_explain_3;واحد على الأقل من الأطراف المتفاوضة هو قائد الحرب من جانبهم
peace_explain_4;كلا الطرفين قادة الحرب (حرب الأزمات)
peace_explain_5;ليس لديك أي عرض سلام آخر قيد التنفيذ
war_explain_1;لا يمكنك إعلان الحرب على نفسك
war_explain_2;لديك سبب للحرب لاستخدامه ضد هذه الأمة
war_explain_3;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
war_explain_4;أنت لست في حرب بالفعل مع هذه الأمة
wg_result_1;عند إضافة هدف الحرب هذا:
wg_result_2;في تحقيق هذا الهدف الحربي:
wg_result_3;وعن الفشل في تحقيق هدف الحرب هذا:
wg_not_ready;يجب عليك الانتهاء من اختيار هدف الحرب
crisis_temperature_ex;درجة حرارة الأزمة الحالية هي؟R$value$?W! الوصول إلى 100 راند سيشعل حرب أزمة بين الجانبين
crisis_mode_no_crisis;لا توجد أزمة
crisis_mode_finding_attacker;العثور على داعم للجانب المهاجم
crisis_mode_finding_defender;العثور على ظهير لجانب المدافع
crisis_mode_heating_up;تسخين الأزمة
crisis_back_explain_1;أنت مهتم بالأزمة (على الحياد)
crisis_back_explain_2;لقد اجتذبت الأزمة داعميها الأوائل
crisis_add_interest_button;اهتموا بهذه الأزمة
crisis_add_interest_button_ex_1;أنت قوة عظيمة
crisis_add_interest_button_ex_2;لقد اجتذبت الأزمة داعميها الأوائل
crisis_add_interest_button_ex_3;لديك نقطة دبلوماسية واحدة على الأقل
crisis_offer_button;قدم عرضًا لهذه الأمة للانضمام إلى جانبك من الأزمة
crisis_offer_button_ex_1;أنت قائد أحد أطراف الأزمة
crisis_offer_button_ex_2;لقد اجتذبت الأزمة داعميها الأوائل
crisis_offer_button_ex_3;لديك نقطة دبلوماسية واحدة على الأقل
multiunit_header;وحدات $x$ مختارة
ai_alliance_1;يبحث الذكاء الاصطناعي حاليًا عن حلفاء
ai_alliance_2;أمتك قريبة بما يكفي للمساعدة في الحرب
ai_alliance_3;لا طموحات متضاربة
ai_alliance_4;إن جيش أمتك قوي بما فيه الكفاية
ai_alliance_5;لديها مصالح استراتيجية مشتركة
ai_access_1;يرى الذكاء الاصطناعي أن إحدى حروبك مفيدة لهم
col_start_title;البدء في استعمار هذه الدولة
col_start_1;لا يوجد مستعمرون أو أن الاستعمار لا يزال في مرحلته الأولية
col_start_2;أمتك على الأقل رتبة $x$
col_start_3;الدولة ليست هدفا لأزمة استعمارية
col_start_4;أنت لا تشارك في حرب الأزمات
col_start_5;الحد الأدنى لتصنيف الحياة الذي يمكنك استعماره ($x$) أقل من أو يساوي تصنيف الحياة للدولة ($y$)
col_start_6;القاعدة ؟Y$x$
col_start_7;يوجد ثلاثة مستعمرين آخرين على الأكثر
col_start_8;أنت متاخم للدولة أو أنها ضمن النطاق البحري
col_start_9;لديك ما لا يقل عن $x$ من النقاط الاستعمارية المجانية
col_invest_title;استثمر في مستعمرتك
col_invest_1;أمتك على الأقل رتبة $x$
col_invest_2;الدولة ليست هدفا لأزمة استعمارية
col_invest_3;أنت لا تشارك في حرب الأزمات
col_invest_4;وبدون منافسة، ستتمكن من تحويل هذه الولاية إلى مستعمرة على $x$
col_invest_5;لقد مرت $x$ يومًا منذ آخر استثمار لك (الاستثمار التالي ممكن على $y$)
col_invest_6;لديك ما لا يقل عن $x$ من النقاط الاستعمارية المجانية
activated_by_with_a_chance_of;تم التنشيط بواسطة ?Y$x$؟!، مع فرصة:
unit_max_speed;السرعة القصوى ؟G$x$؟! كيلومترا في الساعة
unit_attack;الهجوم ؟G$x$
unit_hull;هال ؟G$x$
unit_fire_range;نطاق إطلاق النار؟G$x$
unit_supply_consumption;استهلاك العرض ؟R$x$
unit_supply_load;وزن الإمدادات؟R$x$
unit_defence;الدفاع ؟G$x$
unit_discipline;الانضباط ؟G$x$
unit_maneuver;مناورة ؟G$x$
unit_recon;الاستطلاع ؟G$x$
unit_support;الدعم ؟G$x$
unit_evasion;التهرب؟G$x$
unit_siege;الحصار ؟G$x$
unit_torpedo_attack;هجوم الطوربيد ؟G$x$
unit_build_time;$x$ أيام
unit_build_unit_pop_size;$س$ك
unit_build_unit_brigades;$x$/$y$
uv_sort_a;أت
uv_sort_b;مواطنه
uv_sort_c;منظمة
uv_sort_d;مور
uv_sort_e;Spd
uv_sort_f;تفصيل
uv_sort_g;Rel
uv_sort_h;إكسب
alice_condition_diplo_points;لديه على الأقل $x$ نقاط دبلوماسية
alice_retreat;التراجع عن المعركة
alice_retreat_1;لقد مرت أيام $x$ على الأقل منذ بدء المعركة
alice_retreat_2;أنت المهاجم الرئيسي أو المدافع
alice_province_select;يختار المحافظة
alice_province_deselect;يقوم بإلغاء تحديد المقاطعة
alice_province_selector_on;على
alice_province_selector_off;عن
province_selector;محدد
province_immigrator;مهاجر
tt_a_bank;بنك
tt_a_university;جامعة
et_add_selector;تمكين محدد المقاطعة
et_remove_selector;تعطيل محدد المقاطعة
et_add_immigrator;تمكين مقاطعة المهاجرين
et_remove_immigrator;تعطيل مقاطعة المهاجرين
et_if;لو
et_else_if;آخر
modifier_province_selector;محدد المقاطعة
modifier_province_immigrator;مهاجر المحافظة
modifier_conversion_rate;معدل التحويل
modifier_attrition;الاستنزاف
chat_player_joins;انضم @$x$ $playername$
chat_player_leaves;@$x$ $playername$ متبقي
chat_player_ban;تم حظر @$x$ $playername$
chat_player_kick;تم طرد @$x$ $playername$
chat_player_switch;@$x$ $playername$ اختار $country$
chat_player_oos;تم تسجيل @$x$ $playername$!
alice_status_stream;حفظ التقدم $value$
alice_play_pending_client;$playername$ ليس جاهزًا بعد
alice_stockpile_button_0_0;"تعمل المخزونات الوطنية بمثابة بهار للأنشطة الاقتصادية والتجارية المعتادة، حيث يرى الناس خطوط ""Ggreen""W ترتفع، و""Rred""W خطوط تنخفض، كما هو معتاد أنا ""Ynot؟""W رسم بياني خطي لذلك أنا في الغالب تمر مرور الكرام :)"
alice_stockpile_button_1_0;إذا قمت بالنقر فوقي 10 مرات فلن تحصل على أي شيء في المقابل، فقط ثق بي، لا تنقر فوقي... ?ROR ELSE?W
alice_stockpile_button_1_1;"أرى، حسنًا، الآن لن أقول أي شيء لأنني أعلم أنك ستستمر في النقر حتى أقول حوارًا ""مختلفًا؟"" وهذا أمر ممل فحسب"
alice_stockpile_button_1_2;حسنًا، لا أستطيع أن أجعلك تتوقف، ربما هذا سيفعل؟
alice_stockpile_button_2_0;أنا زر بلا روح، تابع
alice_stockpile_button_3_0;اللعب مع الأصدقاء أليس كذلك؟ ?حسن الحظ، سوف تحتاج إليه؟دبليو
a_alert_reb;واحد أو أكثر من أعضاء مجالنا لديه متمردين نشطين:
event_auto;اختر هذا الخيار تلقائيًا لبقية الجلسة.
event_taken_auto;سيتم اتخاذ هذا الخيار تلقائيًا في ?Y$date$?W.
alice_load_unload_1;البحرية الراسية هنا لديها القدرة الكافية
alice_load_unload_2;ويجري نقل الجيش
alice_load_unload_3;يرسو أسطول النقل
alice_load_unload_4;يتم نقل جيش واحد أو أكثر
alice_load_unload_5;رست الأسطول
alice_unload_fleet;تفريغ جميع الجيوش التي ينقلها الأسطول
auto_save_lb;تردد الحفظ التلقائي
auto_save_1;يوميًا
auto_save_2;شهريا
auto_save_3;سنوي
auto_save_0;لا أحد
monthly_emigration_lab;الهجرة الشهرية إلى (أعلى 10)
monthly_immigration_lab;الهجرة الشهرية من (أعلى 10)
im_em_header;الهجرة المتوقعة/الهجرة لـ
alice_unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W الاستنزاف
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($date$) - ?R$cost$?W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - ?R$cost$?W ($attunit$/$defunit$)
disarmed_pop;عضو في أمة منزوعة السلاح
cancel_fac_construction;إلغاء بناء المصنع
cancel_fac_upgrade;إلغاء ترقية المصنع
kierkegaard_1;أيضاً
kierkegaard_2;أو
open_and_sub;دعم وإعادة فتح المصنع
o_set_national_flag;قم بتعيين العلم الوطني $text$ للمالك
o_add_modifier_until;يحصل مالك المقاطعة على $text$ حتى $date$
o_add_modifier;مالك المقاطعة يحصل على $text$
o_relations_with;صاحب علاقة المقاطعة بـ $text$
o_add_to_treasury;لصاحب المحافظة
w_rgo_prod;إنتاج RGO العالمي: $x$
w_artisan_prod;الإنتاج الحرفي العالمي: $x$
w_artisan_profit;الربح الحرفي الوطني: $x$
w_artisan_distribution;التوزيع الحرفي الوطني: $x$
w_fac_prod;إنتاج المصنع العالمي: $x$
alice_lose_gp;نحن نخسر؟ القوة العظمى؟! حالة!
alice_state_select_title;اختر ولايه
press_esc_to_cancel;اضغط نعم؟! لالغاء
fort_build_tt_1;المحافظة تحت سيطرتكم
fort_build_tt_2;المحافظة ليست تحت الحصار
fort_build_tt_3;المستوى الحالي، $x$، بالإضافة إلى مستوى الصعوبة في المقاطعة، $n$، أقل من المستوى الأقصى الحالي، $y$
nb_build_tt_1;المحافظة ساحلية
nb_build_tt_2;ولم يتم بناء أي قاعدة بحرية أخرى أو هي قيد الإنشاء في الولاية
rr_build_tt_1;يسمح حزبنا الحاكم للحكومة ببناء طرق السكك الحديدية
tech_ol_tt;?G$x$؟! من أفرلورد الخاص بك وجود هذه التكنولوجيا
tech_year_tt;?G$x$؟! من العام الحالي
disband_all;حل كافة الوحدات المحددة
alice_play_checksum_host;عدم تطابق المجموع الاختباري مع المضيف، تأكد من أن لديك نفس التعديلات وملفات الحفظ
alice_play_save_stream;يقوم المضيف ببث ملف محفوظ إليك، انتظر حتى يكتمل
ai_will_accept_po;وسوف يقبلون هذا العرض
ai_will_not_accept_po;لن يقبلوا هذا العرض
close_and_del;إغلاق وحذف المصنع
cb_conditions_header;شروط الاستخدام:
as_a_vassal;باعتباره تابعا
change_state_name_to;تغيير اسم الحالة إلى $text$
alice_join_crisis_offer;سيقدم لنا $ACTOR$ ما يلي إذا انضممنا إلى جانبهم في الأزمة الحالية:
alice_unit_disable_rebel_hunt;توقفوا عن مطاردة المتمردين
alice_regiment_battle_info;$m$ $name$ ?Y$type$؟!\nالمؤسسة: ?Y$organization$?W\nالقوة: ?Y$strength$?W
understaffed_regiment;?Rهذا الفوج يعاني من نقص في عدد الموظفين ولن يكون به سوى جنود بقيمة $$!?W
tech_queue_explain;اضغط على YSHIFT?W للإضافة إلى قائمة الانتظار، ثم انقر بزر الماوس الأيمن فوق Y للإزالة
alice_province_building_build;?YSHIFT?W للبناء على ?Gstate?W.\n?YSHIFT-انقر بزر الماوس الأيمن?W للبناء على ?Gcountry?W بالكامل.
commodity_shortage;؟ Rهناك نقص في هذه السلعة
commodity_surplus;?هناك فائض في هذه السلعة
alice_trade_flow_produced;?الإنتاج المحلي:
alice_trade_flow_consumed;؟الاستهلاك المحلي:
alice_trade_flow_label;نظرة عامة على السوق:
alice_trade_flow_piechart_producers;المنتجين
alice_trade_flow_piechart_consumers;المستهلكين
alice_trade_flow_piechart_workforce;المستثمرين
alice_diplo_release_subject;الافراج عن الموضوع
alice_diplo_release_subject_desc;يطلق سراح أحد رعايانا، مما يجعله لم يعد موضوعنا، يجب كسر التحالفات بشكل منفصل
alice_diplo_release_subject_0;هو موضوعنا
kill_leader;قتل الزعيم
annex_null;يصبح غير مملوك
meets_the_conditions_of;يستوفي شروط
does_not_meet_the_conditions_of;لا يستوفي شروط
fab_finish_date;من المتوقع أن ينتهي تصنيع CB في $date$
fab_is_paused;تصنيع CB متوقف مؤقتًا حاليًا
macro_builder;منشئ الماكرو
macro_total_desc;إحصائيات الوحدة الإجمالية:
macro_switch_type_land;بناء الجيش
macro_switch_type_naval;بناء البحرية
macro_warn_overseas;?Rلا يمكن بناء هذه الوحدة في الخارج!؟!
macro_warn_culture;?Rيمكن البناء فقط باستخدام الملوثات العضوية الثابتة في الثقافة الأولية!؟!
macro_warn_unlocked;?استخدام الوحدات لم يتم فتحها بعد!؟!
macro_select_province;الرجاء تحديد المحافظة على الخريطة
macro_warn_insuff;؟Rلا يمكن بناء $x$ $name$ (فقط $y$)؟!
macro_warn_invalid_province;?المحافظة ليست جزءا من منطقة؟!
shortcut_tooltip;الاختصار: ?Y$x$؟!
filter_all;عرض ؟ يال؟! الدول ذات الصلة.
filter_allies;تصفية حسب الدول لدينا؟Yalliance؟! مع.\n?Yنقر بزر الماوس الأيمن؟! للتصفية حسب الدول التي تريد التحالف معنا.
filter_enemies;"تصفية حسب الدول التي هي إما ""أعداء أو في حالة حرب معنا""؟!."
filter_sphere;"قم بالتصفية حسب الدول التي تقع ضمن ""مجال نفوذنا؟!"".\n?Yانقر بزر الماوس الأيمن؟! للتصفية حسب الدول التي نؤثر عليها ولكن ليس في مجالنا."
filter_neighbors;"تصفية حسب الدول التي نتقاسمها؟Yborder؟! مع.\n?Yنقر بزر الماوس الأيمن؟! للتصفية حسب الدول التي نتشارك فيها ""Yborder""؟! وليسوا؟ يفاسالس؟!."
filter_best_guess;"تصفية باستخدام؟Ybest تخمين؟! من خلال الملاءمة، وهذا يشمل جميع ""Yallies؟!، ""Yenemies؟!، ""Yspherelings؟!"" والأمم التي نتقاسمها ؟Yborder؟! مع."
alice_warn_war_ends_for_us;?Rهذا سينهي الحرب على الجميع من جانبنا؟!.
alice_invention_chance;فرصة اكتشاف هذا؟Yinvention؟! هم كالآتي:
is_primary_culture;?Y$NAME$؟! هي الثقافة الأولية.
is_primary_religion;?Y$NAME$؟! هو الدين الأساسي.
