support_for_blank;$text$ támogatása
pop_conver_2;Az államvallás popjai nem térnek át
pop_conver_3;A popok csak akkor térnek át, ha ugyanabban a tartományban vannak államvallású popok
pop_conver_4;A konverzió arányos a pop méretének szorzatával:
pop_conver_5;Az alap konverziós skála: $x$
pop_conver_6;A nemzeti átváltási arány módosítója: $x$
pop_conver_7;A helyi konverziós arány módosító: $x$
pop_conver_8;Változó konverziós tényezők: $x$
pop_issue_attraction_1;Kiadás attrakció: $x$
pop_issue_attraction_2;Ez a reform jelenleg nem lehetséges
pop_issue_attraction_3;A problémavonzás a következők eredménye:
pop_issue_attraction_4;A szociális reformvágy nemzeti módosítója: $x$
pop_issue_attraction_5;A politikai reformvágy nemzeti módosítója: $x$
pop_issue_attraction_6;És a kérdés vonzereje: $x$
pop_ideology_attraction_1;Ideológiai vonzerő: $x$
pop_ideology_attraction_2;Ez az ideológia jelenleg nem elérhető
trade_setting_drawing;Rajz a készletekre
trade_setting_filling;A készletek feltöltése
trade_setting_stable;Nincs készletezési tevékenység
trade_commodity_report_1;Jelenlegi globális kereslet: $x$
trade_commodity_report_2;Jelenlegi globális termelés: $x$
trade_commodity_report_3;Jelenlegi globális fogyasztás: $x$
trade_commodity_report_4;Világpiaci mennyiség: $x$
trade_fill;Tölt
trade_use;Meríts rá
trade_stockpile_target;Készlet célmennyisége:
trade_stockpile_current;Jelenlegi készlet:
diplomacy_wx_1;Havi háborús kimerültség:
influence_explain_1;Jelenleg betiltottak vagyunk, és semmilyen befolyást nem halmozunk fel ezzel a nemzettel
influence_explain_2;Fegyverszünetet kötöttünk ezzel a nemzettel, és nem halmozunk fel rá befolyást
influence_explain_3;Háborúban állunk ezzel a nemzettel, és semmilyen befolyást nem halmozunk fel vele
influence_explain_4;Minden nemzettel együtt összesen $x$ befolyást halmozunk fel naponta.
influence_explain_5;Ez az alap befolyáserősítési arány ($x$) szorzata a nemzeti befolyásmódosítónk ($y$) és a technológiai befolyásmódosító ($val$) szorzata.
influence_explain_6;Nemzeti befolyásmódosító: $x$
influence_explain_7;Technológiából származó hatásmódosító: $x$
influence_explain_8;Ez fel van osztva az általunk befolyásolt nemzetek között, így a napi alap nyereség: $x$
influence_explain_9;amelyet tovább szorozunk 1-gyel, plusz a következő tényezők összegével:
influence_explain_10;$x$ hiteltelenségtől
influence_explain_11;$x$ attól, hogy szomszédok
influence_explain_12;$x$ attól, hogy egy vagy több szfératagunk legyen szomszédunk
influence_explain_13;$x$ attól, hogy a fővárosa nem ugyanazon a kontinensen van, mint a miénk
influence_explain_14;$x$ attól, hogy alanyunk legyen
influence_explain_15;$x$ a kapcsolatunkból
influence_explain_16;$x$ a nemzetbe való befektetésünkből
influence_explain_17;$x$ a célország méretétől
influence_explain_18;$x$ a relatív pontszámunkból
until_date;Egészen $x$-ig
add_wg_1;Nem tehetsz háborús célt magad ellen
add_wg_2;Háborúban állsz
add_wg_3;Legalább $x$ diplomáciai pontod van
add_wg_4;A jelenlegi jingoizmus támogatás ($x$) eléri a háborús cél hozzáadásához szükséges küszöböt ($y$)
add_wg_5;A status quo háborús cél nem került az Ön oldalára
intervene_1;Beavatkozni a háborúba
intervene_2;Beavatkozni a nagy háborúba
intervene_3;Egy nagy hatalom
intervene_4;Nem érintett válságban
intervene_5;Legalább $x$ hónap telt el a háború kezdete óta
intervene_6;Ha csatlakozol a háborúhoz, nem állsz háborúba kétszer ugyanazon nemzet ellen, vagy mindkettő ugyanazzal a nemzettel és ellene harcol
intervene_7;Nem válságháború
intervene_8;A csatlakozás megtörné a fegyverszünetet
intervene_9;Támogatja a védőt
intervene_10;A védőknek nincs más háborús célja, mint a status quo
intervene_11;A támadó háborús pontszáma legalább $x$
intervene_12;A háborús kimerültség kevesebb, mint $x$
intervene_13;A háborús vezetővel való kapcsolat legalább $x$
intervene_14;Egyik szfératagod sem áll az ellenkező oldalon
intervene_15;Egyik szövetségese sem áll az ellenkező oldalon
intervene_16;Egyik sereged sem található az ellenfél tulajdonában lévő tartományokban
intervene_17;Az elsődleges védőnek barátságos véleménye van Önről
military_score_explain_1;Tőkehajó pontszám: $x$
military_score_explain_2;Toborozható ezredek: $x$
military_score_explain_3;Aktív ezredek: $x$
military_score_explain_4;Lefegyverzett? ($x$ büntetési tényező)
military_score_explain_5;Ellátási fogyasztás módosító: $x$
military_score_explain_6;Átlagos földegység pontszám: $x $
military_score_explain_7;Vezetők száma összesen: $x$
industry_score_explain_2;A következő külföldi befektetések is összeadódnak ($x$ súlytényező):
industry_score_explain_3;$y$ $x$-ban
war_goal_1;Hozzáadta: $x$
war_goal_2;Célzás: $x$
war_goal_3;Államhoz: $x$
war_goal_4;Másodlagos nemzet: $x$
war_goal_5;Háborús pontszám: $x$
war_goal_6;Ha elfoglaljuk ?Y$x$?! a tartományok közül ?Y$y$?! ketyegő háborús pontszám (a megszállt tartományok hányadához viszonyítva)
war_goal_7;?Y$x$?! napokat elfoglalni, különben elveszítjük ?Y$y$?! ketyegő háborús pontszám naponta
war_goal_8;A háború ?Y$x$?!-ban kezdődött, ?Y$y$?!-ra kellene kitöltenünk, mielőtt a türelmi idő ?Kifogy?!
war_goal_9;A türelmi idő ?Rhas elfogyott?! (az időszak ?Y$x$?! és ?Y$y$?!)
war_goal_10;Másodlagos címke: $x$
utt_unit;($ország$) - $egység$ ($vezető$)\n ($gyalogság$ / $lovasság$ / $különleges$)
utt_noleader;nincs vezető
war_score_1;Foglalkozásból: $x$
war_score_2;Csatákból: $x$
war_score_3;Háborús célokból: $x$
war_score_4;Blokádokból: $x$
dp_inf_tooltip_ban;A nagykövetséget $x$-ig kitiltották
dp_inf_tooltip_discredit;$x$-ig diszkreditálva
discredit_explain_1;Nem hiteltelenítheted magad
discredit_explain_2;A célpont véleménye rólad jobb, mint ellenséges
discredit_explain_3;A nagyhatalom nincs betiltva
iaction_explain_1;Legalább $x$ befolyása van a célpontra
iaction_explain_2;A nagykövetséged nincs betiltva
iaction_explain_3;Nem állsz háborúban a célponttal
iaction_explain_4;A célszemélynek a nagyhatalomról alkotott véleménye legfeljebb megegyezik a rólad alkotott véleményével
expel_explain_1;A saját tanácsadóidat nem utasíthatod el
expel_explain_2;A célpont véleménye rólad legalább semleges
ban_explain_1;Nem tilthatod be a saját nagykövetségedet
ban_explain_2;A célpont véleménye rólad legalább barátságos
dec_op_explain_1;Nem csökkentheted egy nemzet véleményét rólad
dec_op_explain_2;Nem csökkentheti egy nemzet véleményét a szféra vezetőjéről
dec_op_explain_3;A célpont véleménye rólad jobb, mint ellenséges
dec_op_explain_4;A célpont véleményét egy nagyhatalomról nem lehet ellenségesnél rosszabbá tenni
iaction_explain_5;Nagy hatalom vagy
iaction_explain_6;A cél nem nagy hatalom
state_transfer_di;Állami átadás
state_transfer_button;Állami átadás
state_transfer_offer;$actor$ felajánlja, hogy megadja nekünk a következő állapotokat:
state_transfer_desc;Egy állam tulajdonjogát egy másik nemzetre ruházza át, ami hasznos lehet a játék keretein kívüli tárgyalásokhoz
state_transfer_explain_1;A célnemzet egy játékos
state_transfer_explain_2;Jelenleg nincs válság
state_transfer_explain_3;Nem vagyunk alanyok
state_transfer_explain_4;Ők nem alanyok
state_transfer_explain_5;Békében vagyunk
state_transfer_explain_6;Több mint 1 államunk van
cancel_ally_explain_1;Önmagaddal kötött szövetséget nem mondhatsz fel
cancel_ally_explain_2;Legalább $x$ diplomáciai pontod van
cancel_ally_explain_3;Jelenleg szövetséges vagy
cancel_ally_explain_4;Jelenleg nem háborúztok együtt
cancel_ally_explain_5;Nem vagy a célország vazallusa
ally_explain_1;Önmagaddal nem köthetsz szövetséget
ally_explain_2;Legalább $x$ diplomáciai pontod van
ally_explain_3;Jelenleg nem vagy szövetséges
ally_explain_4;Nem vagytok mindketten nagyhatalmak, amíg válság van
ally_explain_5;Nem vagy alattvaló nemzet
ally_explain_6;Jelenleg nem állsz háborúban a célponttal
ally_explain_7;Az AI elfogadja
ally_explain_8;A célpont nem egy alattvaló nemzet
call_ally_explain_1;Szövetséged van ezzel a nemzettel
call_ally_explain_2;Legalább $x$ diplomáciai pontod van
call_ally_explain_3;Háborúban állsz
call_ally_explain_4;Háborúba lehet hívni ezt a nemzetet
call_ally_explain_5;Az AI elfogadja
cancel_access_explain_1;Legalább $x$ diplomáciai pontod van
ask_access_explain_1;Öntől nem kaphat katonai hozzáférést
ask_access_explain_2;Legalább $x$ diplomáciai pontod van
ask_access_explain_3;Az AI elfogadja
ask_access_explain_4;Jelenleg nem állsz háborúban a célponttal
cancel_given_access_explain_1;Legalább $x$ diplomáciai pontod van
give_access_explain_1;Nem adhatsz katonai hozzáférést magadnak
give_access_explain_2;Legalább $x$ diplomáciai pontod van
give_access_explain_3;Jelenleg nem állsz háborúban a célponttal
increase_rel_explain_1;Javítja kapcsolatainkat ?G+$x$-val
increase_rel_explain_2;Önmagaddal való kapcsolatodat nem tudod növelni
increase_rel_explain_3;Legalább $x$ diplomáciai pontod van
increase_rel_explain_4;A jelenlegi kapcsolatok kevesebb mint 200
increase_rel_explain_5;Jelenleg nem állsz háborúban a célponttal
decrease_rel_explain_1;?R$x$-tal rontja kapcsolatainkat
decrease_rel_explain_2;Önmagaddal való kapcsolatodat nem tudod csökkenteni
decrease_rel_explain_3;Legalább $x$ diplomáciai pontod van
decrease_rel_explain_4;A jelenlegi kapcsolatok nagyobbak, mint -200
decrease_rel_explain_5;Jelenleg nem állsz háborúban a célponttal
cancel_w_sub_explain_1;Jelenleg ezt a nemzetet támogatjuk ?Y$x$?! naponta
cancel_w_sub_explain_2;Legalább $x$ diplomáciai pontod van
w_sub_explain_1;Nem ajánlhat fel magának háborús támogatást
w_sub_explain_2;Legalább $x$ diplomáciai pontod van
w_sub_explain_3;Jelenleg nem állsz háborúban a célponttal
w_sub_explain_4;A célpont háborúban áll
invention_bulb_1;Ez a találmány jelenleg nem fedezhető fel
invention_bulb_2;Lehetséges a találmány felfedezése
invention_bulb_3;Ezt a találmányt felfedezték
not_implemented;Ez a funkció jelenleg nincs megvalósítva
inc_op_explain_1;A nemzet véleménye rólad kevésbé barátságos
add_sphere_explain_1;A nemzetnek barátságos véleménye van rólad
add_sphere_explain_2;A nemzetet jelenleg nem uralja más nagyhatalom
rem_sphere_explain_1;A nemzetet jelenleg egy nagyhatalom uralja
rem_sphere_explain_2;A nemzetnek barátságos véleménye van rólad
rem_sphere_explain_3;A nemzet az ön befolyási övezetében van
rem_sphere_explain_4;Egy nemzet eltávolítása a saját befolyási övezetéből ?R$x$-ral növeli a hírhedtségét
rem_sphere_explain_5;Egy nemzet eltávolítása a saját befolyási övezetéből ?R$x$-tal csökkenti presztízsét
fab_explain_1;Nem igazolhatod a háborút önmagad ellen
fab_explain_2;Legalább $x$ diplomáciai pontod van
fab_explain_3;Jelenleg nem casus bellit gyártasz
fab_explain_4;Független nemzet vagy, vagy a célpont az urad
fab_explain_5;A célpont nem tartozik az ön befolyási körébe
fab_explain_6;Jelenleg nem állsz háborúban a célponttal
fab_explain_7;Készíthet casus bellit
peace_description;Tegyen békeajánlatot, hogy véget vessen az ellenségeskedésnek közted és e nemzet között
peace_explain_1;Nem alattvaló nemzet
peace_explain_2;A célpont nem egy alattvaló nemzet
peace_explain_3;A tárgyaló felek közül legalább az egyik a saját oldalukon a háború vezetője
peace_explain_4;Mindkét fél háborús vezető (válságháború)
peace_explain_5;Nincs más békeajánlatod folyamatban
war_explain_1;Nem üzenhetsz háborút magadnak
war_explain_2;Van egy casus belli, amit fel kell használni ez ellen a nemzet ellen
war_explain_3;Legalább $x$ diplomáciai pontod van
war_explain_4;Még nem állsz háborúban ezzel a nemzettel
wg_result_1;A háborús cél hozzáadásával:
wg_result_2;E háborús cél eléréséről:
wg_result_3;Ha nem sikerült elérni ezt a háborús célt:
wg_not_ready;Be kell fejezned a háborús cél kiválasztását
crisis_temperature_ex;A jelenlegi válság hőmérséklete ?R$érték$?W! A ?R100?W elérése válságháborút indít el a két fél között
crisis_mode_no_crisis;Nincs válság
crisis_mode_finding_attacker;Támadó keresése a támadó oldalra
crisis_mode_finding_defender;Hátvédet találni a védő oldalon
crisis_mode_heating_up;Felmelegszik a válság
crisis_back_explain_1;Érdekel a válság (a kerítésen)
crisis_back_explain_2;A válság vonzotta kezdeti támogatóit
crisis_add_interest_button;Érdeklődjön ez a válság
crisis_add_interest_button_ex_1;Nagy hatalom vagy
crisis_add_interest_button_ex_2;A válság vonzotta kezdeti támogatóit
crisis_add_interest_button_ex_3;Legalább 1 diplomáciai pontod van
crisis_offer_button;Tegyen ajánlatot ennek a nemzetnek, hogy csatlakozzon a válsághoz
crisis_offer_button_ex_1;Ön a válság egyik oldalának vezetője
crisis_offer_button_ex_2;A válság vonzotta kezdeti támogatóit
crisis_offer_button_ex_3;Legalább 1 diplomáciai pontod van
multiunit_header;$x$ egység kiválasztva
ai_alliance_1;Az AI jelenleg szövetségeseket keres
ai_alliance_2;A nemzeted elég közel van ahhoz, hogy segítséget nyújtson egy háborúban
ai_alliance_3;Nincsenek egymásnak ellentmondó ambíciók
ai_alliance_4;A nemzeted hadserege kellően erős
ai_alliance_5;Közös stratégiai érdekei vannak
ai_access_1;Az AI úgy látja, hogy az egyik háborúd előnyös számukra
col_start_title;Kezdje el kolonizálni ezt az államot
col_start_1;Gyarmatosítók nincsenek jelen, vagy a kolonizáció még a kezdeti szakaszban van
col_start_2;A nemzeted legalább $x$ rangú
col_start_3;Az állam nem célpontja a gyarmati válságnak
col_start_4;Ön nem vesz részt egy válságháborúban
col_start_5;A kolonizálható minimális élettartam-besorolás ($x$) kisebb vagy egyenlő, mint az állam életkorhatára ($y$)
col_start_6;Alap ?Y$x$
col_start_7;Legfeljebb három másik gyarmatosító van jelen
col_start_8;Ön szomszédos állammal vagy haditengerészeti hatótávolságon belül van
col_start_9;Legalább $x$ ingyenes gyarmati pontja van
col_invest_title;Fektessen be a kolóniájába
col_invest_1;A nemzeted legalább $x$ rangú
col_invest_2;Az állam nem célpontja a gyarmati válságnak
col_invest_3;Ön nem vesz részt egy válságháborúban
col_invest_4;Verseny nélkül ezt az államot kolóniává alakíthatod $x$-on
col_invest_5;Az utolsó befektetése óta $x$ nap telt el (a következő befektetés a következő napon lehetséges: $y$)
col_invest_6;Legalább $x$ ingyenes gyarmati pontja van
activated_by_with_a_chance_of;?Y$x$?! aktiválta, a következő eséllyel:
unit_max_speed;Max sebesség ?G$x$?! KPH
unit_attack;Támadás ?G$x$
unit_hull;Hajótest ?G$x$
unit_fire_range;Lőtáv ?G$x$
unit_supply_consumption;Ellátási fogyasztás ?R$x$
unit_supply_load;Kellékek súlya ?R$x$
unit_defence;Védelem ?G$x$
unit_discipline;Fegyelem ?G$x$
unit_maneuver;Manőver ?G$x$
unit_recon;Felderítés ?G$x$
unit_support;Támogatás ?G$x$
unit_evasion;Kijátszás ?G$x$
unit_siege;Ostrom ?G$x$
unit_torpedo_attack;Torpedótámadás ?G$x$
unit_build_time;$x$ nap
unit_build_unit_pop_size;$x$k
unit_build_unit_brigades;$x$/$y$
uv_sort_a;Att
uv_sort_b;Def
uv_sort_c;Org
uv_sort_d;Mor
uv_sort_e;Spd
uv_sort_f;Rec
uv_sort_g;Rel
uv_sort_h;Exp
alice_condition_diplo_points;Legalább $x$ diplomáciai pontja van
alice_retreat;Visszavonulni a csatából
alice_retreat_1;Legalább $x$ nap telt el a csata kezdete óta
alice_retreat_2;Te vagy a vezető támadó vagy védő
alice_province_select;Kiválasztja a tartományt
alice_province_deselect;Megszünteti a tartomány kijelölését
alice_province_selector_on;TOVÁBB
alice_province_selector_off;KI
province_selector;Választó
province_immigrator;Bevándorló
tt_a_bank;Bank
tt_a_university;egyetemi
et_add_selector;engedélyezze a tartományválasztót
et_remove_selector;tartományválasztó letiltása
et_add_immigrator;engedélyezze a tartományi bevándorlót
et_remove_immigrator;letiltja a tartományi bevándorlót
et_if;Ha
et_else_if;Más
modifier_province_selector;Tartományválasztó
modifier_province_immigrator;Tartományi bevándorló
modifier_conversion_rate;Konverziós arány
modifier_attrition;Kopás
chat_player_joins;@$x$ $playername$ csatlakozott
chat_player_leaves;@$x$ $playername$ maradt
chat_player_ban;@$x$ $playername$ kitiltva lett
chat_player_kick;@$x$ $playername$ rúgott
chat_player_switch;@$x$ $playername$ a $country$ lehetőséget választotta
chat_player_oos;@$x$ $playername$ OOS-t kapott!
alice_status_stream;A folyamat mentése $érték$
alice_play_pending_client;$playername$ még nincs kész
alice_stockpile_button_0_0;"A nemzeti készletek az Ön szokásos gazdasági-üzleti tevékenységeinek fűszereként funkcionálnak, ahol az emberek azt látják, hogy a ""Ggreen"" W vonalak felfelé, a ""Rred"" W vonalak pedig lefelé haladnak, a szokásos módon én nem vagyok vonaldiagram, így többnyire észrevétlen marad :)"
alice_stockpile_button_1_0;Ha 10-szer kattintasz, semmit nem kapsz cserébe, csak bízz bennem, ne kattints rám... ?ROR MÁS?W
alice_stockpile_button_1_1;Értem, nos, most nem mondok semmit, mert tudom, hogy addig fogsz kattintgatni, amíg nem mondok egy „Másképpen” párbeszédet, és ez egyszerűen unalmas.
alice_stockpile_button_1_2;Rendben, nem tudlak abbahagyni, talán így lesz?
alice_stockpile_button_2_0;Én egy lélektelen gomb vagyok, lépj tovább
alice_stockpile_button_3_0;Barátokkal játszunk, nem? ?RWELL SOK SZERENCSÉT SZÜKSÉGE LESZ?W
a_alert_reb;Egy vagy több szfératagunknak van aktív lázadója:
event_auto;Automatikusan válassza ezt a lehetőséget a munkamenet hátralévő részében.
event_taken_auto;Ez az opció automatikusan megtörténik a következő napon: ?Y$date$?W.
alice_load_unload_1;Az itt kikötött haditengerészet elegendő kapacitással rendelkezik
alice_load_unload_2;A hadsereget szállítják
alice_load_unload_3;A szállító flotta dokkolt
alice_load_unload_4;Egy vagy több hadsereget szállítanak
alice_load_unload_5;A flotta kikötve
alice_unload_fleet;Rakd ki a flotta által szállított összes hadsereget
auto_save_lb;Automatikus mentési frekvencia
auto_save_1;Napi
auto_save_2;Havi
auto_save_3;Évi
auto_save_0;Egyik sem
monthly_emigration_lab;Havi kivándorlás ide (első 10)
monthly_immigration_lab;Havi bevándorlás innen: (10 legjobb)
im_em_header;Előre jelzett bevándorlás/kivándorlás a számára
alice_unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W kopás
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($dátum$) - ?R$cost$?W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - ?R$cost$?W ($attunit$/$defunit$)
disarmed_pop;lefegyverzett nemzet tagja
cancel_fac_construction;Törölje a gyár építését
cancel_fac_upgrade;Törölje a gyári frissítést
kierkegaard_1;Bármelyik
kierkegaard_2;Vagy
open_and_sub;Támogatás és a gyár újranyitása
o_set_national_flag;Állítsa be a $text$ nemzeti zászlót a tulajdonos számára
o_add_modifier_until;A tartomány tulajdonosa $text$-t kap $date$-ig
o_add_modifier;A tartomány tulajdonosa $text$-t kap
o_relations_with;A tartomány és a $text$ kapcsolat tulajdonosa
o_add_to_treasury;a tartomány tulajdonosa számára
w_rgo_prod;Globális RGO gyártás: $x$
w_artisan_prod;Globális kézműves termelés: $x$
w_artisan_profit;Országos kézműves haszon: $x$
w_artisan_distribution;Országos kézműves terjesztés: $x$
w_fac_prod;Globális gyári termelés: $x$
alice_lose_gp;Elveszítjük a ?Nagy Erőt?! állapot!
alice_state_select_title;Válassza ki az állapotot
press_esc_to_cancel;Nyomja meg a ?YESC?! lemond
fort_build_tt_1;A tartomány az ön irányítása alatt áll
fort_build_tt_2;A tartomány nincs ostrom alatt
fort_build_tt_3;A jelenlegi $x$, plusz a tartomány nehézségi szintje, $n$ alacsonyabb, mint a jelenlegi maximális szint, $y$
nb_build_tt_1;A tartomány tengerparti
nb_build_tt_2;Az államban más haditengerészeti bázis nem épült és nem is épül
rr_build_tt_1;Kormánypártunk megengedi a kormánynak, hogy vasúti utakat építsen
tech_ol_tt;?G$x$?! az ön uradtól, aki rendelkezik ezzel a technológiával
tech_year_tt;?G$x$?! a folyó évtől
disband_all;Szerelje fel az összes kiválasztott egységet
alice_play_checksum_host;Ellenőrzőösszeg nem egyezik a gazdagéppel, győződjön meg róla, hogy ugyanazok a modok és mentési fájlok vannak
alice_play_save_stream;A gazdagép mentést küld Önnek, várjon, amíg befejeződik
ai_will_accept_po;Elfogadják ezt az ajánlatot
ai_will_not_accept_po;NEM fogadják el ezt az ajánlatot
close_and_del;Gyár bezárása és törlése
cb_conditions_header;Használat feltételei:
as_a_vassal;vazallusként
change_state_name_to;módosítsa az állam nevét $text$-ra
alice_join_crisis_offer;$ACTOR$ a következőket adja nekünk, ha csatlakozunk az ő oldalukhoz a jelenlegi válságban:
alice_unit_disable_rebel_hunt;Hagyd abba a lázadókra való vadászatot
alice_regiment_battle_info;$m$ $név$ ?Y$típus$?!\nSzervezet: ?Y$szervezet$?W\nErősség: ?Y$erő$?W
understaffed_regiment;?REz az ezred létszámhiányos és csak $value$ katonái lesznek!?W
tech_queue_explain;Nyomja meg az ?YSHIFT?W billentyűt a sorhoz való hozzáadáshoz, a ?Yjobb gombbal kattintson a?W-re az eltávolításhoz
alice_province_building_build;?YSHIFT?W a teljes ?Gstate?W-ra építeni.\n?YSHIFT-Kattintson jobb gombbal?W a teljes ?Gcountry?W-re építeni.
commodity_shortage;?Rhiány van ebből az áruból
commodity_surplus;?Gebből az áruból többlet van
alice_trade_flow_produced;?Hazai termelés:
alice_trade_flow_consumed;?Hazai fogyasztás:
alice_trade_flow_label;Piaci áttekintés:
alice_trade_flow_piechart_producers;Producerek
alice_trade_flow_piechart_consumers;Fogyasztók
alice_trade_flow_piechart_workforce;Befektetők
alice_diplo_release_subject;Kiadás tárgya
alice_diplo_release_subject_desc;Kiadja az egyik alanyunkat, így többé nem témánk, a szövetségeket külön kell felbontani
alice_diplo_release_subject_0;A mi témánk
kill_leader;Öld meg a vezetőt
annex_null;gazdátlanná válik
meets_the_conditions_of;feltételeinek megfelel
does_not_meet_the_conditions_of;feltételeinek nem felel meg
fab_finish_date;A CB gyártása várhatóan $date$-on fejeződik be
fab_is_paused;A CB gyártás jelenleg szünetel
macro_builder;Makroépítő
macro_total_desc;Teljes egységstatisztikák:
macro_switch_type_land;Építs hadsereget
macro_switch_type_naval;Építs haditengerészetet
macro_warn_overseas;?Ezt az egységet nem lehet megépíteni külföldön!?!
macro_warn_culture;?Csak elsődleges kultúra POP-ok felhasználásával lehet építeni!?!
macro_warn_unlocked;?Rusing egységek még nincsenek feloldva!?!
macro_select_province;Kérjük, válasszon egy tartományt a térképen
macro_warn_insuff;?Rnem lehet $x$ $name$ (csak $y$) építeni?!
macro_warn_invalid_province;?Rtartomány nem része egy régiónak?!
shortcut_tooltip;Parancsikon: ?Y$x$?!
filter_all;Mutasd ?Yall?! érintett nemzetek.
filter_allies;Szűrés nemzetek szerint van ?Yalliance?! with.\n?Yjobb gombbal?! hogy kiszűrjük azokat a nemzeteket, amelyek szövetségesek akarnak lenni velünk.
filter_enemies;Szűrés olyan nemzetek szerint, amelyek vagy ?Ellenségek vagy háborúban állnak velünk?!.
filter_sphere;Szűrés a ?Befolyási övezetünkben?!.\n?Jobb gombbal?! szűrni azokat a nemzeteket, amelyekre hatással vagyunk, de nem a mi szféránkon.
filter_neighbors;Szűrés nemzetek szerint, amelyeken osztozunk ?Yhatár?! with.\n?Yjobb gombbal?! nemzetek szerint szűrni osztozunk egy ?Yhatáron?! és nem ?Yvasals?!.
filter_best_guess;Szűrés ?Ybest guess?! relevancia szerint ide tartozik az összes ?Yallies?!, ?Yenemies?!, ?Ysphereling?! és nemzetek közös ?Yhatár?! val vel.
alice_warn_war_ends_for_us;?REz véget vet a háborúnak mindenki számára a mi oldalunkon?!.
alice_invention_chance;Az esély ennek a ?Találmány?! a következő:
is_primary_culture;?Y$NAME$?! az elsődleges kultúra.
is_primary_religion;?Y$NAME$?! az elsődleges vallás.
tt_can_use_nation;A hadicél használatához szükséges feltételek:
et_on_add;Ennek a hadicélnak a háborúhoz való hozzáadásának hatásai:
et_on_po_accepted;Az ezzel a hadicéllal tett békeajánlat elfogadásának következményei:
alice_no_possible_units;Egyetlen lehetséges egységet sem lehet építeni, és nincsenek is építés alatt.
alice_debt_spending;Adósságköltés engedélyezése/letiltása
alice_loan_size;Jelenlegi maximális hitelünk $x$. Az ennél nagyobb adósság csődöt fog okozni
alice_currently_bankrupt;Csődben vagyunk ($x$-ig)
alice_no_loans_possible;Jelenleg nem áll módunkban hitelt felvenni
alice_rf_demands_enforced_trigger;A lázadók csak akkor érvényesítik követeléseiket, ha:
alice_rf_demands_enforced_effect;Amint a lázadók érvényesítik követeléseiket, a következő hatást alkalmazzák:
alice_rf_siege_won_trigger;Ha egy lázadó nyer egy ostromot, a következőket kell ellenőrizni, például a fővárosban, $x$-ban:
alice_rf_siege_won_effect;És ha a fentiek mindegyike igaz, akkor a következő hatások érvényesek, például a nagybetűvel $x$:
may_month_name;Lehet
alice_ca_cant_influence;Jelenleg nem tudjuk növelni vagy csökkenteni más nemzetek véleményét
alice_gp_status_regain_expiration;Ha nem leszünk ?Y$x$?W vagy magasabb rangúak, akkor ?Y$dátum?W-ig elveszítjük a ?Ynagy teljesítmény?W státuszt?
alice_mil_decay_description;Természetes bomlás ?G-$x$
alice_con_decay_description;Természetes bomlás ?R-$x$
x_from_y;$x$ $y$-tól
reinforce_rate;Ez az ezred havonta akár $x$ katonát is megerősíthet.
reinforce_rate_none;Ezt az ezredet jelenleg nem lehet megerősíteni.
alice_domestic_investment_button;"Az egyedi projektekbe való befektetés „elévült”; használja helyette a költségvetés képernyőn a „Hazai beruházás” csúszkát."
alice_domestic_investment_pops;Vannak $x$ tőkéseink, akiknek közvetve nagylelkű adományokat tudunk adni
alice_domestic_investment_needs;Minden nap $x$-ra van szükségük, hogy kielégítsék fényűző életmódjukat
alice_budget_scaled_inc;Jövedelem: ?G$érték$
alice_budget_scaled_1;Szegény adó: ?G$érték$
alice_budget_scaled_2;Közepes adó: ?G$érték$
alice_budget_scaled_3;Gazdag adó: ?G$érték$
alice_budget_scaled_4;Tarifák: ?G$érték$
alice_budget_scaled_exp;Költségek: ?R$érték$
alice_budget_scaled_5;A hadsereg karbantartása: ?R$érték$
alice_budget_scaled_6;Haditengerészeti karbantartás: ?R$érték$
alice_budget_scaled_7;Konstrukció: ?R$érték$
alice_budget_scaled_8;Iskolai végzettség: ?R$érték$
alice_budget_scaled_9;Adminisztráció: ?R$érték$
alice_budget_scaled_10;Szociális kiadások: ?R$érték$
alice_budget_scaled_11;Katonai kiadások: ?R$érték$
alice_budget_scaled_12;Belföldi befektetések: ?R$érték$
alice_budget_scaled_13;Tengerentúli kiadások: ?R$value$
alice_budget_scaled_14;Készletfeltöltés: ?R$érték$
alice_budget_scaled_15;Háborús támogatások: ?R$érték$
alice_budget_scaled_16;Diplomáciai érdek: ?G$érték$
alice_budget_scaled_17;Aranytermelés: ?G$érték$
alice_budget_scaled_net;Nettó bevétel: ?Y$value$
alice_budget_setting_percent;Állítsa be: $perc$.
alice_spending_land_construction;Teleképítés $név$-ban: ?R$költség$?W
alice_spending_naval_construction;Haditengerészeti építés $név$-ban: ?R$költség$?W
alice_spending_building_construction;Épületépítés $name$-ban: ?R$költség$?W
alice_spending_factory_construction;Gyári építés $név$-ban: ?R$költség$?W
alice_spending_unit;Az egységre költött teljes összeg $name$-ban: ?R$cost$?W
alice_spending_unit_1;Az egységre költött teljes összeg: ?R$költség$?W
alice_spending_total;?Összesen elköltött:?W
alice_spending_commodity;?R$cost$?W – $need$ szükséges $name$ ($val$)
