support_for_blank;obsługa $text$
pop_assim_8;Narodowy modyfikator współczynnika asymilacji: $x$
pop_assim_9;Lokalny modyfikator współczynnika asymilacji: $x$
pop_assim_10;0,1 za brak kultury zagranicznej
pop_assim_11;$x$ z rdzeni obecnych w prowincji
pop_assim_12;Zmienne współczynniki asymilacji: $x$
pop_conver_1;Miesięczna konwersja pop: $x$
pop_conver_2;Wyznawcy religii państwowej nie nawracają się
pop_conver_3;Popowcy nie nawracają się, chyba że w tej samej prowincji są wyznawcy religii państwowej
pop_conver_4;Konwersja jest proporcjonalna do wielkości popu razy iloczyn:
pop_conver_5;Podstawowa skala konwersji: $x$
pop_conver_6;Krajowy modyfikator współczynnika konwersji: $x$
pop_conver_7;Lokalny modyfikator współczynnika konwersji: $x$
pop_conver_8;Zmienne współczynniki przeliczeniowe: $x$
pop_issue_attraction_1;Atrakcja problemu: $x$
pop_issue_attraction_2;Reforma ta nie jest obecnie możliwa
pop_issue_attraction_3;Atrakcyjność wydania jest efektem:
pop_issue_attraction_4;Krajowy modyfikator pragnienia reform społecznych: $x$
pop_issue_attraction_5;Krajowy modyfikator chęci reform politycznych: $x$
pop_issue_attraction_6;A współczynnik atrakcyjności problemu: $x$
pop_ideology_attraction_1;Atrakcyjność ideologiczna: $x$
pop_ideology_attraction_2;Ta ideologia nie jest obecnie dostępna
trade_setting_drawing;Czerpanie z zapasów
trade_setting_filling;Uzupełnianie zapasów
trade_setting_stable;Brak aktywności związanej ze składowaniem
trade_commodity_report_1;Obecny popyt globalny: $x$
trade_commodity_report_2;Obecna produkcja światowa: $x$
trade_commodity_report_3;Aktualne globalne zużycie: $x$
trade_commodity_report_4;Kwota na rynku światowym: $x$
trade_fill;Wypełnić
trade_use;Czerpać
trade_stockpile_target;Docelowa ilość zapasów:
trade_stockpile_current;Aktualny stan zapasów:
diplomacy_wx_1;Miesięczne wyczerpanie wojną:
influence_explain_1;Obecnie jesteśmy zbanowani i nie mamy żadnego wpływu na ten naród
influence_explain_2;Mamy rozejm z tym narodem i nie mamy z nim żadnego wpływu
influence_explain_3;Jesteśmy w stanie wojny z tym narodem i nie mamy z nim żadnego wpływu
influence_explain_4;Codziennie gromadzimy, ze wszystkimi narodami, łącznie $x$ wpływów.
influence_explain_5;Jest to iloczyn podstawowego współczynnika przyrostu wpływu ($x$) razy nasz narodowy modyfikator wpływu ($y$) razy nasz modyfikator wpływu z technologii ($val$)
influence_explain_6;Narodowy modyfikator wpływu: $x$
influence_explain_7;Modyfikator wpływu technologii: $x$
influence_explain_8;Kwota ta jest dzielona pomiędzy narody, na które wpływamy, co daje podstawowy dzienny zysk w wysokości: $x$
influence_explain_9;który następnie mnoży się przez 1 plus sumę następujących czynników:
influence_explain_10;$x$ za zdyskredytowanie
influence_explain_11;$x$ od bycia sąsiadami
influence_explain_12;$x$ z posiadania jednego lub więcej członków naszej sfery jako sąsiada
influence_explain_13;$x$ z powodu braku stolicy na tym samym kontynencie co nasza
influence_explain_14;$x$ od bycia naszym tematem
influence_explain_15;$x$ z naszego związku
influence_explain_16;$x$ z naszej inwestycji w kraju
influence_explain_17;$x$ od wielkości docelowego narodu
influence_explain_18;$x$ od naszego względnego wyniku
until_date;Do $x$
add_wg_1;Nie możesz dodać celu wojennego przeciwko sobie
add_wg_2;Jesteś na wojnie
add_wg_3;Masz co najmniej $x$ punktów dyplomatycznych
add_wg_4;Obecne wsparcie dla szowinizmu ($x$) osiąga próg wymagany do dodania celu wojennego ($y$)
add_wg_5;Cel wojny o status quo nie został dodany do twojej strony
intervene_1;Interweniować na wojnie
intervene_2;Interweniuj w wielkiej wojnie
intervene_3;Jest wielką mocą
intervene_4;Nie popada w kryzys
intervene_5;Od wybuchu wojny minęło co najmniej x$ miesięcy
intervene_6;Przyłączenie się do wojny nie spowodowałoby, że byłeś w stanie wojny dwa razy z tym samym narodem lub walczyłeś z tym samym narodem i przeciwko temu samemu narodowi
intervene_7;To nie jest wojna kryzysowa
intervene_8;Dołączenie zerwałoby rozejm
intervene_9;Wspiera obrońcę
intervene_10;Obrońcy nie mają żadnych celów wojennych poza status quo
intervene_11;Wynik wojenny atakującego wynosi co najmniej $x$
intervene_12;Wyczerpanie wojną jest mniejsze niż $x$
intervene_13;Relacje z przywódcą wojennym wynoszą co najmniej $x$
intervene_14;Żaden z członków Twojej sfery nie jest po przeciwnej stronie
intervene_15;Żaden z twoich sojuszników nie jest po przeciwnej stronie
intervene_16;Żadna z twoich armii nie znajduje się w prowincjach należących do strony przeciwnej
intervene_17;Główny obrońca ma o Tobie przyjazną opinię
military_score_explain_1;Wynik statku kapitałowego: $x$
military_score_explain_2;Rekrutowane pułki: $x$
military_score_explain_3;Aktywne pułki: $x$
military_score_explain_4;Czy jest rozbrojony? (współczynnik kary $x$)
military_score_explain_5;Modyfikator zużycia zaopatrzenia: $x$
military_score_explain_6;Średni wynik jednostki lądowej: $x$
military_score_explain_7;Całkowita liczba liderów: $x$
industry_score_explain_2;Sumują się także następujące inwestycje zagraniczne (współczynnik wagi $x$):
industry_score_explain_3;$y$ w $x$
war_goal_1;Dodane przez: $x$
war_goal_2;Kierowanie: $x$
war_goal_3;Dla stanu: $x$
war_goal_4;Kraj drugorzędny: $x$
war_goal_5;Tykający wynik wojenny: $x$
war_goal_6;Jeśli zajmiemy ?Y$x$?! województw, zyskamy ?Y$y$?! tykający wynik wojny (w stosunku do odsetka okupowanych prowincji)
war_goal_7;Mamy okres karencji wynoszący ?Y$x$?! dni do zajęcia, w przeciwnym razie stracimy ?Y$y$?! tykający wynik wojenny codziennie
war_goal_8;Wojna rozpoczęła się za „Y$x$?!, powinniśmy ją wypełnić do „Y$y$?!, zanim okres karencji „Skończy się?!
war_goal_9;Okres karencji ?Rhas się skończył?! (okres wynosił od ?Y$x$?! do ?Y$y$?!)
war_goal_10;Tag dodatkowy: $x$
utt_unit;($kraj$) - $jednostka$ ($lider$)\n ($piechota$ / $kawaleria$ / $specjalność$)
utt_noleader;żadnego lidera
war_score_1;Z zawodu: $x$
war_score_2;Z bitew: $x$
war_score_3;Z celów wojennych: $x$
war_score_4;Z blokad: $x$
dp_inf_tooltip_ban;Ambasada zakazana do $x$
dp_inf_tooltip_discredit;Zdyskredytowany do kwoty $x$
discredit_explain_1;Nie możesz się dyskredytować
discredit_explain_2;Opinia celu jest o Tobie lepsza niż wroga
discredit_explain_3;Wielka moc nie jest zakazana
iaction_explain_1;Masz co najmniej $x$ wpływu na cel
iaction_explain_2;Twoja ambasada nie jest zakazana
iaction_explain_3;Nie prowadzisz wojny z celem
iaction_explain_4;Opinia celu o wielkiej potędze jest co najwyżej równa jego opinii o tobie
expel_explain_1;Nie możesz wydalić swoich własnych doradców
expel_explain_2;Opinia celu jest co najmniej neutralna
ban_explain_1;Nie możesz zakazać własnej ambasady
ban_explain_2;Opinia celu jest co najmniej przyjazna
dec_op_explain_1;Nie możesz obniżyć opinii narodu o Tobie
dec_op_explain_2;Nie możesz obniżyć opinii narodu na temat przywódcy swojej sfery
dec_op_explain_3;Opinia celu jest o Tobie lepsza niż wroga
dec_op_explain_4;Opinia celu o wielkiej mocy nie może być gorsza niż wroga
iaction_explain_5;Jesteś wielką mocą
iaction_explain_6;Celem nie jest wielka moc
state_transfer_di;Przeniesienie stanu
state_transfer_button;Przeniesienie stanu
state_transfer_offer;$actor$ oferuje nam następujące stany:
state_transfer_desc;Przenosi własność jednego państwa na inny naród, przydatne w negocjacjach wykraczających poza zakres gry
state_transfer_explain_1;Nacją docelową jest gracz
state_transfer_explain_2;Obecnie nie ma żadnego kryzysu
state_transfer_explain_3;Nie jesteśmy podmiotami
state_transfer_explain_4;To nie są poddani
state_transfer_explain_5;Jesteśmy spokojni
state_transfer_explain_6;Mamy więcej niż 1 stan
cancel_ally_explain_1;Nie możesz zerwać sojuszu ze sobą
cancel_ally_explain_2;Masz co najmniej $x$ punktów dyplomatycznych
cancel_ally_explain_3;Obecnie jesteś sojusznikiem
cancel_ally_explain_4;Obecnie nie prowadzicie razem wojny
cancel_ally_explain_5;Nie jesteś wasalem narodu docelowego
ally_explain_1;Nie możesz zawierać sojuszu sam ze sobą
ally_explain_2;Masz co najmniej $x$ punktów dyplomatycznych
ally_explain_3;Obecnie nie jesteś sojusznikiem
ally_explain_4;Nie jesteście oboje wielkimi mocarstwami, kiedy trwa kryzys
ally_explain_5;Nie jesteś narodem poddanym
ally_explain_6;Nie prowadzisz obecnie wojny z celem
ally_explain_7;AI zaakceptuje
ally_explain_8;Celem nie jest naród poddany
call_ally_explain_1;Masz sojusz z tym narodem
call_ally_explain_2;Masz co najmniej $x$ punktów dyplomatycznych
call_ally_explain_3;Jesteś na wojnie
call_ally_explain_4;Istnieje wojna, do której ten naród może zostać wezwany
call_ally_explain_5;AI zaakceptuje
cancel_access_explain_1;Masz co najmniej $x$ punktów dyplomatycznych
ask_access_explain_1;Nie możesz uzyskać od siebie dostępu do wojska
ask_access_explain_2;Masz co najmniej $x$ punktów dyplomatycznych
ask_access_explain_3;AI zaakceptuje
ask_access_explain_4;Nie prowadzisz obecnie wojny z celem
cancel_given_access_explain_1;Masz co najmniej $x$ punktów dyplomatycznych
give_access_explain_1;Nie możesz dać wojsku dostępu do siebie
give_access_explain_2;Masz co najmniej $x$ punktów dyplomatycznych
give_access_explain_3;Nie prowadzisz obecnie wojny z celem
increase_rel_explain_1;Poprawia nasze relacje o ?G+$x$
increase_rel_explain_2;Nie możesz poprawić swojej relacji ze sobą
increase_rel_explain_3;Masz co najmniej $x$ punktów dyplomatycznych
increase_rel_explain_4;Obecne relacje są mniejsze niż 200
increase_rel_explain_5;Nie prowadzisz obecnie wojny z celem
decrease_rel_explain_1;Pogarsza nasze relacje o ?R$x$
decrease_rel_explain_2;Nie możesz osłabić swojej relacji ze sobą
decrease_rel_explain_3;Masz co najmniej $x$ punktów dyplomatycznych
decrease_rel_explain_4;Obecne relacje są większe niż -200
decrease_rel_explain_5;Nie prowadzisz obecnie wojny z celem
cancel_w_sub_explain_1;Obecnie dotujemy ten kraj ?Y$x$?! na dzień
cancel_w_sub_explain_2;Masz co najmniej $x$ punktów dyplomatycznych
w_sub_explain_1;Nie możesz sobie oferować dotacji wojennych
w_sub_explain_2;Masz co najmniej $x$ punktów dyplomatycznych
w_sub_explain_3;Nie prowadzisz obecnie wojny z celem
w_sub_explain_4;Cel jest w stanie wojny
invention_bulb_1;Tego wynalazku nie można obecnie odkryć
invention_bulb_2;Odkrycie tego wynalazku jest możliwe
invention_bulb_3;Ten wynalazek został odkryty
not_implemented;Ta funkcja nie jest obecnie zaimplementowana
inc_op_explain_1;Opinia narodu o Tobie jest niezbyt przyjazna
add_sphere_explain_1;Naród ma o Was przyjazną opinię
add_sphere_explain_2;Naród nie znajduje się obecnie pod władzą innej wielkiej potęgi
rem_sphere_explain_1;Naród znajduje się obecnie pod władzą wielkiej potęgi
rem_sphere_explain_2;Naród ma o Was przyjazną opinię
rem_sphere_explain_3;Naród jest w twojej strefie wpływów
rem_sphere_explain_4;Usunięcie narodu ze swojej strefy wpływów zwiększy twoją niesławę o ?R$x$
rem_sphere_explain_5;Usunięcie narodu ze swojej strefy wpływów obniży twój prestiż o ?R$x$
fab_explain_1;Nie możesz usprawiedliwiać wojny przeciwko sobie
fab_explain_2;Masz co najmniej $x$ punktów dyplomatycznych
fab_explain_3;Obecnie nie tworzysz casus belli
fab_explain_4;Jesteś niezależnym narodem lub celem jest twój władca
fab_explain_5;Cel nie znajduje się w twojej strefie wpływów
fab_explain_6;Nie prowadzisz obecnie wojny z celem
fab_explain_7;Możesz sfabrykować casus belli
peace_description;Złóż ofertę pokojową, aby zakończyć działania wojenne między tobą a tym narodem
peace_explain_1;Nie jest narodem poddanym
peace_explain_2;Celem nie jest naród poddany
peace_explain_3;Przynajmniej jedna z negocjujących stron jest przywódcą wojennym po swojej stronie
peace_explain_4;Obie strony są przywódcami wojny (wojna kryzysowa)
peace_explain_5;Nie masz innej oferty pokojowej w toku
war_explain_1;Nie możesz wypowiedzieć sobie wojny
war_explain_2;Masz casus belli, który możesz wykorzystać przeciwko temu narodowi
war_explain_3;Masz co najmniej $x$ punktów dyplomatycznych
war_explain_4;Nie prowadzicie już wojny z tym narodem
wg_result_1;Po dodaniu tego celu wojennego:
wg_result_2;O osiągnięciu tego celu wojennego:
wg_result_3;W przypadku nieosiągnięcia tego celu wojennego:
wg_not_ready;Musisz dokończyć wybieranie celu wojny
crisis_temperature_ex;Obecna temperatura kryzysu to ?R$value$?W! Osiągnięcie 100 rupii wywoła wojnę kryzysową pomiędzy obiema stronami
crisis_mode_no_crisis;Nie ma kryzysu
crisis_mode_finding_attacker;Znalezienie wsparcia dla strony atakującej
crisis_mode_finding_defender;Znalezienie obrońcy dla strony obrońcy
crisis_mode_heating_up;Kryzys się nakręca
crisis_back_explain_1;Interesuje Cię kryzys (na płocie)
crisis_back_explain_2;Kryzys przyciągnął swoich początkowych zwolenników
crisis_add_interest_button;Zainteresuj się tym kryzysem
crisis_add_interest_button_ex_1;Jesteś wielką mocą
crisis_add_interest_button_ex_2;Kryzys przyciągnął swoich początkowych zwolenników
crisis_add_interest_button_ex_3;Masz co najmniej 1 punkt dyplomatyczny
crisis_offer_button;Złóż ofertę temu narodowi, aby dołączył do twojej strony kryzysu
crisis_offer_button_ex_1;Jesteś liderem jednej ze stron kryzysu
crisis_offer_button_ex_2;Kryzys przyciągnął swoich początkowych zwolenników
crisis_offer_button_ex_3;Masz co najmniej 1 punkt dyplomatyczny
multiunit_header;Wybrano jednostki $x$
ai_alliance_1;AI poszukuje obecnie sojuszników
ai_alliance_2;Twój naród jest wystarczająco blisko, aby pomóc w wojnie
ai_alliance_3;Żadnych sprzecznych ambicji
ai_alliance_4;Armia twojego narodu jest wystarczająco silna
ai_alliance_5;Ma wspólne interesy strategiczne
ai_access_1;AI uważa jedną z twoich wojen za korzystną dla nich
col_start_title;Rozpocznij kolonizację tego stanu
col_start_1;Nie ma tam żadnych kolonizatorów lub kolonizacja jest wciąż w początkowej fazie
col_start_2;Twój naród ma co najmniej rangę $x$
col_start_3;Państwo nie jest celem kryzysu kolonialnego
col_start_4;Nie bierzesz udziału w wojnie kryzysowej
col_start_5;Minimalny poziom życia, jaki możesz skolonizować ($x$), jest mniejszy lub równy wskaźnikowi życia obowiązującemu w danym stanie ($y$)
col_start_6;Baza ?Y$x$
col_start_7;Obecnych jest co najwyżej trzech innych kolonizatorów
col_start_8;Sąsiadujesz ze stanem lub znajduje się on w zasięgu marynarki wojennej
col_start_9;Masz co najmniej $x$ darmowych punktów kolonialnych
col_invest_title;Zainwestuj w swoją kolonię
col_invest_1;Twój naród ma co najmniej rangę $x$
col_invest_2;Państwo nie jest celem kryzysu kolonialnego
col_invest_3;Nie bierzesz udziału w wojnie kryzysowej
col_invest_4;Bez konkurencji będziesz mógł zamienić ten stan w kolonię za x$
col_invest_5;Minęło $x$ dni od Twojej ostatniej inwestycji (następna inwestycja możliwa za $y$)
col_invest_6;Masz co najmniej $x$ darmowych punktów kolonialnych
activated_by_with_a_chance_of;Aktywowany przez ?Y$x$?!, z szansą na:
unit_max_speed;Maksymalna prędkość ?G$x$?! KPH
unit_attack;Atak ?G$x$
unit_hull;Kadłub ?G$x$
unit_fire_range;Zasięg strzału ?G$x$
unit_supply_consumption;Zużycie dostaw?R$x$
unit_supply_load;Waga materiałów eksploatacyjnych?R$x$
unit_defence;Obrona ?G$x$
unit_discipline;Dyscyplina ?G$x$
unit_maneuver;Manewr ?G$x$
unit_recon;Rekonesans ?G$x$
unit_support;Wsparcie ?G$x$
unit_evasion;Unikanie ?G$x$
unit_siege;Oblężenie ?G$x$
unit_torpedo_attack;Atak torpedowy ?G$x$
unit_build_time;$x$ dni
unit_build_unit_pop_size;$x$ tys
unit_build_unit_brigades;$x$/$y$
uv_sort_a;Att
uv_sort_b;def
uv_sort_c;Org
uv_sort_d;Mor
uv_sort_e;Spd
uv_sort_f;Rekomendacja
uv_sort_g;Względ
uv_sort_h;Do potęgi
alice_condition_diplo_points;Posiada co najmniej $x$ punktów dyplomatycznych
alice_retreat;Wycofaj się z bitwy
alice_retreat_1;Od rozpoczęcia bitwy minęło co najmniej $x$ dni
alice_retreat_2;Jesteś głównym atakującym lub obrońcą
alice_province_select;Wybiera prowincję
alice_province_deselect;Odznacza prowincję
alice_province_selector_on;NA
alice_province_selector_off;WYŁĄCZONY
province_selector;Selektor
province_immigrator;Imigrator
tt_a_bank;Brzeg rzeki
tt_a_university;Uniwersytet
et_add_selector;włącz wybór prowincji
et_remove_selector;wyłącz wybór prowincji
et_add_immigrator;włączyć imigranta z prowincji
et_remove_immigrator;wyłączyć imigranta z prowincji
et_if;Jeśli
et_else_if;W przeciwnym razie
modifier_province_selector;Selektor prowincji
modifier_province_immigrator;Imigrant z prowincji
modifier_conversion_rate;Współczynnik konwersji
modifier_attrition;Ścieranie
chat_player_joins;Dołączył @$x$ $nazwa_gracza$
chat_player_leaves;Pozostało @$x$ $nazwa_gracza$
chat_player_ban;@$x$ $playername$ został zbanowany
chat_player_kick;@$x$ $playername$ został wyrzucony
chat_player_switch;@$x$ $playername$ wybrał $country$
chat_player_oos;@$x$ $playername$ przeszedł OOS!
alice_status_stream;Zapisz postęp $wartość$
alice_play_pending_client;$playername$ nie jest jeszcze gotowy
alice_stockpile_button_0_0;Krajowe zapasy stanowią dodatek do zwykłej działalności gospodarczo-biznesowej, gdzie ludzie widzą, jak linie „Ggreen” W rosną, a linie „Rred” W maleją, jak zwykle „Jestem” „Ynot” to wykres liniowy, więc głównie pozostać niezauważonym :)
alice_stockpile_button_1_0;Jeśli klikniesz mnie 10 razy, nie otrzymasz nic w zamian, po prostu zaufaj mi, nie klikaj mnie... ?ROR ELSE?W
alice_stockpile_button_1_1;Rozumiem, cóż, teraz nic nie powiem, bo wiem, że będziesz klikać, dopóki nie powiem dialogu „Inne” W, a to jest po prostu nudne
alice_stockpile_button_1_2;W porządku, nie mogę cię zmusić, żeby przestał, może to się uda?
alice_stockpile_button_2_0;Jestem bezdusznym guzikiem, ruszaj dalej
alice_stockpile_button_3_0;Bawimy się z przyjaciółmi, prawda? – ŻYCZYSZ MI SZCZĘŚCIA, BĘDZIESZ POTRZEBNY? W
a_alert_reb;Jeden lub więcej członków naszej sfery ma aktywnych rebeliantów:
event_auto;Automatycznie wybierz tę opcję do końca sesji.
event_taken_auto;Ta opcja zostanie automatycznie wybrana w dniu ?Y$date$?W.
alice_load_unload_1;Zacumowana tu marynarka wojenna ma wystarczającą pojemność
alice_load_unload_2;Wojsko jest transportowane
alice_load_unload_3;Flota transportowa jest zadokowana
alice_load_unload_4;Transportowana jest jedna lub więcej armii
alice_load_unload_5;Flota jest zadokowana
alice_unload_fleet;Wyładuj wszystkie armie transportowane przez flotę
auto_save_lb;Częstotliwość automatycznego zapisywania
auto_save_1;Codziennie
auto_save_2;Miesięczny
auto_save_3;Rocznie
auto_save_0;Nic
monthly_emigration_lab;Miesięczna emigracja do (top 10)
monthly_immigration_lab;Miesięczna imigracja z (top 10)
im_em_header;Przewidywana imigracja/emigracja dla
alice_unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W ścieranie
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($data$) - ?R$koszt$?W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - ?R$koszt$?W ($attunit$/$defunit$)
disarmed_pop;członkiem rozbrojonego narodu
cancel_fac_construction;Anuluj budowę fabryki
cancel_fac_upgrade;Anuluj aktualizację fabryczną
kierkegaard_1;Albo
kierkegaard_2;Lub
open_and_sub;Dotuj i ponownie otwórz fabrykę
o_set_national_flag;Ustaw flagę narodową $text$ dla właściciela
o_add_modifier_until;Właściciel prowincji otrzymuje $text$ do $date$
o_add_modifier;Właściciel prowincji otrzymuje $text$
o_relations_with;Właściciel relacji prowincji z $text$
o_add_to_treasury;dla właściciela prowincji
w_rgo_prod;Globalna produkcja RGO: $x$
w_artisan_prod;Globalna produkcja rzemieślnicza: $x$
w_artisan_profit;Krajowy zysk rzemieślnika: $x$
w_artisan_distribution;Krajowa dystrybucja rzemieślników: $x$
w_fac_prod;Globalna produkcja fabryczna: $x$
alice_lose_gp;Tracimy ?Wielką Moc?! status!
alice_state_select_title;Wybierz stan
press_esc_to_cancel;Naciśnij ?TAK?! anulować
fort_build_tt_1;Prowincja jest pod twoją kontrolą
fort_build_tt_2;Prowincja nie jest oblężona
fort_build_tt_3;Obecny poziom $x$ plus poziom trudności prowincji $n$ jest niższy niż twój aktualny maksymalny poziom $y$
nb_build_tt_1;Prowincja ma charakter nadmorski
nb_build_tt_2;Żadna inna baza morska nie została zbudowana ani nie jest w budowie w stanie
rr_build_tt_1;Nasza partia rządząca pozwala rządowi na budowę dróg kolejowych
tech_ol_tt;?G$x$?! od twojego mrocznego władcy posiadającego tę technologię
tech_year_tt;?G$x$?! z bieżącego roku
disband_all;Rozwiąż wszystkie wybrane jednostki
alice_play_checksum_host;Niezgodność sumy kontrolnej z hostem, upewnij się, że masz te same modyfikacje i pliki zapisu
alice_play_save_stream;Host przesyła do Ciebie zapis, poczekaj, aż się zakończy
ai_will_accept_po;Przyjmą tę ofertę
ai_will_not_accept_po;NIE przyjmą tej oferty
close_and_del;Zamknij i usuń fabrykę
cb_conditions_header;Warunki stosowania:
as_a_vassal;jako wasal
change_state_name_to;zmień nazwę stanu na $text$
alice_join_crisis_offer;$ACTOR$ zapewni nam następujące korzyści, jeśli dołączymy do ich strony w obecnym kryzysie:
alice_unit_disable_rebel_hunt;Przestań polować na rebeliantów
alice_regiment_battle_info;$m$ $nazwa$ ?Y$typ$?!\nOrganizacja: ?Y$organizacja$?W\nSiła: ?Y$siła$?W
understaffed_regiment;„Ten pułk ma za mało personelu i będzie miał tylko żołnierzy o wartości $!” W
tech_queue_explain;Naciśnij ?YSHIFT?W, aby dodać do kolejki, ?Ykliknij prawym przyciskiem?W, aby usunąć
alice_province_building_build;„YSHIFT?W, aby budować na całym „Gstanie” W.\n?YSHIFT, kliknij prawym przyciskiem myszy? W, aby budować na całym „Gkraju” W.
commodity_shortage;? Brakuje tego towaru
commodity_surplus;?GJest nadwyżka tego towaru
alice_trade_flow_produced;?Produkcja krajowa:
alice_trade_flow_consumed;?YKonsumpcja krajowa:
alice_trade_flow_label;Przegląd rynku:
alice_trade_flow_piechart_producers;Producenci
alice_trade_flow_piechart_consumers;Konsumenci
alice_trade_flow_piechart_workforce;Inwestorzy
alice_diplo_release_subject;Zwolnij temat
alice_diplo_release_subject_desc;Uwalnia jednego z naszych poddanych, czyniąc go już naszym poddanym. Sojusze należy zerwać osobno
alice_diplo_release_subject_0;Jest naszym tematem
kill_leader;Zabij przywódcę
annex_null;staje się nieposiadany
meets_the_conditions_of;spełnia warunki
does_not_meet_the_conditions_of;nie spełnia warunków
fab_finish_date;Oczekuje się, że produkcja CB zakończy się $date$
fab_is_paused;Produkcja CB jest obecnie wstrzymana
macro_builder;Konstruktor makro
macro_total_desc;Łączne statystyki jednostek:
macro_switch_type_land;Buduj armię
macro_switch_type_naval;Zbuduj marynarkę wojenną
macro_warn_overseas;?Nie można zbudować tego urządzenia za granicą!?!
macro_warn_culture;?RMożesz budować tylko przy użyciu POPów kultury podstawowej!?!
macro_warn_unlocked;?Używanie jednostek, które nie zostały jeszcze odblokowane!?!
macro_select_province;Proszę wybrać województwo na mapie
macro_warn_insuff;?RCnie można zbudować $x$ $name$ (tylko $y$)?!
macro_warn_invalid_province;?Prowincja nie jest częścią regionu?!
shortcut_tooltip;Skrót: ?Y$x$?!
filter_all;Pokaż?Yall?! odpowiednie narody.
filter_allies;Filtruj według krajów, mamy „Yalliance!” z.\n?YKliknij prawym przyciskiem myszy?! filtrować według narodów, które chcą się z nami sprzymierzyć.
filter_enemies;Filtruj według narodów, które są „wrogami lub są z nami w stanie wojny!”.
filter_sphere;Filtruj według narodów znajdujących się w naszej „sferze wpływów?!”.\n?YKliknij prawym przyciskiem myszy?! filtrować według narodów, na które mamy wpływ, ale nie z naszej sfery.
filter_neighbors;Filtruj według narodów, z którymi dzielimy „Ygranicę?” z.\n?YKliknij prawym przyciskiem myszy?! aby filtrować według narodów, dzielimy „Ygranicę?” i nie są ?Ywasalami?!.
filter_best_guess;Filtruj przy użyciu „Najlepszego przypuszczenia?” według trafności, obejmuje to wszystkie „Yallies?!”, „Yenemies?!, „Yspherelings?! i narody dzielimy „Ygranicę?” z.
alice_warn_war_ends_for_us;„To zakończy wojnę dla wszystkich po naszej stronie?”.
alice_invention_chance;Szansa na odkrycie tego ?Ywynalazku?! są następujące:
is_primary_culture;?Y$NAZWA$?! jest kulturą pierwotną.
is_primary_religion;?Y$NAZWA$?! jest religią pierwotną.
tt_can_use_nation;Warunki potrzebne do umożliwienia użycia tego celu wojennego:
et_on_add;Efekty wynikające z dodania tego celu wojennego do wojny:
et_on_po_accepted;Skutki wynikające z przyjęcia oferty pokojowej z tym celem wojennym:
alice_no_possible_units;Nie można zbudować żadnych możliwych jednostek i żadna jednostka nie jest w budowie.
alice_debt_spending;Włącz/wyłącz wydawanie długów
alice_loan_size;Nasza obecna maksymalna pożyczka wynosi $x$. Większy dług doprowadzi nas do bankructwa
alice_currently_bankrupt;Jesteśmy bankrutem (do $x$)
alice_no_loans_possible;Obecnie nie możemy brać kredytów
alice_rf_demands_enforced_trigger;Rebelianci będą egzekwować swoje żądania tylko wtedy, gdy:
alice_rf_demands_enforced_effect;Gdy rebelianci wyegzekwują swoje żądania, zastosują następujący efekt:
alice_rf_siege_won_trigger;Jeśli buntownik wygra oblężenie, sprawdzane są następujące elementy, na przykład w Twojej stolicy $x$:
alice_rf_siege_won_effect;A jeśli wszystko powyższe było prawdą, obowiązują następujące efekty, na przykład w Twoim kapitale $x$:
may_month_name;Móc
alice_ca_cant_influence;Obecnie nie jesteśmy w stanie zwiększyć ani zmniejszyć opinii innych narodów
alice_gp_status_regain_expiration;Jeśli nie osiągniemy rangi ?Y$x$?W lub wyższej, utracimy status ?Ywielka moc?W do dnia ?Y$data?W!
alice_mil_decay_description;Naturalny rozkład ?G-$x$
alice_con_decay_description;Naturalny rozkład ?R-$x$
x_from_y;$x$ z $y$
reinforce_rate;Pułk ten może wzmocnić do x $ żołnierzy miesięcznie.
reinforce_rate_none;Pułk ten nie może być obecnie wzmocniony.
alice_domestic_investment_button;Inwestowanie w indywidualne projekty jest „przestarzałe”. Zamiast tego użyj suwaka „Inwestycje krajowe” na ekranie budżetu
alice_domestic_investment_pops;Mamy kapitalistów o wartości x $, którym możemy pośrednio przekazywać hojne datki
alice_domestic_investment_needs;Każdego dnia potrzebują x $, aby zaspokoić swój luksusowy styl życia
alice_budget_scaled_inc;Dochód: ?Wartość G$
alice_budget_scaled_1;Słaby podatek: ?G$wartość$
alice_budget_scaled_2;Podatek środkowy: ?G$wartość$
alice_budget_scaled_3;Bogaty podatek: ?G$wartość$
alice_budget_scaled_4;Taryfy: ?G$wartość$
alice_budget_scaled_exp;Wydatki: ?R$wartość$
alice_budget_scaled_5;Utrzymanie armii: ?R$value$
alice_budget_scaled_6;Konserwacja marynarki wojennej: ?R$value$
alice_budget_scaled_7;Konstrukcja: ?R$wartość$
alice_budget_scaled_8;Edukacja: ?R$wartość$
alice_budget_scaled_9;Administracja: ?R$wartość$
alice_budget_scaled_10;Wydatki socjalne: ?R$value$
alice_budget_scaled_11;Wydatki wojskowe: ?R$value$
alice_budget_scaled_12;Inwestycje krajowe: ?R$value$
alice_budget_scaled_13;Wydatki zagraniczne: ?R$value$
alice_budget_scaled_14;Wypełnianie zapasów: ?R$value$
alice_budget_scaled_15;Subsydia wojenne: ?R$value$
