#Powered_by_ParaTranz
MIL_FROM_TROOPS;陆军士兵
RULE_POP_BUILD_FACTORY_INVEST;投资者可以修建海外工厂
RULE_POP_EXPAND_FACTORY_INVEST;投资者可以扩建海外工厂
RULE_POP_OPEN_FACTORY_INVEST;投资者可以重开海外工厂
PRODUCTION_OUR_INVEST;我们的投资：$AMOUNT$ぃ?!ERCENTAGE$%）
MSG_FILTER_HEADER;消息过滤设置
MSG_FILTER_TITLE;我们关注:
MSG_FILTER_DESELECT;取消全部
MSG_FILTER_BEST_GUESS;自动设置
MSG_FILTER_ENEMIES;敌国
MSG_FILTER_ALLIES;盟国
MSG_FILTER_NEIGHBOURS;邻国
MSG_FILTER_SPHERE;势力范围
PRODUCTION_BROWSE_INVEST;其他
DIPLOMACY_OPINION_INVESTMENT;?Y$GP_ADJ$?W投资：?Y$VALUE$?!
MSG_FILTER_TOOLTIP_HEADER;在消息过滤设置窗口，你可以选择你关注的国家。只有这些重要国家的消息才会显示。
MSG_FILTER_TOOLTIP_DELAYED;?Y左键?!换现有选择。\n?Y右键?!加到现有选择\n?Y左键加上SHIFT键?!换过滤器
MSG_FILTER_TOOLTIP_DESELECT;取消列表里的所有国家
MSG_FILTER_TOOLTIP_BESTGUESS;自动选择国家
MSG_FILTER_TOOLTIP_ENEMIES;选择敌国
MSG_FILTER_TOOLTIP_ALLIES;选择盟国
MSG_FILTER_TOOLTIP_NEIGHBOURS;选择邻国
MSG_FILTER_TOOLTIP_SPHERE;选择你的势力范围内的国家（如果你是列强）
MSG_FILTER_TOOLTIP_CONTINENT;选择拥有本大陆省份的国家
PRODUCTION_NOT_DESTROY_FACTORY_BECAUSE_FOREIGN_TOOLTIP;我们没有在外国这样做的权利
INVESTMENT_PENALTY_FACTOR;其他国内投资者
SPHERE_SHARE_NOT_IN_SPHERE;不在势力范围内，所以可以自由地参与世界市场
SPHERE_SHARE_UNCIV;未开化国家?Y$PERCENTAGE$%?!资源产出将投放到其领导国市场
SPHERE_SHARE_2NDRANK;次强?Y$PERCENTAGE$%?!资源产出投放到其领导国市场（基础值：?Y$BASE_PERCENTAGE$%?!
SPHERE_SHARE_CIV;开化国家?Y$PERCENTAGE$%?!资源产出投放到其领导国市场（基础值：?Y$BASE_PERCENTAGE$%?!
RULE_ALLOW_FOREIGN_INVESTMENT;允许海外投资
POLITICS_DECISIONS_TAB;决议
POLITICS_MOVEMENTS_TAB;运动
EVTNAME90100;渴望出版自由
EVTNAME90102;渴望集会自由
EVTNAME90104;渴望建立工会
EVTDESC90100;人民渴望出版自由，邻国的改革使他们的渴望更加强烈。
EVTOPTA90100;也许我们能做些什么
EVTOPTB90100;绝不！
EVTDESC90102;人民渴望集会自由，邻国的改革使他们的渴望更加强烈。
EVTDESC90104;人民渴望建立工会，邻国的改革使他们的渴望更加强烈。
EVTNAME90101;撕毁承诺
EVTDESC90101;尽管我们承诺改革出版制度，但我们并未采取行动。人民对此十分失望。
EVTOPTA90101;令人沮丧
EVTDESC90103;尽管我们承诺公共集会自由，但我们并未采取行动。人民对此十分失望。
EVTOPTA90103;我讨厌人群
EVTDESC90105;尽管我们承诺自由建立工会，但我们并未采取行动。人民对此十分失望。
EVTOPTA90105;宁死不要共产党！
MOVEMENT_RADICALISM_BASE;基础值：?R$VAL$?!
MOVEMENT_RADICALISM_ACCUMULATED;镇压：?R$VAL$?!
MOVEMENT_RADICALISM_GRANTED_REFORMS;改革：?G$VAL$?!
MOVEMENT_RADICALISM_CULTURE;$CULTURE$：$VAL$
ALREADY_SUPPRESSED;运动不是激进的，不能被镇压
EVTNAME90900;天朝上国
EVTDESC90900;我们已经足够先进，使得那些欧罗巴蛮夷承认我们是所谓的“开化国家”了。他们必须尊重天朝的统一和主权，停止对中国的影响。
EVTOPTA90900;中国再次一统
EVTDESC90901;清朝的进步使他们要求我们承认其权力，接受将意味着我们独立状态的终结。
EVTOPTA90901;中国再次一统
EVTOPTA90910;报复西方
SUPPRESSION_POINTS;镇压点数
school_reforms;学校系统
no_schools;无学校系统
low_schools;基础学校系统
acceptable_schools;一般学校系统
good_schools;优良学校系统
no_schools_l;没有学校系统
low_schools_l;基础学校系统
acceptable_schools_l;一般学校系统
good_schools_l;优良学校系统
no_schools_desc;没有公立学校。
low_schools_desc;公立学校不普遍。
acceptable_schools_desc;公立学校很普遍。
good_schools_desc;公立学校遍布国内。
NATIONALIST_UNION_MOVEMENT;$COUNTRY_ADJ$统一运动
NATIONALIST_LIBERATION_MOVEMENT;$COUNTRY$解放运动
SUPRESSION_MONTHLY_GAIN;每月得到：?G$VAL$?!
MODIFIER_EDUCATION_EFFICIENCY;教育效率
MODIFIER_SUPPRESSION_POINT_GAIN;镇压点数得到
NOT_SOCIAL_MOVEMENT_STRENGTH_TR;社会运动力量低于?Y$VAL$?W\n
SOCIAL_MOVEMENT_STRENGTH_TR;社会运动力量高于?Y$VAL$?W\n
NOT_POLITICAL_MOVEMENT_STRENGTH_TR;政治运动力量低于?Y$VAL$?W\n
POLITICAL_MOVEMENT_STRENGTH_TR;政治运动力量高于?Y$VAL$?W\n
SUPPRESS;镇压
SUPPRESSION_DESC;镇压此运动。这将消耗$VAL$镇压点数，并可能会使该运动在未来变得更激进（?R+$HIT$?!。
CANT_SUPPRESS_DESC;我们需要更多的镇压点数。现有?R$VAL$?!我们需要?Y$NEED$?!
REFORM_MOVEMENT_DESC;运动呼吁通过?Y$REFORM$?!
NATIONALIST_UNION_MOVEMENT_DESC;运动呼吁成立?Y$COUNTRY$?!
NATIONALIST_LIBERATION_MOVEMENT_DESC;运动呼吁解放?Y$COUNTRY$?!
SUPPRESSION_LABEL_DESC;镇压点数衡量你的政府镇压群众运动的能力
MOVEMENT_REFORM_SUPPORT;有$VAL$人参与的群众运动游说通过这项改革。
movement_no_slavery;废奴运动
movement_yes_slavery;奴隶制运动
movement_landed_voting;投票权运动
movement_wealth_weighted_voting;投票权运动
movement_wealth_voting;投票权运动
movement_universal_weighted_voting;投票权运动
movement_universal_voting;投票权运动
movement_party_appointed;政治抗议运动
movement_appointed;政治抗议运动
movement_state_equal_weight;政治抗议运动
movement_population_equal_weight;政治抗议运动
movement_first_past_the_post;政治抗议运动
movement_jefferson_method;政治抗议运动
movement_proportional_representation;政治抗议运动
movement_no_meeting;取缔公共集会运动
movement_yes_meeting;集会自由运动
movement_censored_press;出版审查运动
movement_free_press;出版自由运动
movement_state_controlled;国家管制工会运动
movement_non_socialist;非社会主义工会运动
movement_all_trade_unions;自由组建工会运动
movement_harassment;投票者权利运动
movement_gerrymandering;投票者权利运动
movement_non_secret_ballots;投票者权利运动
movement_secret_ballots;投票者权利运动
movement_trinket_wage;最低工资运动
movement_low_minimum_wage;最低工资运动
movement_acceptable_minimum_wage;最低工资运动
movement_good_minimum_wage;最低工资运动
movement_fourteen_hours;最高工作时间运动
movement_twelve_hours;最高工作时间运动
movement_ten_hours;最高工作时间运动
movement_eight_hours;最高工作时间运动
movement_trinket_safety;安全工作条件运动
movement_low_safety;安全工作条件运动
movement_acceptable_safety;安全工作条件运动
movement_good_safety;安全工作条件运动
movement_trinket_subsidies;失业保障运动
movement_low_subsidies;失业保障运动
movement_acceptable_subsidies;失业保障运动
movement_good_subsidies;失业保障运动
movement_trinket_pensions;养老保障运动
movement_low_pensions;养老保障运动
movement_acceptable_pensions;养老保障运动
movement_good_pensions;养老保障运动
movement_trinket_health_care;医疗保障运动
movement_low_health_care;医疗保障运动
movement_acceptable_health_care;医疗保障运动
movement_good_health_care;医疗保障运动
movement_low_schools;公立学校运动
movement_acceptable_schools;公立学校运动
movement_good_schools;公立学校运动
POLITICS_MOVEMENTS;运动
POLITICS_ECONOMIC_REFORMS;经济改革
POLITICS_MILITARY_REFORMS;军事改革
NORMAL_CIVIL_WAR_NAME_USA_CSA_CSA;$ORDER$北方侵略战争
NORMAL_CIVIL_WAR_NAME_USA_CSA_USA;$ORDER$起义战争
NORMAL_WAR_GUNBOAT_NAME;$ORDER$$FIRST_COUNTRY$干涉$SECOND_COUNTRY$
NORMAL_WAR_GUNBOAT_NAME_FRA_MEX;$ORDER$糕点战争
NORMAL_WAR_TAKE_NAME_USA_MEX_USA;$ORDER$美墨战争
NORMAL_WAR_TAKE_NAME_USA_MEX_MEX;$ORDER$美国入侵墨西哥
NORMAL_WAR_TAKE_CORE_NAME_USA_MEX_USA;$ORDER$美墨战争
NORMAL_WAR_TAKE_CORE_NAME_USA_MEX_MEX;$ORDER$美国入侵墨西哥
NORMAL_WAR_GUNBOAT_NAME_ENG_CHI;$ORDER$鸦片战争
NORMAL_WAR_ADD_SPHERE_NAME_ENG_CHI;$ORDER$鸦片战争
NORMAL_WAR_INDEPENDENCE_NAME;$ORDER$$FIRST$独立战争
NORMAL_WAR_TAKE_NAME_CHL_PEU;$ORDER$硝石战争
NORMAL_WAR_TAKE_CORE_NAME_CHL_PEU;$ORDER$硝石战争
NORMAL_WAR_TAKE_NAME_CHL_BOL;$ORDER$硝石战争
NORMAL_WAR_TAKE_CORE_NAME_CHL_BOL;$ORDER$硝石战争
NORMAL_WAR_CONQUEST_NAME_ENG_TRN;$ORDER$布尔战争
NORMAL_WAR_CONQUEST_NAME_ENG_ORA;$ORDER$布尔战争
NORMAL_WAR_TAKE_NAME_ENG_TRN;$ORDER$布尔战争
NORMAL_WAR_TAKE_NAME_ENG_ORA;$ORDER$布尔战争
NORMAL_WAR_TAKE_NAME_ORA_ENG;$ORDER$布尔战争
NORMAL_WAR_TAKE_NAME_TRN_ENG;$ORDER$布尔战争
NORMAL_WAR_PUPPET_NAME_ENG_TRN;$ORDER$布尔战争
NORMAL_WAR_PUPPET_NAME_ENG_ORA;$ORDER$布尔战争
NORMAL_WAR_PUPPET_NAME;$ORDER$$FIRST$控制$SECOND_COUNTRY$之战
NORMAL_WAR_BOXER_NAME;$ORDER$义和团之乱
NORMAL_WAR_PUPPET_NAME_ENG_USA;$ORDER$美国独立战争
NORMAL_WAR_NAME_ENG_USA;$ORDER$英美战争
NORMAL_WAR_TAKE_NAME_ENG_USA;$ORDER$英美战争
NORMAL_WAR_TAKE_CORE_NAME_ENG_USA;$ORDER$英美战争
NORMAL_WAR_CONQUEST_NAME_ENG_USA;$ORDER$美国独立战争
NORMAL_WAR_HUMILIATE_NAME;$ORDER$$FIRST$-$SECOND$荣誉之战
NORMAL_WAR_UNIFICATION_NAME_PRU_FRA;$ORDER$普法战争
NORMAL_WAR_UNIFICATION_NAME_NGF_FRA;$ORDER$德法战争
CAN_INVEST_IN_RAILROADS;允许投资铁路
land_reform;土地改革
land_reform_l;土地改革
no_land_reform;没有土地改革
yes_land_reform;土地改革
no_land_reform_desc;没有土地改革
yes_land_reform_desc;土地所有权再分配能提高农业和矿业效率
admin_reform;行政改革
admin_reform_l;行政改革
no_admin_reform;没有行政改革
yes_admin_reform;行政改革
no_admin_reform_desc;没有行政改革
yes_admin_reform_desc;我们的行政机构既现代化又高效率
finance_reform;财政改革
finance_reform_l;财政改革
no_finance_reform;没有财政改革
yes_finance_reform;推行财政改革
finance_reform_two;国际债务
no_finance_reform_desc;没有财政改革
yes_finance_reform_desc;财政改革
finance_reform_two_desc;我们可以向其他国家贷款了
education_reform;教育改革
education_reform_l;教育改革
no_education_reform;没有教育改革
yes_education_reform;改革体制
no_education_reform_desc;没有教育改革
yes_education_reform_desc;我国拥有有组织的基础教育
transport_improv;交通系统
transport_improv_l;交通系统
no_transport_improv;没有改进
yes_transport_improv;得到改进
no_transport_improv_desc;交通系统陈旧落后
yes_transport_improv_desc;交通系统现代化
pre_indust;早期工业
pre_indust_l;早期工业
no_pre_indust;固步自封
yes_pre_indust;工业发展
no_pre_indust_desc;我们不需要工业
yes_pre_indust_desc;在外国顾问帮助下建设一些基础工厂。这能成为工业革命的前奏吗？
industrial_construction;工业建筑
industrial_construction_l;工业建筑
no_industrial_construction;没有工业建筑
yes_industrial_construction;工业建筑
no_industrial_construction_desc;没有先进工厂
yes_industrial_construction_desc;外国顾问帮助我们兴建了更多的先进工厂
foreign_training;训练方法
foreign_training_l;训练方法
no_foreign_training;本地训练方法
yes_foreign_training;外国训练方法
no_foreign_training_desc;军队按照传统方式训练
yes_foreign_training_desc;军队由外国军事顾问或根据外国技法训练。
foreign_weapons;外国武器
foreign_weapons_l;外国武器
no_foreign_weapons;本地武器
yes_foreign_weapons;进口武器
no_foreign_weapons_desc;传统武器
yes_foreign_weapons_desc;这是我的大杀器！
military_constructions;军事建设
military_constructions_l;军事建设
no_military_constructions;简单工事
yes_military_constructions;先进工事
no_military_constructions_desc;没有工事
yes_military_constructions_desc;高效的工事
foreign_officers;军官训练
foreign_officers_l;军官训练
no_foreign_officers;本地军官训练
yes_foreign_officers;外国军官训练
no_foreign_officers_desc;本地军官指挥部队
yes_foreign_officers_desc;我国军队现在是世界上最棒的
army_schools;陆军训练
army_schools_l;陆军训练
no_army_schools;临时
yes_army_schools;陆军学校
no_army_schools_desc;我们在战场上学习
yes_army_schools_desc;军官在率领士兵作战之前得到了充分训练
foreign_naval_officers;海军军官
foreign_naval_officers_l;海军军官
no_foreign_naval_officers;本地海军军官
yes_foreign_naval_officers;外国海军军官
no_foreign_naval_officers_desc;本地海军军官指挥战舰
yes_foreign_naval_officers_desc;西方顾问协助我们的舰长
naval_schools;海军训练
naval_schools_l;海军训练
no_naval_schools;临时
yes_naval_schools;海军学校
no_naval_schools_desc;边干边学
yes_naval_schools_desc;先学理论
foreign_navies;外国海军舰艇
foreign_navies_l;外国海军舰艇
no_foreign_navies;国产舰艇
yes_foreign_navies;进口舰艇
no_foreign_navies_desc;本地制造的舰艇
yes_foreign_navies_desc;我们进口西方设计的强大舰艇
cut_down_to_size_boxer;镇压拳乱
cut_down_to_size_boxer_desc;强迫另一?Y国家?W解除武装并向我国支付赔款
NUMBER_OF_REBELS_READY;?Y准备加入的反叛旅
NUMBER_OF_REBELS_ACTIVE;?Y已经加入的反叛旅
TECH_YEAR_MODIFIER;来自时间的花费修正：$VAL$
ECONOMICREFORM_SETUP;当通过一项经济改革
ECONOMICREFORM_HEADER;$COUNTRY$的政治新闻
ECONOMICREFORM_1;$COUNTRY$通过经济改革
ECONOMICREFORM_2;$MONARCHTITLE$，我国通过了
ECONOMICREFORM_3;$CATEGORY$$ISSUE$
ECONOMICREFORM_4;*
ECONOMICREFORM_5;*
ECONOMICREFORM_6;*
ECONOMICREFORM_LOG;我国通过了$CATEGORY$$ISSUE$。
ECONOMICREFORM_BTN1;好的
ECONOMICREFORM_BTN2;好的
ECONOMICREFORM_BTN3;转到
ECONOMICREFORM_MAP;*
ECONOMICREFORM_BAD_SETUP;当撤销一项经济改革
ECONOMICREFORM_BAD_HEADER;$COUNTRY$的政治新闻
ECONOMICREFORM_BAD_1;$COUNTRY$撤销经济改革
ECONOMICREFORM_BAD_2;$MONARCHTITLE$，我国撤销了
ECONOMICREFORM_BAD_3;$CATEGORY$
ECONOMICREFORM_BAD_4;从$OLD$变为$ISSUE$。
ECONOMICREFORM_BAD_5;*
ECONOMICREFORM_BAD_6;*
ECONOMICREFORM_BAD_LOG;我国撤销了$CATEGORY$$OLD$，变为$ISSUE$。
ECONOMICREFORM_BAD_BTN1;好的
ECONOMICREFORM_BAD_BTN2;好的
ECONOMICREFORM_BAD_BTN3;转到
ECONOMICREFORM_BAD_MAP;*
MILITARYREFORM_SETUP;当通过一项军事改革
MILITARYREFORM_HEADER;$COUNTRY$的政治新闻
MILITARYREFORM_1;$COUNTRY$通过军事改革
MILITARYREFORM_2;$MONARCHTITLE$，我国通过了
MILITARYREFORM_3;$CATEGORY$$ISSUE$
MILITARYREFORM_4;*
MILITARYREFORM_5;*
MILITARYREFORM_6;*
MILITARYREFORM_LOG;我国通过了$CATEGORY$$ISSUE$。
MILITARYREFORM_BTN1;好的
MILITARYREFORM_BTN2;好的
MILITARYREFORM_BTN3;转到
MILITARYREFORM_MAP;*
MILITARYREFORM_BAD_SETUP;当撤销一项军事改革
MILITARYREFORM_BAD_HEADER;$COUNTRY$的政治新闻
MILITARYREFORM_BAD_1;$COUNTRY$撤销军事改革
MILITARYREFORM_BAD_2;$MONARCHTITLE$，我们撤销了
MILITARYREFORM_BAD_3;$CATEGORY$
MILITARYREFORM_BAD_4;从$OLD$变为$ISSUE$。
MILITARYREFORM_BAD_5;*
MILITARYREFORM_BAD_6;*
MILITARYREFORM_BAD_LOG;我们撤销了$CATEGORY$$OLD$，变为$ISSUE$。
MILITARYREFORM_BAD_BTN1;好的
MILITARYREFORM_BAD_BTN2;好的
MILITARYREFORM_BAD_BTN3;转到
MILITARYREFORM_BAD_MAP;*
MODIFIER_CIVILIZATION_PROGRESS;开化进程
SUPPRESSION_TECH;镇压效率
REFORM_RESEARCH_COST;花费科技点：?Y$COST$?!
POLITICS_CIVILIZE;西方化
CIVILIZE_DESC;全盘采纳西方理念。这将允许我们得到势力范围主导国的先进科技。
CIVILIZE_NO_MASTER_DESC;全盘采纳西方理念。这将使我们得到世界各国的先进科技。
INFLUENCE_RELATION;关系
NO_CIV_PROGRESS;我国对西化未取得任何进展，我们需要推动军事或经济改革。
RESEARCH_POINTS_LABEL;研究点数:
MODIFIER_UNCIV_ECONOMIC;经济改革花费
MODIFIER_UNCIV_MILITARY;军事改革花费
MODIFIER_SELF_UNCIV_ECONOMIC;经济改革花费
MODIFIER_SELF_UNCIV_MILITARY;军事改革花费
MODIFIER_LAND_UNIT_START_EXPERIENCE;陆军初始经验
MODIFIER_NAVAL_UNIT_START_EXPERIENCE;海军初始经验
MODIFIER_ADMINISTRATIVE_EFFICIENCY;管理效率
ARMY_TECHNOLOGY_LEVELS;陆军科技：$VAL$/$MAX$
NAVY_TECHNOLOGY_LEVELS;海军科技：$VAL$/$MAX$
MODIFIER_TARIFF_EFFICIENCY;关税效率
MODIFIER_MAX_LOAN_AMOUNT;最高贷款额
PROD_YOUR_CURRENT_BUDGET;你现在的预算:
PROD_YOUR_INVESTMENT;你的投资:
MODIFIER_LAND_ATTACK;陆军攻击
MODIFIER_NAVAL_ATTACK;海军攻击
MODIFIER_LAND_DEFENSE;陆军防御
MODIFIER_NAVAL_DEFENSE;海军防御
free_press_promised;承诺出版自由
yes_meeting_promised;承诺集会自由
trade_unions_promised;承诺建立工会
free_press_promised_desc;我们向人民许诺给予他们出版自由，他们希望我们尽快实现诺言。
yes_meeting_promised_desc;我们向人民许诺给予他们集会自由，他们希望我们尽快实现诺言。
trade_unions_promised_desc;我们向人民许诺给予他们建立工会，他们希望我们尽快实现诺言。
recent_safari;刚做狩猎之旅
recent_safari2;过多狩猎之旅
recent_safari_desc;我们最近进行过狩猎之旅
recent_safari2_desc;最近进行了太多的狩猎之旅
unciv_reactionary_rebels_title;反动派
unciv_reactionary_rebels_name;$COUNTRY_ADJ$反动派
unciv_reactionary_rebels_desc;反动派叛乱要求永远按照祖先礼制生活，拒绝引进西方的生活习惯。
unciv_reactionary_rebels_army;$COUNTRY_ADJ$叛军
SET_ECONOMIC_REFORM_EFFECT;选中的经济改革：?Y$NAME$?W\n
SET_MILITARY_REFORM_EFFECT;选中的军事改革：?Y$NAME$?W\n
NATIONALIZE_INDUSTRY_EFFECT;进行民族化
DIPLOMACY_ALMOST_WESTERN_NATION_STATUS;部分西化国家
DIPLOMACY_PRIMITIVENATION_STATUS;原始国家
UNCIV_CANT_RESEARCH;开化后才可以研究科技
TB_NATIONALFOCUS_CULTURE;?Y$NUM$?W个主体或可接受民族的人群给我们?Y$FOCUS$?W个国家焦点
meiji_restoration_boost;明治维新
meiji_restoration_boost_desc;以天皇之名维新！
OTHER_PORT;这个海军基地我们不能进入
MODIFIER_UNCIV_ECONOMIC_UH;上议院支持
MODIFIER_UNCIV_MILITARY_UH;上议院支持
MOVEMENT_RADICALISM_ADJUST;?Y$MOVEMENT$?!进程度：$AMOUNT$
MILITARY_REFORM_COST_DESC;军事改革的花费修正：
ECONOMIC_REFORM_COST_DESC;经济改革的花费修正：
MAPMODE_19;开化程度
CHI_absolute_monarchy;大清帝国
EVTOPTB23212;继续仰望天空!
LOSE_CIVILIZED_EFFECT;我国被认为是?Y未开化国家?W\n
french_growth_nerf;法国人口下降:
french_growth_nerf_desc;我国人口增长率下降:
EVTNAME37226;人口下降
EVTDESC37226;法国在很长一段时期是欧洲人口最多的国家。但在19和20世纪的大多数时间里，法国的人口出生率令人吃惊的低。导致这种现象的原因尚不明朗。到维多利亚时代末期，法国在人口数量上已经被俄罗斯、德国、英国和意大利超过。
EVTOPTA37226;很大的挫折!
nationalize_title;没收生产资料！
nationalize_desc;那些外国鬣狗再也不能剥削我国人民的血汗自肥了！为了国家的利益，没收所有外国人财产的时候已经到了！
EVTNAME90950;没收资产！
EVTDESC90950;忘恩负义的$FROMCOUNTRY$政府没收了我们的投资，收归国有！
EVTOPTA90950;不可忍受！
EVTOPTB90950;随他去吧
MOVEMENT_RADICALISM;运动激进程度
MOVEMENT_RADICALISM_DESC;这反映了支持运动的民众有多信任本国政治进程能满足他们的意愿。数值过高的运动（?Y100?!将会演变为一场起义，如果没有得到及时镇压的话
NUMBER_MOVEMENT_SUPPORTERS;支持者数量
NUMBER_MOVEMENT_SUPPORTERS_DESC;运动规模越大，越难以被镇压。如果你通过了一项支持度低的改革，所有拥有更高支持度的运动将会变得更激进
PRODUCTION_CLOSE_FACTORY_BECAUSE_FOREIGN_TOOLTIP;不能关闭外国工厂\n
CAN_NATIONALIZE;有外国投资者
IS_NOT_IN_A_SPHERE;不在势力范围内
ACTIVATE_TECH_EFFECT;激活科技：?Y$NAME$?!
TECHNOLOGYVIEW_NO_RESEARCH_UNCIV_TOOLTIP;只有开化国家才能研究高级科技。通过在?Y政治面板?!行改革，你可以获得基础科技，并开始自主研究。
RELATION_BETWEEN;$COUNTRY1$与$COUNTRY2$的关系：$RELATION$
ADD_RELATIVE_INCOME_EFFECT;国库：$VALUE$?!
CORRUPTION_LESS_THAN;贪污少于
CORRUPTION_MORE_THAN;贪污多于
MOVEMENT_RADICALISM_FROM_SIZE;人民支持：$VAL$
dar_al_funun;精英学校
dar_al_funun_desc;波斯的第一所现代化大学
BOL_2305;阿塔卡马
BOL_2314;波托西
serfdom_not_abolished;农奴制未废除:
XIN;新疆
YNN;云南
GXI;广西
MCK;满洲
LEADERSHIP;领导
XBI;甘肃
EVTNAME23213;疯狂山脉
EVTDESC23213;我们在南极的探险惊醒了某些极为可怕的东西。在巨大的外形城市遗迹里，他们发现了一些既像植物又像动物的诡异生物，似乎在远古时代统治过地球。它们充满难以言表的饥饿，正在向人类世界卷土重来。
EVTOPTA23213;似乎不妙……
