#Powered_by_ParaTranz
support_for_blank;支持$text$
w_sub_explain_1;你不能给你自己提供战争资助
w_sub_explain_2;你至少有$x$外交点
w_sub_explain_3;你现在没和目标处于战争中
w_sub_explain_4;目标正处于战争
invention_bulb_1;这个发明现在不能被发现
invention_bulb_2;现在可以发现这个发明
invention_bulb_3;这个发明已经被发现了
not_implemented;这个特征目前不可能被实现
inc_op_explain_1;这个国家对你的评价低于友好
add_sphere_explain_1;这个国家对你有一个友好的评价
add_sphere_explain_2;此国目前不能被纳入其他列强的势力范围
rem_sphere_explain_1;此国正处于一个列强的势力范围内
rem_sphere_explain_2;这个国家对你有一个友好的评价
rem_sphere_explain_3;此国正处于你的势力范围内
rem_sphere_explain_4;从你的势力范围内移除一个国家将会增加 ?R$x$的恶名
rem_sphere_explain_5;从你的势力范围内移除一个国家将会减少?R$x$?!声望
fab_explain_1;你不能对你自己合理化战争
fab_explain_2;你至少有$x$外交点数
fab_explain_3;你现在没有正当化一个战争借口
fab_explain_4;你是一个独立国或者目标是你的宗主国
fab_explain_5;此国不在你的势力范围内
fab_explain_6;你现在没和目标处于战争中
fab_explain_7;你可以正当化一个宣战理由
peace_description;谈和以结束你和此国的敌视
peace_explain_1;不是一个附庸国
peace_explain_2;目标不是属国
peace_explain_3;至少谈判各方的其中一个是你方的战争领袖
peace_explain_4;所有参战方都是战争领袖（仅限危机战争）
peace_explain_5;你没有其他正在进行的和平提议
war_explain_1;你不能对你自己宣战
war_explain_2;你有一个用来针对此国的宣战理由。
war_explain_3;你至少有$x$外交点数
war_explain_4;你没有在一场与此国进行的战争中
wg_result_1;添加此战争目标时：
wg_result_2;完成此战争目标时：
wg_result_3;未达成此战争目标时：
wg_not_ready;你必须完整的选择一个战争目标
crisis_temperature_ex;现在的危机热度是 ?R$value$?W! 达到 ?R100?W 将会触发一场双方的危机战争
crisis_mode_no_crisis;这里无危机
crisis_mode_finding_attacker;为进攻方寻找支持者
crisis_mode_finding_defender;为防守方寻找支持者
crisis_mode_heating_up;危机升温
crisis_back_explain_1;你对此危机感兴趣（犹豫不决）
crisis_back_explain_2;此危机已吸引到最初支持者
crisis_add_interest_button;在本次危机中选择一个兴趣
crisis_add_interest_button_ex_1;你是一个列强
crisis_add_interest_button_ex_2;此危机已吸引到最初支持者
crisis_add_interest_button_ex_3;你至少有1外交点
crisis_offer_button;向这个国家提议在危机中加入你的阵营
crisis_offer_button_ex_1;你是一方危机阵营的领袖
crisis_offer_button_ex_2;此危机已吸引到最初支持者
crisis_offer_button_ex_3;你至少有1外交点
multiunit_header;已选择$x$单位
ai_alliance_1;AI正在寻求盟友
ai_alliance_2;你的国家已经足够接近去协助一场战争
ai_alliance_3;没有相互冲突的野心
ai_alliance_4;你的军队足够强大
ai_alliance_5;有着共同的战略利益
ai_access_1;AI认为你的某一场战争对他们有利
col_start_title;开始殖民此地区
col_start_1;没有殖民者存在或殖民仍处于初始阶段
col_start_2;你的国家等级至少为$x$
col_start_3;此地区不是殖民危机目标
col_start_4;你未参与进一场危机战争
col_start_5;最低可殖民的生活条件（$x$）至少达到此地区生活条件（$y$）
col_start_6;基础：?Y$x$
col_start_7;当前至多只能有三个殖民者
col_start_8;你接壤此地区，或者它在海军范围内
col_start_9;至少拥有$x$点可用的殖民力点数
col_invest_title;投资你的殖民地
col_invest_1;你的国家等级至少为$x$
col_invest_2;此地区不是殖民危机目标
col_invest_3;你没有参与一场危机战争
col_invest_4;无人与你竞争，你将在$x$能够将此地区变为殖民地
col_invest_5;自你上次投资后已过去$x$天（下一次投资将在$y$可用）
col_invest_6;至少拥有$x$点可用的殖民力点数
activated_by_with_a_chance_of;被 ?Y$x$?!激活,具有以下效果: 
unit_max_speed;最高速度?G$x$?! KPH
unit_attack;攻击?G$x$
unit_hull;船体?G$x$
unit_fire_range;射程?G$x$
unit_supply_consumption;补给消耗?R$x$
unit_supply_load;补给量?R$x$
unit_defence;防御?G$x$
unit_discipline;训练度?G$x$
unit_maneuver;机动?G$x$
unit_recon;侦察?G$x$
unit_support;支援?G$x$
unit_evasion;闪避?G$x$
unit_siege;围城?G$x$
unit_torpedo_attack;鱼雷攻击?G$x$
unit_build_time;$x$天
unit_build_unit_pop_size;$x$k
unit_build_unit_brigades;$x$/$y$
uv_sort_a;攻击
uv_sort_b;防御
uv_sort_c;组织
uv_sort_d;摩尔
uv_sort_e;速度
uv_sort_f;侦察
uv_sort_g;宗教
uv_sort_h;经验
alice_condition_diplo_points;他至少$x$外交点
alice_retreat;撤退来自战斗
alice_retreat_1;战斗开始后已过去$x$天
alice_retreat_2;你是攻击方或防御方的领袖
alice_province_select;选择省
alice_province_deselect;取消选择省
alice_province_selector_on;打开
alice_province_selector_off;关闭
province_selector;选择器
province_immigrator;移民
tt_a_bank;银行
tt_a_university;大学
et_add_selector;启用省选区
et_remove_selector;禁用省选区
et_add_immigrator;启用省移民
et_remove_immigrator;关闭省移民
et_if;若
et_else_if;否则
modifier_province_selector;省选区
modifier_province_immigrator;省移民
modifier_conversion_rate;传教率
modifier_attrition;损耗
chat_player_joins;@$x$$playername$加入
chat_player_leaves;@$x$$playername$离开
chat_player_ban;@$x$$playername$被封禁
chat_player_kick;@$x$$playername$被踢除
chat_player_switch;@$x$$playername$选择了$country$
chat_player_oos;@$x$$playername$已断开连接！
alice_status_stream;存档处理进度：$value$
alice_play_pending_client;$playername$未准备好
alice_stockpile_button_0_0;国家仓储可以作为您日常经济商业活动的调节物，在?G绿色?W 线看到价格上涨, and ?Rred?W 红线下降, 像往常一样 我 ?Y不是?W 一个折线图所以不总是被注意到: )
alice_stockpile_button_1_0;如果你点了我十次你什么都得不到，相信我，别再点我了，?R否则?W……
alice_stockpile_button_1_1;我明白了，好吧，现在我不会说任何话，因为我知道你会一直点击，直到我说些?Y不同?W的话，不过那也太无聊了
alice_stockpile_button_1_2;好吧，我无法阻止你，但是或许这个可以？
alice_stockpile_button_2_0;我是没用按钮，继续吧
alice_stockpile_button_3_0;和朋友玩不是嘛? ?Remmm,祝你好运,你会需要它的对不对?W
a_alert_reb;叛军已经起而反抗我们的势力范围成员：
event_auto;在事件的剩余时间内自动选择这个选项
event_taken_auto;此选项将会在?Y$date$?W自动选择。
alice_load_unload_1;停靠在此地的海军有足够的容量
alice_load_unload_2;军队运输中
alice_load_unload_3;运输舰队停靠
alice_load_unload_4;军队运输中
alice_load_unload_5;舰队停靠
alice_unload_fleet;卸载所有此舰队运输的部队
auto_save_lb;自动保存频率
auto_save_1;每日
auto_save_2;每月
auto_save_3;每年
auto_save_0;不自动保存
monthly_emigration_lab;每月移民到（前十名）
monthly_immigration_lab;每月移民来自（前十名）
im_em_header;省份属于：
alice_unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W 损耗
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($date$) - ?R$cost$?W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - ?R$cost$?W ($attunit$/$defunit$)
disarmed_pop;一个被裁军的成员国
cancel_fac_construction;取消工厂建设
cancel_fac_upgrade;取消工厂升级
kierkegaard_1;同不
kierkegaard_2;或
open_and_sub;资助并重开工厂
o_set_national_flag;对拥有者设置国家变量$text$
o_add_modifier_until;省份拥有者获得$text$直到$date$
o_add_modifier;省份拥有者获得$text$
o_relations_with;省份拥有者与$text$的关系
o_add_to_treasury;为了省份拥有者
w_rgo_prod;全球原材料生产: $x$
w_artisan_prod;全球手工业者生产：$x$
w_artisan_profit;国内手工业者利润：$x$
w_artisan_distribution;国内手工业者分布：$x$
w_fac_prod;全球工厂生产：$x$
alice_lose_gp;我们正失去?Y列强?!地位！
alice_state_select_title;选择地区
press_esc_to_cancel;按下?YESC?!以取消
fort_build_tt_1;此省正处于你控制下
fort_build_tt_2;此省未遭受围攻
fort_build_tt_3;目前的等级, $x$, 加上此省的建造困难修正, $n$,低于你目前的最高等级, $y$
nb_build_tt_1;此省是沿海省份
nb_build_tt_2;此地区没有海军基地
rr_build_tt_1;我国执政党允许政府建设铁路
tech_ol_tt;?G$x$?! 来自于你的宗主国所拥有的这个科技
tech_year_tt;?G$x$?!来自当前年份
disband_all;解散所有已选单位
alice_play_checksum_host;校验和与主机不匹配，确保你有相同的模组和存档
alice_play_save_stream;主机正在向你传输存档，等待其完成
ai_will_accept_po;他们将接受这个提议
ai_will_not_accept_po;他们不会接受这个提议
close_and_del;关闭并移除工厂
cb_conditions_header;使用条件：
as_a_vassal;作为附庸
change_state_name_to;地区名将变为$text$
alice_join_crisis_offer;$ACTOR$将会给予我们如下好处如果我们在本场危机中加入他们
alice_unit_disable_rebel_hunt;停止围剿叛军
alice_regiment_battle_info;$m$ $name$ ?Y$type$?!\n组织度： ?Y$organisation$?W\n兵力： ?Y$strength$?W
understaffed_regiment;?RT这个团人手不足并且只有 $value$ 名士兵!?W
tech_queue_explain;按?YSHIFT?W 加入队列, ?Y右键?W 移除
alice_province_building_build;?YSHIFT?W 建造在整个 ?G地区?W.\n?YSHIFT-右键?W 建造在整个 ?G国家?W.
commodity_shortage;?R此商品短缺
commodity_surplus;?G此商品过剩
alice_trade_flow_produced;?Y国内生产
alice_trade_flow_consumed;?Y国内消费
alice_trade_flow_label;市场概览
alice_trade_flow_piechart_producers;生产者
alice_trade_flow_piechart_consumers;消费者
alice_trade_flow_piechart_workforce;投资者
alice_diplo_release_subject;释放属国
alice_diplo_release_subject_desc;释放我们的一个附属国，使他们不再是我们的属国，联盟需要单独解除
alice_diplo_release_subject_0;是我们的属国
kill_leader;杀死将领
annex_null;成为无主省份
meets_the_conditions_of;满足条件：
does_not_meet_the_conditions_of;不满足条件：
fab_finish_date;伪造宣战理由将在$date$完成
fab_is_paused;伪造宣战理由暂停中
macro_builder;宏组建器
macro_total_desc;单位总计：
macro_switch_type_land;组建陆军
macro_switch_type_naval;组建海军
macro_warn_overseas;?R无法在海外省份组建此单位!?!
macro_warn_culture;?R只能使用主体民族人群组建！?!
macro_warn_unlocked;?R此单位尚未解锁!?!
macro_select_province;请选一省在地图上
macro_warn_insuff;?R不能建造 $x$ $name$ (仅 $y$)?!
macro_warn_invalid_province;?R不属于此地区的省份?!
shortcut_tooltip;快捷键：?Y$x$?!
filter_all;选择?Y所有?!相关国家。
filter_allies;选择与我们有?Y同盟?!关系的国家。\n?Y右键点击?!以选择想要与我们结盟的国家。
filter_enemies;选择与我们?Y敌对或交战?!的国家。
filter_sphere;选择处于我们?Y势力范围?!的国家。\n?Y右键点击?!以选择我们正在影响但尚未处于我们势力范围的国家。
filter_neighbors;选择与我们?Y接壤?!的国家。\n?Y右键点击?!以选择与我们?Y接壤?!但不是?Y附庸?!的国家。
filter_best_guess;将使用基于关联性的?Y最好猜测?!进行选择，包括?Y盟友?!, ?Y敌人?!, ?Y势力范围成员?!以及?Y接壤?!国家。
alice_warn_war_ends_for_us;?R这将为所有站在我们一方的国家终结这场战争?!.
alice_invention_chance;发现这个 ?Y发明?! 的概率如下:
is_primary_culture;?Y$NAME$?!是主体民族
is_primary_religion;?Y$NAME$?!是国教
tt_can_use_nation;使用本目标需要的条件: 
et_on_add;将本战争目标添加到战争中将会产生以下效果: 
et_on_po_accepted;接受有此战争目标的和平提议将会产生以下效果: 
alice_no_possible_units;没有可用的单位能够被建造,并且没有正在建造的单位
alice_debt_spending;取消或启用债务消费
alice_loan_size;我们目前的最大贷款是$x$ 贷款规模超越它将会导致我们走向破产
alice_currently_bankrupt;我国正处于破产状态（直到$x$）
alice_no_loans_possible;我们现在无法贷款
alice_rf_demands_enforced_trigger;如果以下为真,叛军将只强迫服从他们的要求: 
alice_rf_demands_enforced_effect;如果叛军强迫实施了他们的要求那么将会产生以下影响: 
alice_rf_siege_won_trigger;如果叛军赢得了一场围城战,以下将会被检查是否生效,比如在你的首都$x$: 
alice_rf_siege_won_effect;如果上述所有情况为真，那么以下影响将会产生，比如你首都$x$：
may_month_name;5月
alice_ca_cant_influence;我们目前无法增加或减少其他国家的评价
alice_gp_status_regain_expiration;我们如果不提升排名 ?Y$x$?W 或者提升分数, 我们将会失去 ?Y列强?W 地位在 ?Y$date?W!
alice_mil_decay_description;自然衰减?G-$x$
alice_con_decay_description;自然衰减?R-$x$
x_from_y;$x$来自$y$
reinforce_rate;这支军队每月能支援$x$名士兵
reinforce_rate_none;无法增援部队
alice_domestic_investment_button;不推荐投资单个项目，请改用预算屏幕上的国内投资滑块
alice_domestic_investment_pops;我们有$x$名资本家以让我们间接的慷慨解囊
alice_domestic_investment_needs;他们每天需要$x$去满足奢侈的生活方式
alice_budget_scaled_inc;收入：?G$value$
alice_budget_scaled_1;贫困阶层税：?G$value$
alice_budget_scaled_2;中产阶层税：?G$value$
alice_budget_scaled_3;富裕阶层税：?G$value$
alice_budget_scaled_4;关税：?G$value$
alice_budget_scaled_exp;支出：?R$value$
alice_budget_scaled_5;陆军维护：?R$value$
alice_budget_scaled_6;海军维护：?R$value$
alice_budget_scaled_7;建设：?R$value$
alice_budget_scaled_8;教育：?R$value$
alice_budget_scaled_9;行政：?R$value$
alice_budget_scaled_10;社会支出：?R$value$
alice_budget_scaled_11;军事支出：?R$value$
alice_budget_scaled_12;国内投资：?R$value$
alice_budget_scaled_13;海外支出：?R$value$
alice_budget_scaled_14;储备补充：?R$value$
alice_budget_scaled_15;战争援助：?R$value$
alice_budget_scaled_16;外交投资：?G$value$
alice_budget_scaled_17;黄金产出：?G$value$
alice_budget_scaled_net;净收入：?Y$value$
alice_budget_setting_percent;基于$perc$设置
alice_spending_land_construction;陆军建设在$name$：?R$cost$?W
alice_spending_naval_construction;海军建设在$name$：?R$cost$?W
alice_spending_building_construction;建筑建设在$name$：?R$cost$?W
alice_spending_factory_construction;工厂建设在$name$：?R$cost$?W
alice_spending_unit;在此单位上的总花费共取决于$name$:  ?R$cost$?W
alice_spending_unit_1;此单位总花费：?R$cost$?W
alice_spending_total;?Y总费用：?W
alice_spending_commodity;?R$cost$?W - 需要$name$ ($val$)的$need$
alice_spending_commodity_2;?R$cost$?W - 买入 $need$ 的 $name$ (以 $val$ 为单位相乘). 进度: $x$/$y$
alice_recommended_build;?G建议建造此工厂?W
alice_factory_bonus;将获得?Y$x$?W 的奖励 如果: 
alice_factory_inputs;输入所需：
alice_factory_input_item;?R$cost$?W - 需要$name$ ($val$)的$need$
alice_factory_base_workforce;基础劳力?Y$x$?W
alice_factory_total_bonus;总和大约为?Y$x$?W
alice_slider_controls;?Y左键?W 增加 ?Y$value$?W\n?YSHIFT+左键?W 增加 ?Y$x$?W\n?YSHIFT+右键?W 增加到最大值
alice_slider_controls_2;?Y左键?W 减少 ?Y$value$?W\n?YSHIFT+左键?W 减少 ?Y$x$?W\n?YSHIFT+右键?W 减少到最小值
explain_colonial_points;列强和次强会积累殖民点。
alice_lobby_back;返回大厅
alice_lobby_back_tt_1;你早就在他妈的大厅
alice_lobby_back_tt_2;只有主机才能回大厅
reopen_with_tab;你可用?YTAB?W切回窗口
alice_topbar_tab_1;开关标签
alice_topbar_tab_2;开关人口标签
colonial_points_from_technology;来自技术：
colonial_points_from_naval_bases;来自海军基地：
colonial_points_from_ships;来自舰艇：
used_colonial_maintenance;维护现有殖民地：
topbar_pause_speed;暂停游戏，再次点击取消暂停
att_call_will_accept;$x$会参加你的战争
att_call_will_decline;$x$不会参加你的战争
att_call_is_human;$x$可能加入你的战争
att_call_no_allies;你没有任何盟友！
domestic_investment_label;国内投资：
modifier_min_domestic_investment;最小国内投资率
modifier_max_domestic_investment;最大国内投资率
mouse_left_click_mode_label;点击释放
alice_supply_limit_desc;补给上限：$x$
alice_factory_worker_1;雇佣：?G$x$?W
alice_factory_worker_2;失业：?R$x$?W
alice_rgo_unemployment_country_alert;以下地区有失业的农民和劳工: 
pop_promote_info_on_sel_2;$val$预计下月$who$将变动$where$
alice_readme;?G欢迎来到 Project Alice！?W\nProject Alice 是你最喜欢的维多利亚时代游戏的模仿（而不是模拟！）。我们调整了一些机制，使其更易被新玩家理解，也使游戏更动态，更具娱乐性，修复了旧有漏洞（如危机），并实现了新的生活质量功能。\n?G新功能!?W\n?Y地球仪?W：?G褒?W?R贬?W不一，如果你不喜欢就关掉吧！\n?Y科技队列?W：SHIFT+右键将科技加入研发队列！（单击右键取消）\n?Y国内投资?W：与其在单个项目上投资，不如一气呵成\n?Y性能?W：每秒的滴答数（不是FPS）至少快了 10 倍\n?Y检查器?W：在您的模组中获取覆盖错误和警告，轻松发现错误和错字\n?Y宏组建器?W：使用我们的宏组建器构建由不同兵种组成的军队单位\n?Y11 种新的地图模式?W：宗教，要塞，职业情况，诸如此类\n?Y全国建造?W：SHIFT+右键在全国进行建造！\n?G控制?W：\n?YTAB?W：打开聊天窗口\n?YESC?W：打开主菜单和设置菜单\n?Y波浪符（`或~）?W：打开控制台\n?G享受游戏吧！=^w^=?W
alice_nf_controls;?Y左键点击?W以选择或替代\n?Y右键点击?W以移除
unit_controls_tooltip_1;?Y左键?W选择（取消选择其它）\n?YSHIFT+左键?W增加到选择中
unit_controls_tooltip_2;?Y右键点击一个省份?W以局部撤退（?G循环/轮流?W）到此省
unit_control_group_tooltip;按下 ?YCTRL+1?W 到 ?YCTRL+9?W 将此单位指定/解除指定到一个控制分组，你可以按下 ?Y1?W 到 ?Y9?W 以进行选择
console_button_tooltip;打开控制台
demobilize;遣散
mobilize;动员
alice_cb_creation_detail_none;请选择一项以开始伪造对$country$的宣战理由。
alice_cb_creation_detail;我们可以以?Y$type$?W为依据，伪造对抗$country$的宣战理由。这一过程将需要大约?Y$days$?W天，若被发现则会给予我们?R$badboy$?W恶名。
alice_mob_controls;?Y右击?W以再动员
alice_mw_create_1;提拔陆军将领
alice_mw_create_2;提拔海军将领
alice_mw_create_lpb;达到上限时，将会自动使用?Y领导力点数?W创建陆军或海军将领
alice_mw_create_lp;我们需要?R$x$?W?Y领导力点数?W来添加
alice_mw_controls_1;?Y右键点击?W以提拔?G所有?W可能的陆军将领
alice_mw_controls_2;?Y右键点击?W以提拔?G所有?W可能的海军将领
alice_daily_leadership_tt;$poptype$给予?G$value$?W领导力点数（占人口的?Y$fraction$%?W，最佳为?Y$optimal$%?W）。溢出的领导力点数将会自动消耗以产生新的将领。
unit_current_supply;最近一天本部队接收到所需补给的?Y$val$%?W。\n我们可以从当前的补给消耗中获得的数量是：
unit_current_supply_high;$what$: ?Y$val$?W/?Y$value$?! ?l(?W?G$total$%?W?l需求满足度)
unit_current_supply_mid;$what$: ?Y$val$?!/?Y$value$?! ?l(?O$total$%?W?l需求满足度)
unit_current_supply_low;$what$: ?Y$val$?!/?Y$value$?! ?l(?R$total$%?W?l需求满足度)
alice_crisis_inactive;当前没有可用危机
alice_crisis_finding_attacker;为当前危机寻找进攻者
alice_crisis_finding_defender;为当前危机寻找防御者
alice_crisis_heating_up;危机升温中，目前处于?R$temperature$?W
alice_last_crisis;上次危机发生于$date$（危机之间有$time$月冷静期）
alice_crisis_par_1;?R进攻者们?W:
alice_crisis_par_2;?B防守方?W:
alice_crisis_par_3;?Y非常感兴趣(没有阵营)?W:
alice_commodity_cprice;现在价格: $x$
alice_commodity_cost;花费: $x$
alice_commodity_eprice;有效价格: $x$
alice_trade_top_producers;最多?Y$value$?W 生产国：
alice_trade_no_producers;?R没有人群生产此商品?W
alice_political_party_trigger;只在?Y$date_long_0$?W到?Y$date_long_1$?W期间有效，并满足以下条件：
alice_political_party_no_trigger;只在?Y$date_long_0$?W到?Y$date_long_1$?W期间有效
alice_ai_decision;AI选择这一决定的可能性将取决于：
alice_mobilized_is_ai_controlled;无论动员的单位如何，都将自动被AI控制
alice_ai_controlled_unit;启用/禁用此单位的AI控制，此单位将会：\n- 自动增援前线\n- 情况安全时自动围城\n- 猎杀叛军\n- 对我们可能攻击的国家形成防御姿态（由AI自由裁定，且只在和平时期生效）\n如果你想让此单位专注于一个特定的国家或地区，首先将其移动到此地区或国家附近，然后打开AI控制。因为AI会覆盖你的所有命令，直到你再次关闭它
alice_navy_allocation_tt;具有?Y$curr$?W艘船，我们统计了总的补给吞吐为 ?Y$tot$?W,且正需要?Y$req$?W 补给我们的船队，海军中每艘舰船所需的补给消费详细总结如下: 
alice_navy_allocation_2;$name$：?Y$value$?W (?Y$perc$?W)
alice_wg_condition_1;作为防守方没有维持现状
alice_wg_condition_2;与我们交战
alice_wg_condition_3;特殊的战争目标（不是另一个战争目标的复制品）
alice_wg_condition_4;与我们不在同一阵营
alice_wg_condition_5;满足战争目标
alice_wg_condition_6;足够沙文主义（需要$need$，已有$value$）
alice_wg_condition_7;是可正当化的战争目标
alice_tt_wg_infamy_limit;?R此战争目标将会超过恶名限制?W
alice_wg_usage_trigger;满足以下触发条件时才能使用：
province_id;省份ID
nation_tag;国家tag
alice_rgo_trade_prod_1;原料产地农业产出：$x$（$y$）
alice_rgo_trade_prod_2;原料产地矿业产出：$x$（$y$）
alice_rgo_trade_prod_3;原料产地铸造产出：$x$（$y$）
alice_artisan_trade_prod;手工业者产出：$x$（$y$）
alice_factory_trade_prod;工厂产出：$x$（$y$）
alice_all_trade_prod;总生产量：$x$
alice_interested_in_alliance;（只对AI国家生效）标记我们有兴趣与这个国家结盟，并将立即接受结盟提议
alice_merge_rally_point_why;合并集结点已弃用，集结点现在将自动合并单位
alice_mvcap_1;迁都至此省
alice_mvcap_2;没有进行中的危机
alice_mvcap_3;处于和平状态
alice_mvcap_4;不是现在的首都
alice_mvcap_5;不是殖民地
alice_mvcap_6;与现在的首都处于同一大陆
alice_mvcap_7;主要可接受民族
alice_mvcap_8;此省份没有被围困
alice_mvcap_9;当前首都没有被围困
alice_mvcap_10;被你拥有
alice_mvcap_11;受控于你
alice_mvcap_12;是拥有者的核心
alice_pnt_pops;?Y人口：?! $x$
alice_pnt_rpops;?Y富裕阶层：?! $x$ ($y$)
alice_pnt_mpops;?Y中产阶层：?! $x$ ($y$)
alice_pnt_ppops;?Y贫困阶层：?! $x$ ($y$)
alice_pnt_culture;?Y主体民族：?!$x$
alice_pnt_religion;?Y国教：?! $x$
alice_pnt_dominant_religion;?Y主要宗教:?! $x$
alice_pnt_dominant_ideology;?Y主要意识形态：?! $x$
ledger_ppp_gdp;GDP(PPP)
ledger_ppp_gdp_per_capita;每100万人的GDP（PPP）
an_assigned_leader;an assigned leader
macro_new_template;新建
invention;发明
