#Powered_by_ParaTranz
MULTI_SEL_DESC;?GSHIFT+鼠标左键?!取复数单位
CRISIS_BACK_DOWN_WE_ACCEPT_3;关于解决当前危机的提案已获我国接受
CRISIS_BACK_DOWN_WE_ACCEPT_4;其条件如下：:
CRISIS_BACK_DOWN_WE_ACCEPT_5;$TERMS$
CRISIS_BACK_DOWN_WE_ACCEPT_6;*
CRISIS_BACK_DOWN_WE_ACCEPT_LOG;我国已接受来自$ACTOR$的关于解决当前危机的提案
CRISIS_BACK_DOWN_WE_ACCEPT_BTN1;很好！
CRISIS_BACK_DOWN_WE_ACCEPT_BTN2;很好！
CRISIS_BACK_DOWN_WE_ACCEPT_BTN3;查看
CRISIS_BACK_DOWN_WE_ACCEPT_MAP;和平！
CRISIS_BACK_DOWN_THEY_ACCEPT_SETUP;当某国接受你关于解决危机的提案时
CRISIS_BACK_DOWN_THEY_ACCEPT_HEADER;$MONARCHTITLE$
CRISIS_BACK_DOWN_THEY_ACCEPT_1;$RECIPIENT$
CRISIS_BACK_DOWN_THEY_ACCEPT_2;$RECIPIENT$
CRISIS_BACK_DOWN_THEY_ACCEPT_3;接受了我们关于解决当前危机的提案
CRISIS_BACK_DOWN_THEY_ACCEPT_4;*
CRISIS_BACK_DOWN_THEY_ACCEPT_5;*
CRISIS_BACK_DOWN_THEY_ACCEPT_6;条件：$TERMS$
CRISIS_BACK_DOWN_THEY_ACCEPT_LOG;$RECIPIENT$接受我国的和平提案
CRISIS_BACK_DOWN_THEY_ACCEPT_BTN1;很好！
CRISIS_BACK_DOWN_THEY_ACCEPT_BTN2;很好！
CRISIS_BACK_DOWN_THEY_ACCEPT_BTN3;查看
CRISIS_BACK_DOWN_THEY_ACCEPT_MAP;*
CRISIS_BACK_DOWN_OTHER_ACCEPT_SETUP;当某国接受关于解决危机的提案时
CRISIS_BACK_DOWN_OTHER_ACCEPT_HEADER;$MONARCHTITLE$
CRISIS_BACK_DOWN_OTHER_ACCEPT_1;$RECIPIENT$
CRISIS_BACK_DOWN_OTHER_ACCEPT_2;$RECIPIENT$
CRISIS_BACK_DOWN_OTHER_ACCEPT_3;接受了来自$ACTOR$
CRISIS_BACK_DOWN_OTHER_ACCEPT_4;的关于解决危机的提案
CRISIS_BACK_DOWN_OTHER_ACCEPT_5;*
CRISIS_BACK_DOWN_OTHER_ACCEPT_6;条件：$TERMS$
CRISIS_BACK_DOWN_OTHER_ACCEPT_LOG;$RECIPIENT$接受来自$ACTOR$的和平提案
CRISIS_BACK_DOWN_OTHER_ACCEPT_BTN1;很好！
CRISIS_BACK_DOWN_OTHER_ACCEPT_BTN2;很好！
CRISIS_BACK_DOWN_OTHER_ACCEPT_BTN3;查看
CRISIS_BACK_DOWN_OTHER_ACCEPT_MAP;*
CRISIS_BACK_DOWN_WE_DECLINE_SETUP;当我国拒绝某个关于解决危机的提案时
CRISIS_BACK_DOWN_WE_DECLINE_HEADER;$MONARCHTITLE$
CRISIS_BACK_DOWN_WE_DECLINE_1;$ACTOR$
CRISIS_BACK_DOWN_WE_DECLINE_2;来自$ACTOR$的
CRISIS_BACK_DOWN_WE_DECLINE_3;和平提案已被我们拒绝
CRISIS_BACK_DOWN_WE_DECLINE_4;其条件如下：:
CRISIS_BACK_DOWN_WE_DECLINE_5;$TERMS$
CRISIS_BACK_DOWN_WE_DECLINE_6;*
CRISIS_BACK_DOWN_WE_DECLINE_LOG;我们拒绝来自$ACTOR$的关于解决危机的提案
CRISIS_BACK_DOWN_WE_DECLINE_BTN1;很好！
CRISIS_BACK_DOWN_WE_DECLINE_BTN2;很好！
CRISIS_BACK_DOWN_WE_DECLINE_BTN3;查看
CRISIS_BACK_DOWN_WE_DECLINE_MAP;*
CRISIS_BACK_DOWN_THEY_DECLINE_SETUP;当某国拒绝你关于解决危机的提案时
CRISIS_BACK_DOWN_THEY_DECLINE_HEADER;$MONARCHTITLE$
CRISIS_BACK_DOWN_THEY_DECLINE_1;$RECIPIENT$
CRISIS_BACK_DOWN_THEY_DECLINE_2;$RECIPIENT$
CRISIS_BACK_DOWN_THEY_DECLINE_3;拒绝了我们关于解决危机的提案
CRISIS_BACK_DOWN_THEY_DECLINE_4;*
CRISIS_BACK_DOWN_THEY_DECLINE_5;*
CRISIS_BACK_DOWN_THEY_DECLINE_6;*
CRISIS_BACK_DOWN_THEY_DECLINE_LOG;$RECIPIENT$拒绝我国的危机解决提案
CRISIS_BACK_DOWN_THEY_DECLINE_BTN1;很好！
CRISIS_BACK_DOWN_THEY_DECLINE_BTN2;很好！
CRISIS_BACK_DOWN_THEY_DECLINE_BTN3;查看
CRISIS_BACK_DOWN_THEY_DECLINE_MAP;*
CRISIS_BACK_DOWN_OTHER_DECLINE_SETUP;当另一国拒绝一个危机解决提案时
CRISIS_BACK_DOWN_OTHER_DECLINE_HEADER;$MONARCHTITLE$
CRISIS_BACK_DOWN_OTHER_DECLINE_1;$RECIPIENT$
CRISIS_BACK_DOWN_OTHER_DECLINE_2;$RECIPIENT$
CRISIS_BACK_DOWN_OTHER_DECLINE_3;拒绝了来自$ACTOR$的
CRISIS_BACK_DOWN_OTHER_DECLINE_4;危机解决提案
CRISIS_BACK_DOWN_OTHER_DECLINE_5;*
CRISIS_BACK_DOWN_OTHER_DECLINE_6;*
CRISIS_BACK_DOWN_OTHER_DECLINE_LOG;$RECIPIENT$拒绝了来自$ACTOR$的危机解决提案
CRISIS_BACK_DOWN_OTHER_DECLINE_BTN1;很好！
CRISIS_BACK_DOWN_OTHER_DECLINE_BTN2;很好！
CRISIS_BACK_DOWN_OTHER_DECLINE_BTN3;查看
CRISIS_BACK_DOWN_OTHER_DECLINE_MAP
CRISIS_BACK_DOWN_DI;危机解决提案
CRISIS_OFFER_DI;邀请加入危机中的一方
CRISIS_BACK_DOWNTITLE;危机
OFFER_CRISIS_PEACE;提出让步
DEMAND_CRISIS_PEACE;要求让步
COLONIAL_POINTS;殖民力
COLONIAL_POINTS_TECH;殖民力点数
CRISIS_TITLE_COUNTRY;$COUNTRY_ADJ$危机
CRISIS_DESCRIPTION_INFLUENCE;控制$COUNTRY$之争
NAVAL_SORT_LABEL;排序:
NAVAL_SORT_TYPE;类型
NAVAL_SORT_STANCE;阵位
NAVAL_SORT_STR_ORG;兵力/组织度
battleship;战舰
UNCOLONIZED_WITHDRAW;撤离
UNCOLONIZED_INVEST_LVL1;考察队
UNCOLONIZED_INVEST_LVL2;开拓者
UNCOLONIZED_INVEST_LVL3;前哨站
UNCOLONIZED_INVEST_LVL4;定居点
UNCOLONIZED_INVEST_LVL5;岗哨站
UNCOLONIZED_DO_INVEST_LVL1;派遣考察队
UNCOLONIZED_DO_INVEST_LVL2;派遣开拓者
UNCOLONIZED_DO_INVEST_LVL3;建造前哨站
UNCOLONIZED_DO_INVEST_LVL4;建立定居点
UNCOLONIZED_DO_INVEST_LVL5;加强岗哨站
CB_TENSION;战争借口：?Y$VAL$?!
TENSION_FROM_ACTIVE_CRISIS;活动的危机：?Y$VAL$?!
AT_WAR_TENSION_DECAY;$COUNTRY$处于战争中：?Y$VAL$?!
TRIGGER_FLASHPOINT_TAG;热点攻势方
CRISIS_NO_SIDE_PICKED_SETUP;当我国拒绝支持危机中的一方时
CRISIS_NO_SIDE_PICKED_HEADER;*
CRISIS_NO_SIDE_PICKED_1;外交犹豫
CRISIS_NO_SIDE_PICKED_2;由于我们未能如期望般积极行动
CRISIS_NO_SIDE_PICKED_3;我国威望下降?R$PENALTY$?!
CRISIS_NO_SIDE_PICKED_4;从此以后我们如果不想冒着被轻视的风险就必须积极参与国际政治
CRISIS_NO_SIDE_PICKED_5;*
CRISIS_NO_SIDE_PICKED_6;*
CRISIS_NO_SIDE_PICKED_LOG;我们未能在当前危机结束前积极行动
CRISIS_NO_SIDE_PICKED_BTN1;好的
CRISIS_STARTED_SETUP;一场国际危机开始
CRISIS_STARTED_HEADER;$MONARCHTITLE$
CRISIS_STARTED_1;国际危机
CRISIS_STARTED_2;外交紧张导致的国际危机爆发于
CRISIS_STARTED_3;$CRISISTARGET$
CRISIS_STARTED_4;我们不用担心，这将会以文明的方式解决
CRISIS_STARTED_5;*
CRISIS_STARTED_6;*
CRISIS_STARTED_LOG;一场新危机已开始
CRISIS_STARTED_BTN1;好的
CRISIS_BECAME_WAR_SETUP;一场危机已演变成战争
CRISIS_BECAME_WAR_HEADER;$MONARCHTITLE$
CRISIS_BECAME_WAR_1;国际危机
CRISIS_BECAME_WAR_2;当前危机下的外交谈判已经失败
CRISIS_BECAME_WAR_3;似乎只能在战场上决定谁才是对的了
CRISIS_BECAME_WAR_4;*
CRISIS_BECAME_WAR_5;*
CRISIS_BECAME_WAR_6;*
CRISIS_BECAME_WAR_LOG;一场危机已演变成战争
CRISIS_BECAME_WAR_BTN1;好的
IS_IN_CRISIS;涉入一场危机
IS_NOT_IN_CRISIS;未涉入一场危机
BACK_CRISIS_DI;支持危机中某国的提议
CRISIS_NOBODY_BACKED_SETUP;当没有国家介入危机时
CRISIS_NOBODY_BACKED_HEADER;$MONARCHTITLE$
CRISIS_NOBODY_BACKED_1;危机目前得以避免
CRISIS_NOBODY_BACKED_2;这场危机发生在
CRISIS_NOBODY_BACKED_3;?Y$CRISISTARGET$?!
CRISIS_NOBODY_BACKED_4;此时其并未引起国际的兴趣
CRISIS_NOBODY_BACKED_5;*
CRISIS_NOBODY_BACKED_6;*
CRISIS_NOBODY_BACKED_LOG;没有国家介入当前危机
CRISIS_NOBODY_BACKED_BTN1;好的
BP_TOOL_ICON_INFANTRY;步兵图标
BP_TOOL_ICON_COMBAT;战斗图标
BP_TOOL_ICON_CAVALRY;骑兵图标
BP_TOOL_ICON_ARTILLERY;炮兵图标
BP_TOOL_ICON_NAVAL;海军基地图标
BP_TOOL_ICON_INVASION;入侵图标
BP_TOOL_ICON_WOODEN_SHIP;战舰图标
BP_TOOL_ICON_IRONCLAD;铁甲舰图标
BP_TOOL_ICON_INDUSTRY;工厂图标
BP_TOOL_ICON_COLONY;殖民地图标
BP_TOOL_ICON_WARGOAL_1;战争目标图标
BP_TOOL_ICON_WARGOAL_2;战争目标图标
TAKE_SIDE_PENALTY;不支持任意一方的威望惩罚：?R$VAL$?!
NO_CALL_ALLY_CRISIS;在世界大战启用前，无法召集盟友加入危机战争
PRODUCTION_BONUS;$BON$的加成来自:
