PROV1;Ситка
PROV1257;Читтагонг
PROV1258;Гаухати
PROV1259;Импхал
PROV1260;Дибругарх
PROV1261;Каттак
PROV1262;Кеуняр
PROV1263;Самбалпур
PROV1264;Аджмер
PROV1265;Джайсалмер
PROV1266;Джодхпур
PROV1267;Биканер
PROV1268;Джайпур
PROV1269;Удайпур
PROV1270;Гвалиор
PROV1271;Индаур
PROV1272;Бхопал
PROV1273;Чхатарпур
PROV1274;Рева
PROV1275;Джаббулпор
PROV1276;Хошангабад
PROV1277;Нагпур
PROV1278;Амарати
PROV1279;Джагдалпур
PROV1280;Райпур
PROV1281;Биласпур
PROV1282;Райгарх
PROV1283;Хайдарабад
PROV1284;Аурангабад
PROV1285;Низамабад
PROV1286;Гульбарга
PROV1287;Варангал
PROV1288;Карачи
PROV1289;Суккур
PROV1290;Умаркот
PROV1291;Ахмедабад
PROV1292;Раджкот
PROV1293;Мандви
PROV1294;Патан
PROV1295;Барода
PROV1296;Сурат
PROV1297;Бомбей
PROV1298;Насик
PROV1299;Пуна
PROV1300;Биджапур
PROV1301;Колхапур
PROV1302;Белгаум
PROV1303;Гоа
PROV1304;Мадрас
PROV1305;Визагапатнам
PROV1306;Масулипатнам
PROV1307;Неллор
PROV1308;Курнул
PROV1309;Танджор
PROV1310;Мадурай
PROV1311;Коимбатур
PROV1312;Пондичерри
PROV1313;Бангалор
PROV1314;Майсур
PROV1315;Читалдрог
PROV1316;Мангалор
PROV1317;Каликут
PROV1318;Кочин
PROV1319;Тривандрум
PROV1320;Андаманские острова
PROV1321;Коломбо
PROV1322;Джафна
PROV1323;Канди
PROV1324;Тринкомали
PROV1325;Мальдивы
PROV1326;Катманду
PROV1327;Джумла
PROV1328;Тумлонг
PROV1329;Тхимпу
PROV1330;Рангун
PROV1331;Бассейн
PROV1332;Пегу
PROV1333;Таунгу
PROV1334;Ава
PROV1335;Кьяуксе
PROV1336;Магве
PROV1337;Проме
PROV1338;Таунгги
PROV1339;Хака
PROV1340;Лашио
PROV1341;Путао
PROV1342;Мьичина
PROV1343;Моулмейн
PROV1344;Мерги
PROV1345;Ситуэ
PROV1346;Бангкок
PROV1347;Лопбури
PROV1348;Накхон Саван
PROV1349;Сукхотай
PROV1350;Накхонратчасима
PROV1351;Прачинбури
PROV1352;Пхукет
PROV1353;Ратчабури
PROV1354;Накхонситхаммарат
PROV1355;Чиангмай
PROV1356;Луанг Прабанг
PROV1357;Вьентьян
PROV1358;Удонтхани
PROV1359;Сисакет
PROV1360;Сянгабули
PROV1361;Саваннакхет
PROV1362;Салаван
PROV1363;Пакче
PROV1364;Удонг
PROV1365;Чантабури
PROV1366;Баттамбанг
PROV1367;Кампот
PROV1368;Стонгтренг
PROV1369;Ханой
PROV1370;Хайфонг
PROV1371;Цао Банг
PROV1372;Сон Ла
PROV1373;Ланг Сон
PROV1374;Тхань Хоа
PROV1375;Хюэ
PROV1376;Винь
PROV1377;Туран
PROV1378;Плейку
PROV1379;Куинён
PROV1380;Сайгон
PROV1381;Донг Куай
PROV1382;Хатиен
PROV1383;Винхлонг
PROV1384;Сингапур
PROV1385;Джохор-Бару
PROV1386;Малакка
PROV1387;Куала-Лумпур
PROV1388;Пенанг
PROV1389;Алор Сетар
PROV1390;Куантан
PROV1391;Кота-Бару
PROV1392;Паттани
PROV1393;Бруней
PROV1394;Кучинг
PROV1395;Бинтулу
PROV1396;API
PROV1397;Сандакан
PROV1398;Джамби
PROV1399;Палембанг
PROV1400;Индерагири
PROV1401;Сиак
PROV1402;Танджунгпинанг
PROV1403;Лампунг
PROV1404;Палак Пинанг
PROV1405;Банда-Ачех
PROV1406;Медан
PROV1407;Тапактуан
PROV1408;Паданг
PROV1409;Сиболга
PROV1410;Бенкулен
PROV1411;Гунунгситоли
PROV1412;Аден
PROV1413;Батавия
PROV1414;Богор
PROV1415;Чиребон
PROV1416;Джокьякарта
PROV1417;Семаранг
PROV1418;Сурабая
PROV1419;Суракарта
PROV1420;Проболингго
PROV1421;Мадура
PROV1422;Муралеве
PROV1423;Банджармасин
PROV1424;Пасир
PROV1425;Таракан
PROV1426;Понтианак
PROV1427;Кота Варингин
PROV1428;Синтанг
PROV1429;Самаринда
PROV1430;Макассар
PROV1431;Кость
PROV1432;Мамуджу
PROV1433;Менадо
PROV1434;Лувук
PROV1435;Палу
PROV1436;Кендари
PROV1437;Булон
PROV1438;Бали
PROV1439;Флорес
PROV1440;Сумбава
PROV1441;Сумба
PROV1442;Ломбок
PROV1443;Роти
PROV1444;Алор
PROV1445;Каупенг
PROV1446;Дили
PROV1447;Тернате
PROV1448;Джилоло
PROV1449;Амбон
PROV1450;Керам
PROV1451;Ару
PROV1452;Биак
PROV1453;Соронг
PROV1454;Мера
PROV1455;Манила
PROV1456;Виган
PROV1457;Легаспи
PROV1458;Миндоро
PROV1459;Палаван
PROV1460;Илоило
PROV1461;Таклобан
PROV1462;Замбоанга
PROV1463;Давао
PROV1464;Сулу
PROV1465;Урга
PROV1466;Даландзадгад
PROV1467;Баян Тюмень
PROV1468;Улиастай
PROV1469;Кызыл
PROV1470;Аньцин
PROV1471;Чичжоу
PROV1472;Фэнъян
PROV1473;Хуэйчжоу
PROV1474;Лучжоу
PROV1475;Нинго
PROV1476;Сичжоу
PROV1477;Тайпин
PROV1478;Инчжоу
PROV1479;Мукден
PROV1480;Цзиньчжоу
PROV1481;Порт-Артур
PROV1482;Фучжоу
PROV1483;Цзяньнин
PROV1484;Цюаньчжоу
PROV1485;Тайбэй
PROV1486;Тинчжоу
PROV1487;Чжанчжоу
PROV1488;Цзяюгуань
PROV1489;Гунчхан
PROV1490;Ланьчжоу
PROV1491;Нинся
PROV1492;Пинлян
PROV1493;Кантон
PROV1494;Чаочжоу
PROV1495;Чжаньцзян
PROV1496;Гонконг
PROV1497;Хуэйчжоу
PROV1498;Макао
PROV1499;Хайнань
PROV1500;Шаочжоу
PROV1501;Чжаоцин
PROV1502;Наньнин
PROV1503;Гуйлинь
PROV1504;Пингл
PROV1505;Гуйян
PROV1506;Аньшунь
PROV1507;Чжэньюань
PROV1508;Кайфэн
PROV1509;Гид
PROV1510;Лоян
PROV1511;Чжэнчжоу
PROV1512;Чэньчжоу
PROV1513;Наньян
PROV1514;Бег
PROV1515;Вэйхуэй
PROV1516;Ханьян
PROV1517;Дин
PROV1518;Хуанчжоу
PROV1519;Анлу
PROV1520;Цзинчжоу
PROV1521;Шинан
PROV1522;Учан
PROV1523;Сянъян
PROV1524;Чанша
PROV1525;Чандэ
PROV1526;Баоцин
PROV1527;Хэнчжоу
PROV1528;Юэчжоу
PROV1529;Юншунь
PROV1530;Юнчжоу
PROV1531;Новая Ирландия
PROV1532;Гуйхуа Тумед
PROV1533;Жирим Чуулган
PROV1534;Улаан Чаб Чуулган
PROV1535;Йеке Джуу Чуулган
PROV1536;Хуайань
PROV1537;Чанчжоу
PROV1538;Шанхай
PROV1539;Сучжоу
PROV1540;Тайцанчжоу
PROV1541;Тунчжоу
PROV1542;Сюйчжоу
PROV1543;Янчжоу
PROV1544;Чжэньцзян
PROV1545;Наньчан
PROV1546;Гуансинь
PROV1547;Цзянь
PROV1548;Цзяньчан
PROV1549;Цзюцзян
PROV1550;Ганьчжоу
PROV1551;Раочжоу
PROV1552;Цицикар
PROV1553;Айгун
PROV1554;Нингута
PROV1555;Цзилинь
PROV1556;Махай
PROV1557;Балекунгоми
PROV1558;Кегудо
PROV1559;Сиань
PROV1560;Мерауке
PROV1561;Яньань
PROV1562;Ханьчжун
PROV1563;Цзинань
PROV1564;Цаочжоу
PROV1565;Лайчжоу
PROV1566;Циндао
PROV1567;Цинчжоу
PROV1568;Тайан
PROV1569;Вэйхайвей
PROV1570;Удин
PROV1571;Ичжоу
PROV1572;Тайюань
PROV1573;Фэньчжоу
PROV1574;Луан
PROV1575;Пинъян
PROV1576;Датун
PROV1577;Чунцин
PROV1578;Чэнду
PROV1579;Баотун
PROV1580;Цзядин
PROV1581;Куйчжоу
PROV1582;Лонган
PROV1583;Шуньцин
PROV1584;Тунчуань
PROV1585;Ибинь
PROV1586;Ячжоу
PROV1587;Лхаса
PROV1588;Чамдо
PROV1589;Шигадзе
PROV1590;Лходрак
PROV1591;Чангтанг
PROV1592;Нгари
PROV1593;Таванг
PROV1594;Кашгар
PROV1595;Или
PROV1596;Тульта
PROV1597;Аксу
PROV1598;Хотан
PROV1599;Кумул
PROV1600;Дихуэ
PROV1601;Куньмин
PROV1602;Дали
PROV1603;Пуэр
PROV1604;Ханчжоу
PROV1605;Хучжоу
PROV1606;Цзясин
PROV1607;Цзиньхуа
PROV1608;Нинбо
PROV1609;Шаосин
PROV1610;Тайчжоу
PROV1611;Вэньчжоу
PROV1612;Пекин
PROV1613;Чэндэ
PROV1614;Даминг
PROV1615;Цзичжоу
PROV1616;Таншань
PROV1617;Тяньцзинь
PROV1618;Чжундин
PROV1619;Пхеньян
PROV1620;Чончон
PROV1621;Хамхын
PROV1622;Чхонджин
PROV1623;Кимчаек
PROV1624;Сеул
PROV1625;Кэсон
PROV1626;Хэджу
PROV1627;Саривон
PROV1628;Инчхон
PROV1629;Вонсан
PROV1630;Каннунг
PROV1631;Вонджу
PROV1632;Пусан
PROV1633;Тэгу
PROV1634;Пхохан
PROV1635;Кванджу
PROV1636;Тэджон
PROV1637;Чеджу
PROV1638;Хиросима
PROV1639;Окаяма
PROV1640;Ямагучи
PROV1641;Мацуэ
PROV1642;Хакодате
PROV1643;Исикара
PROV1644;Нэмуру
PROV1645;Ниигата
PROV1646;Канадзава
PROV1647;Фукуи
PROV1648;Тояма
PROV1649;Эдо
PROV1650;Тиба
PROV1651;Иокогама
PROV1652;Урава
PROV1653;Мито
PROV1654;Бонин
PROV1655;Осака
PROV1656;Вакаяма
PROV1657;Киото
PROV1658;Нара
PROV1659;Кобе
PROV1660;Фукуока
PROV1661;Нагасаки
PROV1662;Кагосима
PROV1663;Миядзаки
PROV1664;Кумамото
PROV1665;Кочи
PROV1666;Мацуяма
PROV1667;Токусима
PROV1668;Сендай
PROV1669;Фукусима
PROV1670;Мориока
PROV1671;Акита
PROV1672;Аомори
PROV1673;Ямагата
PROV1674;Уцуномия
PROV1675;Нагоя
PROV1676;Сидзуока
PROV1677;Нагано
PROV1678;Окинава
PROV1679;Амари
PROV1680;Фес
PROV1681;Ваззан
PROV1682;Мекнес
PROV1683;Таза
PROV1684;Вуйда
PROV1685;Рабат
PROV1686;Танжер
PROV1687;Тетуан
PROV1688;Аждир
PROV1689;Мелилья
PROV1690;Марракеш
PROV1691;Касабланка
PROV1692;Гурибка
PROV1693;Савира
PROV1694;Агадир
PROV1695;Ифни
PROV1696;Тарфая
PROV1697;Фигиг
PROV1698;Рашидия
PROV1699;Варзазат
PROV1700;Алжир
PROV1701;Буж
PROV1702;Сетиф
PROV1703;Медея
PROV1704;Оран
PROV1705;Тлемсен
PROV1706;Мустаганим
PROV1707;Тушь для ресниц
PROV1708;Константин
PROV1709;Кость
PROV1710;Бискра
PROV1711;Уаргла
PROV1712;Туггурт
PROV1713;Лагват
PROV1714;Бешар
PROV1715;Наама
PROV1716;Тиндуф
PROV1717;Ченачене
PROV1718;В Салахе
PROV1719;Илизи
PROV1720;Тимимун
PROV1721;В Геззаме
PROV1722;Тин Заватене
PROV1723;Бальбоа
PROV1724;Таманрассет
PROV1725;Тунис
PROV1726;Бизерта
PROV1727;Гафса
PROV1728;Кайруан
PROV1729;Тозер
PROV1730;Габес
PROV1731;Триполи
PROV1732;Гарьян
PROV1733;Мисрата
PROV1734;Сирт
PROV1735;Бенгази
PROV1736;Дарна
PROV1737;Тобрук
PROV1738;Джагбуб
PROV1739;Куфра
PROV1740;Ваддан
PROV1741;Мурзук
PROV1742;Сабха
PROV1743;Гат
PROV1744;Гадамис
PROV1745;Каир
PROV1746;Думят
PROV1747;Танта
PROV1748;Мансура
PROV1749;Зиказик
PROV1750;Гиза
PROV1751;Александрия
PROV1752;Матрух
PROV1753;Сиди Баррани
PROV1754;Сива
PROV1755;Суэц
PROV1756;Аль Ариш
PROV1757;Шарм аль-Шейх
PROV1758;Фарафра
PROV1759;Бавити
PROV1760;Мут
PROV1761;Барис
PROV1762;Асьют
PROV1763;Бани Сувайф
PROV1764;Минья
PROV1765;Файюм
PROV1766;Асуан
PROV1767;Луксор
PROV1768;Идфу
PROV1769;Кина
PROV1770;Кусайр
PROV1771;Марса Алам
PROV1772;Рас Гариб
PROV1773;Аюн
PROV1774;Дахла
PROV1775;Нуакшот
PROV1776;Россо
PROV1777;Нога
PROV1778;Магхама
PROV1779;Шингит
PROV1780;Тичит
PROV1781;Валата
PROV1782;Бир Мургейн
PROV1783;Дакар
PROV1784;Сен-Луи
PROV1785;Банжул
PROV1786;Лингере
PROV1787;Диурбель
PROV1788;Каолак
PROV1789;Подор
PROV1790;Матам
PROV1791;Бакель
PROV1792;Зигиншор
PROV1793;Велингара
PROV1794;Бамако
PROV1795;Кайес
PROV1796;Ниоро
PROV1797;Кита
PROV1798;Бугуни
PROV1799;Сикассо
PROV1800;Сегу
PROV1801;Мурдия
PROV1802;Дженн
PROV1803;Тимбукту
PROV1804;Бандиагара
PROV1805;Гао
PROV1806;Тауденни
PROV1807;Тессалит
PROV1808;Ниамей
PROV1809;Сказать
PROV1810;Доссо
PROV1811;Маради
PROV1812;Агадес
PROV1813;Арлит
PROV1814;мадам
PROV1815;Зиндер
PROV1816;Куфе
PROV1817;Бильма
PROV1818;Массеня
PROV1819;Мунду
PROV1820;Бонгор
PROV1821;Абеше
PROV1822;Ам Тиман
PROV1823;Монго
PROV1824;Мао
PROV1825;Зуар
PROV1826;Фая
PROV1827;Хартум
PROV1828;Вад Мадани
PROV1829;Кассала
PROV1830;Сеннар
PROV1831;Рабак
PROV1832;Фашода
PROV1833;Суакин
PROV1834;Халаиб
PROV1835;Донгола
PROV1836;Хайя
PROV1837;Атбара
PROV1838;Обейд
PROV1839;Нухуд
PROV1840;Кадукли
PROV1841;Фашер
PROV1842;Джунейна
PROV1843;Вау
PROV1844;Бор
PROV1845;Ямбио
PROV1846;Ладо
PROV1847;Капоэта
PROV1848;Асмэра
PROV1849;Массауа
PROV1850;Акордат
PROV1851;Асэб
PROV1852;Гондер
PROV1853;Дебре Табор
PROV1854;Матамма
PROV1855;Дебре Маркос
PROV1856;Аксум
PROV1857;Антало
PROV1858;Ауса
PROV1859;Анкобер
PROV1860;Аваса
PROV1861;Аселия
PROV1862;Бонга
PROV1863;Асоса
PROV1864;Негеле
PROV1865;Харер
PROV1866;Гоба
PROV1867;Вердер
PROV1868;Могадишо
PROV1869;Байдоа
PROV1870;Кисмайо
PROV1871;Хобио
PROV1872;Босасо
PROV1873;Бербера
PROV1874;Зейла
PROV1875;Джибути
PROV1876;Кабо-Верде
PROV1877;Бисау
PROV1878;Габу
PROV1879;Боффа
PROV1880;Тимбо
PROV1881;Дингирайе
PROV1882;Канкан
PROV1883;Бейла
PROV1884;Фритаун
PROV1885;Фалаба
PROV1886;Бо
PROV1887;Монровия
PROV1888;Харпер
PROV1889;Бополу
PROV1890;Гбарнга
PROV1891;Зведру
PROV1892;Гранд Лаху
PROV1893;Сасандра
PROV1894;Гранд Басам
PROV1895;Буаке
PROV1896;Мужчина
PROV1897;Акупе
PROV1898;Конг
PROV1899;Бондуку
PROV1900;Одиенне
PROV1901;Вагадугу
PROV1902;Вахигуя
PROV1903;Дори
PROV1904;Фада Нгурма
PROV1905;Бобо Диуласо
PROV1906;Ородаро
PROV1907;Аккра
PROV1908;Кейп-Кост
PROV1909;Секонди
PROV1910;Кумаси
PROV1911;Кинтампо
PROV1912;Ва
PROV1913;Тамале
PROV1914;Ломе
PROV1915;Хо
PROV1916;Йенди
PROV1917;Атакпаме
PROV1918;Сокоде
PROV1919;Котону
PROV1920;Абомей
PROV1921;Никки
PROV1922;Джугу
PROV1923;Лагос
PROV1924;Абеокута
PROV1925;Ибадан
PROV1926;Ифе
PROV1927;Илорин
PROV1928;Бенин
PROV1929;Акуре
PROV1930;Локоя
PROV1931;Варри
PROV1932;Бонни
PROV1933;Авка
PROV1934;Калабар
PROV1935;Аручукву
PROV1936;Макурди
PROV1937;Тукари
PROV1938;Бусса
PROV1939;Заря
PROV1940;Бида
PROV1941;Абуджа
PROV1942;Баучи
PROV1943;Джос
PROV1944;Гомбе
PROV1945;Кано
PROV1946;Кебби
PROV1947;Кацина
PROV1948;Сокото
PROV1949;Хадеджия
PROV1950;Йола
PROV1951;Кука
PROV1952;Нгуру
PROV1953;Дикоа
PROV1954;Сан-Томе
PROV1955;Фернандо По
PROV1956;Дуала
PROV1957;Буэа
PROV1958;Криби
PROV1959;Яунде
PROV1960;Бафуссам
PROV1961;Баменда
PROV1962;Бертуа
PROV1963;Нгаундере
PROV1964;Маруа
PROV1965;Банги
PROV1966;Нола
PROV1967;Буар
PROV1968;Босангоа
PROV1969;Земио
PROV1970;Бангасу
PROV1971;Нделе
PROV1972;Либревиль
PROV1973;Бата
PROV1974;Маюмбе
PROV1975;Моанда
PROV1976;Макоко
PROV1977;Нкуна
PROV1978;Мадингу
PROV1979;Билока
PROV1980;Джамбала
PROV1981;Импфондо
PROV1982;Киншаса
PROV1983;Бома
PROV1984;Кананга
PROV1985;Кумбана
PROV1986;Лусамбо
PROV1987;Бункея
PROV1988;Муссумба
PROV1989;Мунза
PROV1990;Ньянгве
PROV1991;Увира
PROV1992;Басоко
PROV1993;Иребу
PROV1994;Ншенг
PROV1995;Гемена
PROV1996;Кисангани
PROV1997;Мунгбане
PROV1998;Барамо
PROV1999;Луанда
PROV2000;Кабинда
PROV2001;Мбанза
PROV2002;Кибала
PROV2003;Бенгела
PROV2004;Мосамедес
PROV2005;Уамбо
PROV2006;Куито
PROV2007;Мавинга
PROV2008;Онджива
PROV2009;Маланже
PROV2010;Сауримо
PROV2011;Кубанда
PROV2012;Лусака
PROV2013;Монгу
PROV2014;Касемпа
PROV2015;Монзо
PROV2016;Казембе
PROV2017;Касема
PROV2018;Чипата
PROV2019;Энтеббе
PROV2020;Мбарара
PROV2021;Масинди
PROV2022;Китгум
PROV2023;Джинджа
PROV2024;Найроби
PROV2025;Марсабит
PROV2026;Лодвар
PROV2027;Накуру
PROV2028;Кисуму
PROV2029;Момбаса
PROV2030;Ламу
PROV2031;Ваджир
PROV2032;Гарисса
PROV2033;Вои
PROV2034;Кигали
PROV2035;Усумбура
PROV2036;Дар-эс-Салам
PROV2037;Танга
PROV2038;Килва
PROV2039;Линди
PROV2040;Сонгеа
PROV2041;Масаси
PROV2042;Иринга
PROV2043;Табора
PROV2044;Мванза
PROV2045;Морогоро
PROV2046;Уджиджи
PROV2047;Аруша
PROV2048;Занзибар
PROV2049;Лоренцо Маркес
PROV2050;Шаймате
PROV2051;Иньямбане
PROV2052;Массекиссе
PROV2053;Сена
PROV2054;Тете
PROV2055;Сонго
PROV2056;Зумбо
PROV2057;Софала
PROV2058;Моссурировать
PROV2059;Келимане
PROV2060;Мозамбик
PROV2061;Ангоче
PROV2062;Шанчжоу
PROV2063;ибо
PROV2064;Нампула
PROV2065;Миланж
PROV2066;Зомба
PROV2067;Лилонгве
PROV2068;Хараре
PROV2069;Гверу
PROV2070;Мутаре
PROV2071;Булавайо
PROV2072;Хванге
PROV2073;Масвинго
PROV2074;Габороне
PROV2075;Серове
PROV2076;Ноканенг
PROV2077;Цабонг
PROV2078;Виндхук
PROV2079;Свакопмунд
PROV2080;Цумеб
PROV2081;Линьяти
PROV2082;Отджинене
PROV2083;Уолфиш-Бей
PROV2084;Ангра Пекена
PROV2085;Ню-гусыни
PROV2086;Карасбург
PROV2087;Кейптаун
PROV2088;Газель
PROV2089;Вустер
PROV2090;Светтенхэм
PROV2091;Моссель Бэй
PROV2092;Бофорт
PROV2093;Кальвиния
PROV2094;Кимберли
PROV2095;Дикатонг
PROV2096;Порт-Элизабет
PROV2097;Грааф Рейнет
PROV2098;Бишо
PROV2099;Мателе
PROV2100;Умтата
PROV2101;Блумфонтейн
PROV2102;Винбург
PROV2103;Филиппополь
PROV2104;Таба Босиу
PROV2105;Претория
PROV2106;Витватерсранд
PROV2107;Клерксдорп
PROV2108;Мосега
PROV2109;Лиденбург
PROV2110;Тохоянду
PROV2111;Дурбан
PROV2112;Ледисмит
PROV2113;Улунди
PROV2114;Мбабане
PROV2115;Тананариве
PROV2116;Фианаранцуа
PROV2117;Ампанихи
PROV2118;Толанаро
PROV2119;Тоамасина
PROV2120;Анциранана
PROV2121;Махадзанга
PROV2122;Толиара
PROV2123;Коморские Острова
PROV2124;Майотта
PROV2125;Маврикий
PROV2126;Бурбон
PROV2127;Сейшельские острова
PROV2128;Диего Гарсия
PROV2129;Остров Святой Елены
PROV2130;Вознесение
PROV2131;Фолклендские острова
PROV2132;Тристан-да-Кунья
PROV2133;Южная Георгия
PROV2134;Азорские острова
PROV2135;Мадейра
PROV2136;Канарские острова
PROV2137;Эрмосильо
PROV2138;Лорето
PROV2139;Росарито
PROV2140;Ногалес
PROV2141;Гуаймас
PROV2142;Чихуахуа
PROV2143;Пасо-дель-Норте
PROV2144;Делисиас
PROV2145;Парраль
PROV2146;Монтеррей
PROV2147;Морелос
PROV2148;Рейноса
PROV2149;Матаморос
PROV2150;Сьюдад-Виктория
PROV2151;Сальтильо
PROV2152;Монклова
PROV2153;Дуранго
PROV2154;Санта-Мария-дель-Оро
PROV2155;Торреон
PROV2156;Масатлан
PROV2157;Кулиакан
PROV2158;Сакатекас
PROV2159;Сан-Луис-Потоси
PROV2160;Агуаскальентес
PROV2161;Тепик
PROV2162;Веракрус
PROV2163;Тампико
PROV2164;Минатитлан
PROV2165;Вильяэрмоса
PROV2166;Гвадалахара
PROV2167;Гуанахуато
PROV2168;Пуэрто-Вальярта
PROV2169;Колима
PROV2170;Морелия
PROV2171;Лос-Альбанилес
PROV2172;Мехико
PROV2173;Керетаро
PROV2174;Толука
PROV2175;Тулансинго
PROV2176;Пуэбла
PROV2177;Оахака
PROV2178;Коллатаро
PROV2179;Акапулько
PROV2180;Чильпансинго
PROV2181;Тустла
PROV2182;Тапачула
PROV2183;Мерида
PROV2184;Кампече
PROV2185;Бакалар
PROV2186;Гватемала
PROV2187;Кесальтенанго
PROV2188;Пуэрто Барриос
PROV2189;Саяксче
PROV2190;Белиз
PROV2191;Сан-Сальвадор
PROV2192;Сан-Мигель
PROV2193;Комаягуа
PROV2194;Сан-Педро-Сула
PROV2195;Ла-Сейба
PROV2196;Пуэрто Лемпира
PROV2197;Манагуа
PROV2198;Ривас
PROV2199;Леон
PROV2200;Блуфилдс
PROV2201;Сан - Хосе
PROV2202;Либерия
PROV2203;Лимон
PROV2204;Панама
PROV2205;Дэйвид
PROV2206;Пенономе
PROV2207;Сайншанд
PROV2208;Явиза
PROV2209;Гавана
PROV2210;Ягуа
PROV2211;Камагуэй
PROV2212;Сантьяго де Куба
PROV2213;Порт-о-Пренс
PROV2214;Санто-Доминго
PROV2215;Кап-Аитьен
PROV2216;Ла Вега
PROV2217;Ямайка
PROV2218;Каймановы острова
PROV2219;Багамы
PROV2220;Теркс и Кайкос
PROV2221;Нанкин
PROV2222;Пуэрто-Рико
PROV2223;Сент-Томас
PROV2224;Антигуа
PROV2225;Монтсеррат
PROV2226;Тортола
PROV2227;Сент-Китс
PROV2228;Мартиника
PROV2229;Барбадос
PROV2230;Гваделупа
PROV2231;Санкт-Люсия
PROV2232;Доминика
PROV2233;Гренада
PROV2234;Кюрасао
PROV2235;Аруба
PROV2236;Сен-Мартен
PROV2237;Тринидад
PROV2238;Тобаго
PROV2239;Джорджтаун
PROV2240;Парамарибо
PROV2241;Кайенна
PROV2242;Махдия
PROV2243;Эссекибо
PROV2244;Остров Рождества
PROV2245;Апетина
PROV2246;Марипасула
PROV2247;Богота
PROV2248;Ибаге
PROV2249;Тунджа
PROV2250;Манисалес
PROV2251;Кукута
PROV2252;Медельин
PROV2253;Кибдо
PROV2254;Картахена-де-Индиас
PROV2255;Барранкилья
PROV2256;Кали
PROV2257;Попаян
PROV2258;Буэнавентура
PROV2259;Пасто
PROV2260;Сан-Хосе-дель-Гуавиаре
PROV2261;Обандо
PROV2262;Казанаре
PROV2263;Эль Энканто
PROV2264;Каракас
PROV2265;Гуанаре
PROV2266;Калабосо
PROV2267;Кумана
PROV2268;Сан-Фелипе
PROV2269;Гуирия
PROV2270;Маракайбо
PROV2271;Валера
PROV2272;Коро
PROV2273;Баркисимето
PROV2274;Баринас
PROV2275;Ангостура
PROV2276;Куриапо
PROV2277;Эль-Джобаль
PROV2278;Сан-Фернандо-де-Атабапо
PROV2279;Кито
PROV2280;Гуаякиль
PROV2281;Эсмерельдас
PROV2282;Лоха
PROV2283;Самора
PROV2284;Тена
PROV2285;Галапагосские острова
PROV2286;Икитос
PROV2287;Юримагуас
PROV2288;Юнкос
PROV2289;Пука Урко
PROV2290;Кахамарка
PROV2291;Пьюра
PROV2292;Трухильо
PROV2293;Уануко
PROV2294;Мойобамба
PROV2295;Лима
PROV2296;Уанкавелика
PROV2297;Ика
PROV2298;Уарас
PROV2299;Аякучо
PROV2300;Пукальпа
PROV2301;Пуэрто Мальдонадо
PROV2302;Куско
PROV2303;Пуно
PROV2304;Арекипа
PROV2305;Антофагаста
PROV2306;Сорокаба
PROV2307;Икике
PROV2308;Арика
PROV2309;Калама
PROV2310;Ла-Пас
PROV2311;Кочабамба
PROV2312;Оруро
PROV2313;Чукисака
PROV2314;Потоси
PROV2315;Тариха
PROV2316;Санта Круз
PROV2317;Сан-Игнасио
PROV2318;Роборе
PROV2319;Санта Ана
PROV2320;Риберальта
PROV2321;Кобиха
PROV2322;Копьяпо
PROV2323;Ла Серена
PROV2324;Сантьяго
PROV2325;Вальпараисо
PROV2326;Винья-дель-Мар
PROV2327;Талька
PROV2328;Вальдивия
PROV2329;Темуко
PROV2330;Кокенес
PROV2331;Чильян
PROV2332;Осорно
PROV2333;Пуэрто-Айсен
PROV2334;Пунта-Аренас
PROV2335;Порвенир
PROV2336;Остров Пасхи
PROV2337;Фортин Сокол
PROV2338;Пуэрто-Гуарани
PROV2339;Асунсьон
PROV2340;Пилар
PROV2341;Энкарнасьон
PROV2342;Сан-Педро
PROV2343;Консепсьон
PROV2344;Монтевидео
PROV2345;Пайсанду
PROV2346;Такуарембо
PROV2347;Мело
PROV2348;Буэнос айрес
PROV2349;Хунин
PROV2350;Азул
PROV2351;Ла-Плата
PROV2352;Мар-дель-Плата
PROV2353;Тренке Лаукен
PROV2354;Баия-Бланка
PROV2355;Кармен
PROV2356;Корриентес
PROV2357;Курузу Куатиа
PROV2358;Санто-Томас
PROV2359;Двоеточие
PROV2360;Парана
PROV2361;Санкти Спириту
PROV2362;Реконкиста
PROV2363;Росарио
PROV2364;Сопротивление
PROV2365;Вилла Анжела
PROV2366;Формоза
PROV2367;Ксолотас
PROV2368;Сальта
PROV2369;Жужуй
PROV2370;Кочинока
PROV2371;Эквиа
PROV2372;Ривадавия
PROV2373;Тукуман
PROV2374;Катамарка
PROV2375;Винчина
PROV2376;Сантьяго-дель-Эстеро
PROV2377;Анатуя
PROV2378;Майлин
PROV2379;Кордова-де-Аргентина
PROV2380;Вилла Нуэва
PROV2381;Рио-Куарто
PROV2382;Ренанко
PROV2383;Сан-Луис
PROV2384;Мерседес
PROV2385;Ла Риоха
PROV2386;Санта-Рита
PROV2387;Сан-Хуан
PROV2388;Калингаста
PROV2389;Мендоса
PROV2390;Сан-Рафаэль
PROV2391;Неукен
PROV2392;Вьедма
PROV2393;Телен
PROV2394;Барилоче
PROV2395;Кюрако
PROV2396;Роусон
PROV2397;Эскель
PROV2398;Пуэрто Десеадо
PROV2399;Рио-Гальегос
PROV2400;Рио-Гранде
PROV2401;Марабитанас
PROV2402;Манаус
