PROV1;Sitka
PROV1275;Jubbulpore
PROV1276;Hoshangabad
PROV1277;Nagpur
PROV1278;Amarati
PROV1279;Jagdalpur
PROV1280;Raipur
PROV1281;Bilaspur
PROV1282;Raigarh
PROV1283;Hyderabad
PROV1284;Aurangabad
PROV1285;Nizamabad
PROV1286;Gulbarga
PROV1287;Warangal
PROV1288;Karachi
PROV1289;Sukkur
PROV1290;Umarkot
PROV1291;Ahmedabad
PROV1292;Rajkot
PROV1293;Mandvi
PROV1294;Patan
PROV1295;Baroda
PROV1296;Surat
PROV1297;Bombay
PROV1298;Nasik
PROV1299;Poona
PROV1300;Bijapur
PROV1301;Kolhapur
PROV1302;Belgaum
PROV1303;Goa
PROV1304;Madras
PROV1305;Vizagapatnam
PROV1306;Masulipatnam
PROV1307;Nellore
PROV1308;Kurnool
PROV1309;Tanjore
PROV1310;Madurai
PROV1311;Coimbatore
PROV1312;Pondicherry
PROV1313;Bangalore
PROV1314;Mysore
PROV1315;Chitaldroog
PROV1316;Mangalore
PROV1317;Calicut
PROV1318;Cochin
PROV1319;Trivandrum
PROV1320;Andaman Islands
PROV1321;Colombo
PROV1322;Jaffna
PROV1323;Kandy
PROV1324;Trincomalee
PROV1325;Maldives
PROV1326;Katmandu
PROV1327;Jumla
PROV1328;Tumlong
PROV1329;Thimpu
PROV1330;Rangoon
PROV1331;Bassein
PROV1332;Pegu
PROV1333;Toungoo
PROV1334;Ava
PROV1335;Kyaukse
PROV1336;Magwe
PROV1337;Prome
PROV1338;Taunggyi
PROV1339;Haka
PROV1340;Lashio
PROV1341;Putao
PROV1342;Myitkyina
PROV1343;Moulmein
PROV1344;Mergui
PROV1345;Sittwe
PROV1346;Bangkok
PROV1347;Lopburi
PROV1348;Nakhon Sawan
PROV1349;Sukhothai
PROV1350;Nakhon Ratchasima
PROV1351;Prachinburi
PROV1352;Phuket
PROV1353;Ratchaburi
PROV1354;Nakhon Si Thammarat
PROV1355;Chiang Mai
PROV1356;Luang Prabang
PROV1357;Vientiane
PROV1358;Udon Thani
PROV1359;Sisaket
PROV1360;Xiangabouli
PROV1361;Savannakhet
PROV1362;Salavan
PROV1363;Pakche
PROV1364;Oudong
PROV1365;Chanthaburi
PROV1366;Battambang
PROV1367;Kampot
PROV1368;Stongtreng
PROV1369;Hanoi
PROV1370;Hai Phong
PROV1371;Cao Bang
PROV1372;Son La
PROV1373;Lang Son
PROV1374;Thanh Hoa
PROV1375;Hue
PROV1376;Vinh
PROV1377;Tourane
PROV1378;Pleiku
PROV1379;Qui Nhon
PROV1380;Saigon
PROV1381;Dong Quai
PROV1382;Hatien
PROV1383;Vinhlong
PROV1384;Singapore
PROV1385;Johor Bahru
PROV1386;Malacca
PROV1387;Kuala Lumpur
PROV1388;Penang
PROV1389;Alor Setar
PROV1390;Kuantan
PROV1391;Kota Bahru
PROV1392;Pattani
PROV1393;Brunei
PROV1394;Kuching
PROV1395;Bintulu
PROV1396;Api
PROV1397;Sandakan
PROV1398;Jambi
PROV1399;Palembang
PROV1400;Inderagiri
PROV1401;Siak
PROV1402;Tanjungpinang
PROV1403;Lampung
PROV1404;Palak Pinang
PROV1405;Banda Aceh
PROV1406;Medan
PROV1407;Tapaktuan
PROV1408;Padang
PROV1409;Sibolga
PROV1410;Bencoolen
PROV1411;Gunungsitoli
PROV1412;Aden
PROV1413;Batavia
PROV1414;Bogor
PROV1415;Cirebon
PROV1416;Yogyakarta
PROV1417;Semarang
PROV1418;Surabaya
PROV1419;Surakarta
PROV1420;Probolinggo
PROV1421;Madura
PROV1422;Muraleve
PROV1423;Banjarmasin
PROV1424;Pasir
PROV1425;Tarakan
PROV1426;Pontianak
PROV1427;Kota Waringin
PROV1428;Sintang
PROV1429;Samarinda
PROV1430;Makassar
PROV1431;Bone
PROV1432;Mamuju
PROV1433;Menado
PROV1434;Luwuk
PROV1435;Palu
PROV1436;Kendari
PROV1437;Bulon
PROV1438;Bali
PROV1439;Flores
PROV1440;Sumbawa
PROV1441;Sumba
PROV1442;Lombok
PROV1443;Roti
PROV1444;Alor
PROV1445;Kaupeng
PROV1446;Dili
PROV1447;Ternate
PROV1448;Jilolo
PROV1449;Ambon
PROV1450;Ceram
PROV1451;Aru
PROV1452;Biak
PROV1453;Sorong
PROV1454;Merah
PROV1455;Manila
PROV1456;Vigan
PROV1457;Legazpi
PROV1458;Mindoro
PROV1459;Palawan
PROV1460;Iloilo
PROV1461;Tacloban
PROV1462;Zamboanga
PROV1463;Davao
PROV1464;Sulu
PROV1465;Urga
PROV1466;Dalandzadgad
PROV1467;Bayan Tumen
PROV1468;Uliastai
PROV1469;Kyzyl
PROV1470;Anqing
PROV1471;Chizhou
PROV1472;Fengyang
PROV1473;Huizhou
PROV1474;Luzhou
PROV1475;Ningguo
PROV1476;Sizhou
PROV1477;Taiping
PROV1478;Yingzhou
PROV1479;Mukden
PROV1480;Jinzhou
PROV1481;Port Arthur
PROV1482;Fuzhou
PROV1483;Jianning
PROV1484;Quanzhou
PROV1485;Taibei
PROV1486;Tingzhou
PROV1487;Zhangzhou
PROV1488;Jiayuguan
PROV1489;Gongchang
PROV1490;Lanzhou
PROV1491;Ningxia
PROV1492;Pingliang
PROV1493;Canton
PROV1494;Chaozhou
PROV1495;Zhanjiang
PROV1496;Hong Kong
PROV1497;Huizhou
PROV1498;Macao
PROV1499;Hainan
PROV1500;Shaozhou
PROV1501;Zhaoqing
PROV1502;Nanning
PROV1503;Guilin
PROV1504;Pingle
PROV1505;Guiyang
PROV1506;Anshun
PROV1507;Zhenyuan
PROV1508;Kaifeng
PROV1509;Guide
PROV1510;Luoyang
PROV1511;Zhengzhou
PROV1512;Chenzhou
PROV1513;Nanyang
PROV1514;Runing
PROV1515;Weihui
PROV1516;Hanyang
PROV1517;Dean
PROV1518;Huangzhou
PROV1519;Anlu
PROV1520;Jingzhou
PROV1521;Shinan
PROV1522;Wuchang
PROV1523;Xiangyang
PROV1524;Changsha
PROV1525;Changde
PROV1526;Baoqing
PROV1527;Hengzhou
PROV1528;Yuezhou
PROV1529;Yongshun
PROV1530;Yongzhou
PROV1531;New Ireland
PROV1532;Guihua Tumed
PROV1533;Jirim Chuulgan
PROV1534;Ulaan Chab Chuulghan
PROV1535;Yeke Juu Chuulghan
PROV1536;Huaian
PROV1537;Changzhou
PROV1538;Shanghai
PROV1539;Suzhou
PROV1540;Taicangzhou
PROV1541;Tongzhou
PROV1542;Xuzhou
PROV1543;Yangzhou
PROV1544;Zhenjiang
PROV1545;Nanchang
PROV1546;Guangxin
PROV1547;Jian
PROV1548;Jianchang
PROV1549;Jiujiang
PROV1550;Ganzhou
PROV1551;Raozhou
PROV1552;Qiqihar
PROV1553;Aigun
PROV1554;Ninguta
PROV1555;Jilin
PROV1556;Makhai
PROV1557;Balekungomi
PROV1558;Kegudo
PROV1559;Xian
PROV1560;Merauke
PROV1561;Yenan
PROV1562;Hanzhong
PROV1563;Jinan
PROV1564;Caozhou
PROV1565;Laizhou
PROV1566;Qingdao
PROV1567;Qingzhou
PROV1568;Taian
PROV1569;Weihaiwei
PROV1570;Wuding
PROV1571;Yizhou
PROV1572;Taiyuan
PROV1573;Fenzhou
PROV1574;Luan
PROV1575;Pingyang
PROV1576;Datong
PROV1577;Chongqing
PROV1578;Chengdu
PROV1579;Baotung
PROV1580;Jiading
PROV1581;Kuizhou
PROV1582;Longan
PROV1583;Shunqing
PROV1584;Tongchuan
PROV1585;Yibin
PROV1586;Yazhou
PROV1587;Lhasa
PROV1588;Chamdo
PROV1589;Shigatse
PROV1590;Lhodrak
PROV1591;Changtang
PROV1592;Ngari
PROV1593;Tawang
PROV1594;Kashgar
PROV1595;Ili
PROV1596;Tulta
PROV1597;Aksu
PROV1598;Khotan
PROV1599;Kumul
PROV1600;Díhuĕ
PROV1601;Kunming
PROV1602;Dali
PROV1603;Puer
PROV1604;Hangzhou
PROV1605;Huzhou
PROV1606;Jiaxing
PROV1607;Jinhua
PROV1608;Ningbo
PROV1609;Shaoxing
PROV1610;Taizhou
PROV1611;Wenzhou
PROV1612;Beijing
PROV1613;Chengde
PROV1614;Daming
PROV1615;Jizhou
PROV1616;Tangshan
PROV1617;Tianjin
PROV1618;Zhongding
PROV1619;Pyongyang
PROV1620;Chonchon
PROV1621;Hamhung
PROV1622;Chongjin
PROV1623;Kimchaek
PROV1624;Seoul
PROV1625;Kaesong
PROV1626;Haeju
PROV1627;Sariwon
PROV1628;Inchon
PROV1629;Wonsan
PROV1630;Kangnung
PROV1631;Wonju
PROV1632;Pusan
PROV1633;Taegu
PROV1634;Pohang
PROV1635;Kwangju
PROV1636;Taejon
PROV1637;Cheju
PROV1638;Hiroshima
PROV1639;Okayama
PROV1640;Yamaguchi
PROV1641;Matsue
PROV1642;Hakodate
PROV1643;Ishikara
PROV1644;Nemuru
PROV1645;Niigata
PROV1646;Kanazawa
PROV1647;Fukui
PROV1648;Toyama
PROV1649;Edo
PROV1650;Chiba
PROV1651;Yokohama
PROV1652;Urawa
PROV1653;Mito
PROV1654;Bonin
PROV1655;Osaka
PROV1656;Wakayama
PROV1657;Kyoto
PROV1658;Nara
PROV1659;Kobe
PROV1660;Fukuoka
PROV1661;Nagasaki
PROV1662;Kagoshima
PROV1663;Miyazaki
PROV1664;Kumamoto
PROV1665;Kochi
PROV1666;Matsuyama
PROV1667;Tokushima
PROV1668;Sendai
PROV1669;Fukushima
PROV1670;Morioka
PROV1671;Akita
PROV1672;Aomori
PROV1673;Yamagata
PROV1674;Utsunomiya
PROV1675;Nagoya
PROV1676;Shizuoka
PROV1677;Nagano
PROV1678;Okinawa
PROV1679;Amari
PROV1680;Fez
PROV1681;Wazzan
PROV1682;Meknes
PROV1683;Taza
PROV1684;Wujda
PROV1685;Rabat
PROV1686;Tangier
PROV1687;Tetouan
PROV1688;Ajdir
PROV1689;Melilla
PROV1690;Marrakesh
PROV1691;Casablanca
PROV1692;Huribka
PROV1693;Sawira
PROV1694;Agadir
PROV1695;Ifni
PROV1696;Tarfaya
PROV1697;Figuig
PROV1698;Rashidia
PROV1699;Warzazat
PROV1700;Algiers
PROV1701;Bougie
PROV1702;Setif
PROV1703;Medea
PROV1704;Oran
PROV1705;Tlemcen
PROV1706;Mustaghanim
PROV1707;Mascara
PROV1708;Constantine
PROV1709;Bone
PROV1710;Biskra
PROV1711;Ouargla
PROV1712;Tuggurt
PROV1713;Laghwat
PROV1714;Bechar
PROV1715;Naama
PROV1716;Tindouf
PROV1717;Chenachene
PROV1718;In Salah
PROV1719;Ilizi
PROV1720;Timimoun
PROV1721;In Guezzam
PROV1722;Tin Zawatene
PROV1723;Balboa
PROV1724;Tamanrasset
PROV1725;Tunis
PROV1726;Bizerte
PROV1727;Gafsa
PROV1728;Kairouan
PROV1729;Tozeur
PROV1730;Gabes
PROV1731;Tripoli
PROV1732;Gharyan
PROV1733;Misratah
PROV1734;Sirt
PROV1735;Benghazi
PROV1736;Darna
PROV1737;Tobruk
PROV1738;Jaghbub
PROV1739;Kufra
PROV1740;Waddan
PROV1741;Murzuk
PROV1742;Sabha
PROV1743;Ghat
PROV1744;Ghadamis
PROV1745;Cairo
PROV1746;Dumyat
PROV1747;Tanta
PROV1748;Mansura
PROV1749;Ziqaziq
PROV1750;Giza
PROV1751;Alexandria
PROV1752;Matruh
PROV1753;Sidi Barrani
PROV1754;Siwa
PROV1755;Suez
PROV1756;Al Arish
PROV1757;Sharm al-Shaykh
PROV1758;Farafra
PROV1759;Bawiti
PROV1760;Mut
PROV1761;Baris
PROV1762;Asyut
PROV1763;Bani Suwayf
PROV1764;Minya
PROV1765;Fayyum
PROV1766;Aswan
PROV1767;Luxor
PROV1768;Idfu
PROV1769;Qina
PROV1770;Qusayr
PROV1771;Marsa Alam
PROV1772;Ras Gharib
PROV1773;Aaiun
PROV1774;Dakhla
PROV1775;Nouakchott
PROV1776;Rosso
PROV1777;Aleg
PROV1778;Maghama
PROV1779;Shingit
PROV1780;Tichit
PROV1781;Walata
PROV1782;Bir Murghayn
PROV1783;Dakar
PROV1784;Saint-Louis
PROV1785;Banjul
PROV1786;Linguere
PROV1787;Diourbel
PROV1788;Kaolack
PROV1789;Podor
PROV1790;Matam
PROV1791;Bakel
PROV1792;Ziguinchor
PROV1793;Velingara
PROV1794;Bamako
PROV1795;Kayes
PROV1796;Nioro
PROV1797;Kita
PROV1798;Bougouni
PROV1799;Sikasso
PROV1800;Segu
PROV1801;Mourdiah
PROV1802;Jenne
PROV1803;Timbuktu
PROV1804;Bandiagara
PROV1805;Gao
PROV1806;Taoudenni
PROV1807;Tessalit
PROV1808;Niamey
PROV1809;Say
PROV1810;Dosso
PROV1811;Maradi
PROV1812;Agades
PROV1813;Arlit
PROV1814;Madama
PROV1815;Zinder
PROV1816;Kufe
PROV1817;Bilma
PROV1818;Massenya
PROV1819;Moundou
PROV1820;Bongor
PROV1821;Abeche
PROV1822;Am Timan
PROV1823;Mongo
PROV1824;Mao
PROV1825;Zouar
PROV1826;Faya
PROV1827;Khartoum
PROV1828;Wad Madani
PROV1829;Kassala
PROV1830;Sennar
PROV1831;Rabak
PROV1832;Fashoda
PROV1833;Suakin
PROV1834;Halaib
PROV1835;Dongola
PROV1836;Hayya
PROV1837;Atbara
PROV1838;Obeid
PROV1839;Nuhud
PROV1840;Kaduqli
PROV1841;Fasher
PROV1842;Junaynah
PROV1843;Waw
PROV1844;Bor
PROV1845;Yambio
PROV1846;Lado
PROV1847;Kapoeta
PROV1848;Asmara
PROV1849;Massawa
PROV1850;Akordat
PROV1851;Assab
PROV1852;Gonder
PROV1853;Debre Tabor
PROV1854;Matamma
PROV1855;Debre Markos
PROV1856;Aksum
PROV1857;Antalo
PROV1858;Awsa
PROV1859;Ankober
PROV1860;Awasa
PROV1861;Aselia
PROV1862;Bonga
PROV1863;Asosa
PROV1864;Negele
PROV1865;Harer
PROV1866;Goba
PROV1867;Werder
PROV1868;Mogadishu
PROV1869;Baidoa
PROV1870;Kismayo
PROV1871;Hobyo
PROV1872;Bosaso
PROV1873;Berbera
PROV1874;Zeyla
PROV1875;Djibuti
PROV1876;Cape Verde
PROV1877;Bissau
PROV1878;Gabu
PROV1879;Boffa
PROV1880;Timbo
PROV1881;Dinguiraye
PROV1882;Kankan
PROV1883;Beyla
PROV1884;Freetown
PROV1885;Falaba
PROV1886;Bo
PROV1887;Monrovia
PROV1888;Harper
PROV1889;Bopolu
PROV1890;Gbarnga
PROV1891;Zwedru
PROV1892;Grand Lahou
PROV1893;Sassandra
PROV1894;Grand Bassam
PROV1895;Bouake
PROV1896;Man
PROV1897;Akoupe
PROV1898;Kong
PROV1899;Bondouku
PROV1900;Odienne
PROV1901;Wagadugu
PROV1902;Wahiguya
PROV1903;Dori
PROV1904;Fada Ngourma
PROV1905;Bobo Dioulasso
PROV1906;Orodaro
PROV1907;Accra
PROV1908;Cape Coast
PROV1909;Sekondi
PROV1910;Kumasi
PROV1911;Kintampo
PROV1912;Wa
PROV1913;Tamale
PROV1914;Lome
PROV1915;Ho
PROV1916;Yendi
PROV1917;Atakpame
PROV1918;Sokode
PROV1919;Cotonou
PROV1920;Abomey
PROV1921;Nikki
PROV1922;Jugu
PROV1923;Lagos
PROV1924;Abeokuta
PROV1925;Ibadan
PROV1926;Ife
PROV1927;Ilorin
PROV1928;Benin
PROV1929;Akure
PROV1930;Lokoja
PROV1931;Warri
PROV1932;Bonny
PROV1933;Awka
PROV1934;Calabar
PROV1935;Aruchukwu
PROV1936;Makurdi
PROV1937;Tukari
PROV1938;Bussa
PROV1939;Zaria
PROV1940;Bida
PROV1941;Abuja
PROV1942;Bauchi
PROV1943;Jos
PROV1944;Gombe
PROV1945;Kano
PROV1946;Kebbi
PROV1947;Katsina
PROV1948;Sokoto
PROV1949;Hadejia
PROV1950;Yola
PROV1951;Kuka
PROV1952;Nguru
PROV1953;Dikoa
PROV1954;Săo Tomé
PROV1955;Fernando Pó
PROV1956;Douala
PROV1957;Buea
PROV1958;Kribi
PROV1959;Yaounde
PROV1960;Bafoussam
PROV1961;Bamenda
PROV1962;Bertoua
PROV1963;Ngaoundere
PROV1964;Maroua
PROV1965;Bangui
PROV1966;Nola
PROV1967;Bouar
PROV1968;Bossangoa
PROV1969;Zemio
PROV1970;Bangassou
PROV1971;Ndele
PROV1972;Libreville
PROV1973;Bata
PROV1974;Mayumbe
PROV1975;Moanda
PROV1976;Makokou
PROV1977;Nkuna
PROV1978;Madingou
PROV1979;Biloka
PROV1980;Djambala
PROV1981;Impfondo
PROV1982;Kinshasa
PROV1983;Boma
PROV1984;Kananga
PROV1985;Kumbana
PROV1986;Lusambo
PROV1987;Bunkeya
PROV1988;Mussumba
PROV1989;Munza
PROV1990;Nyangwe
PROV1991;Uvira
PROV1992;Basoko
PROV1993;Irebu
PROV1994;Nsheng
PROV1995;Gemena
PROV1996;Kisangani
PROV1997;Mungbane
PROV1998;Baramo
PROV1999;Luanda
PROV2000;Cabinda
PROV2001;Mbanza
PROV2002;Quibala
PROV2003;Benguela
PROV2004;Moçâmedes
PROV2005;Huambo
PROV2006;Kuito
PROV2007;Mavinga
PROV2008;Ondjiva
PROV2009;Malanje
PROV2010;Saurimo
PROV2011;Kubanda
PROV2012;Lusaka
PROV2013;Mongu
PROV2014;Kasempa
PROV2015;Monzo
PROV2016;Kazembe
PROV2017;Kasema
PROV2018;Chipata
PROV2019;Entebbe
PROV2020;Mbarara
PROV2021;Masindi
PROV2022;Kitgum
PROV2023;Jinja
PROV2024;Nairobi
PROV2025;Marsabit
PROV2026;Lodwar
PROV2027;Nakuru
PROV2028;Kisumu
PROV2029;Mombasa
PROV2030;Lamu
PROV2031;Wajir
PROV2032;Garissa
PROV2033;Voi
PROV2034;Kigali
PROV2035;Usumbura
PROV2036;Dar Es Salaam
PROV2037;Tanga
PROV2038;Kilwa
PROV2039;Lindi
PROV2040;Songea
PROV2041;Masasi
PROV2042;Iringa
PROV2043;Tabora
PROV2044;Mwanza
PROV2045;Morogoro
PROV2046;Ujiji
PROV2047;Arusha
PROV2048;Zanzibar
PROV2049;Lourenzo Marques
PROV2050;Chaimate
PROV2051;Inhambane
PROV2052;Massekisse
PROV2053;Sena
PROV2054;Tete
PROV2055;Songo
PROV2056;Zumbo
PROV2057;Sofala
PROV2058;Mossurize
PROV2059;Quelimane
PROV2060;Moçambique
PROV2061;Angoche
PROV2062;Shangzhou
PROV2063;Ibo
PROV2064;Nampula
PROV2065;Milange
PROV2066;Zomba
PROV2067;Lilongwe
PROV2068;Harare
PROV2069;Gweru
PROV2070;Mutare
PROV2071;Bulawayo
PROV2072;Hwange
PROV2073;Masvingo
PROV2074;Gaborone
PROV2075;Serowe
PROV2076;Nokaneng
PROV2077;Tsabong
PROV2078;Windhoek
PROV2079;Swakopmund
PROV2080;Tsumeb
PROV2081;Linyati
PROV2082;Otjinene
PROV2083;Walvis Bay
PROV2084;Angra Pequena
PROV2085;Nu-gouses
PROV2086;Karasburg
PROV2087;Cape Town
PROV2088;Springbok
PROV2089;Worcester
PROV2090;Swettenham
PROV2091;Mossel Bay
PROV2092;Beaufort
PROV2093;Calvinia
PROV2094;Kimberley
PROV2095;Dikathong
PROV2096;Port Elizabeth
PROV2097;Graaf Reinet
PROV2098;Bisho
PROV2099;Mathele
PROV2100;Umtata
PROV2101;Bloemfontein
PROV2102;Winburg
PROV2103;Philippolis
PROV2104;Thaba Bosiu
PROV2105;Pretoria
PROV2106;Witwatersrand
PROV2107;Klerksdorp
PROV2108;Mosega
PROV2109;Lydenburg
PROV2110;Thohoyandu
PROV2111;Durban
PROV2112;Ladysmith
PROV2113;Ulundi
PROV2114;Mbabane
PROV2115;Tananarive
PROV2116;Fianarantsoa
PROV2117;Ampanihy
PROV2118;Tolanaro
PROV2119;Toamasina
PROV2120;Antsiranana
PROV2121;Mahajanga
PROV2122;Toliara
PROV2123;Comoros
PROV2124;Mayotte
PROV2125;Mauritius
PROV2126;Bourbon
PROV2127;Seychelles
PROV2128;Diego Garcia
PROV2129;Saint Helena
PROV2130;Ascension
PROV2131;Falkland Islands
PROV2132;Tristan da Cunha
PROV2133;South Georgia
PROV2134;Azores
PROV2135;Madeira
PROV2136;Canary Islands
PROV2137;Hermosillo
PROV2138;Loreto
PROV2139;Rosarito
PROV2140;Nogales
PROV2141;Guaymas
PROV2142;Chihuahua
PROV2143;Paso del Norte
PROV2144;Delicias
PROV2145;Parral
PROV2146;Monterrey
PROV2147;Morelos
PROV2148;Reynosa
PROV2149;Matamoros
PROV2150;Ciudad Victoria
PROV2151;Saltillo
PROV2152;Monclova
PROV2153;Durango
PROV2154;Santa María del Oro
PROV2155;Torreón
PROV2156;Mazatlán
PROV2157;Culiacán
PROV2158;Zacatecas
PROV2159;San Luis Potosí
PROV2160;Aguascalientes
PROV2161;Tepic
PROV2162;Veracruz
PROV2163;Tampico
PROV2164;Minatitlán
PROV2165;Villahermosa
PROV2166;Guadalajara
PROV2167;Guanajuato
PROV2168;Puerto Vallarta
PROV2169;Colima
PROV2170;Morelia
PROV2171;Los Albańiles
PROV2172;Mexico City
PROV2173;Querétaro
PROV2174;Toluca
PROV2175;Tulancingo
PROV2176;Puebla
PROV2177;Oaxaca
PROV2178;Collataro
PROV2179;Acapulco
PROV2180;Chilpancingo
PROV2181;Tuxtla
PROV2182;Tapachula
PROV2183;Mérida
PROV2184;Campeche
PROV2185;Bacalar
PROV2186;Guatemala
PROV2187;Quetzaltenango
PROV2188;Puerto Barrios
PROV2189;Sayaxché
PROV2190;Belize
PROV2191;San Salvador
PROV2192;San Miguel
PROV2193;Comayagua
PROV2194;San Pedro Sula
PROV2195;La Ceiba
PROV2196;Puerto Lempira
PROV2197;Managua
PROV2198;Rivas
PROV2199;León
PROV2200;Bluefields
PROV2201;San José
PROV2202;Liberia
PROV2203;Limón
PROV2204;Panama City
PROV2205;David
PROV2206;Penonomé
PROV2207;Sainshand
PROV2208;Yaviza
PROV2209;Havana
PROV2210;Jagua
PROV2211;Camagüey
PROV2212;Santiago de Cuba
PROV2213;Port Au Prince
PROV2214;Santo Domingo
PROV2215;Cap Haitien
PROV2216;La Vega
PROV2217;Jamaica
PROV2218;Cayman Islands
PROV2219;Bahamas
PROV2220;Turks And Caicos
PROV2221;Nanjing
PROV2222;Puerto Rico
PROV2223;Saint Thomas
PROV2224;Antigua
PROV2225;Montserrat
PROV2226;Tortola
PROV2227;Saint Kitts
PROV2228;Martinique
PROV2229;Barbados
PROV2230;Guadeloupe
PROV2231;Saint Lucia
PROV2232;Dominica
PROV2233;Grenada
PROV2234;Curacao
PROV2235;Aruba
PROV2236;Saint Martin
PROV2237;Trinidad
PROV2238;Tobago
PROV2239;Georgetown
PROV2240;Paramaribo
PROV2241;Cayenne
PROV2242;Mahdia
PROV2243;Essequibo
PROV2244;Christmas Island
PROV2245;Apetina
PROV2246;Maripasoula
PROV2247;Bogotá
PROV2248;Ibagué
PROV2249;Tunja
PROV2250;Manizales
PROV2251;Cúcuta
PROV2252;Medellín
PROV2253;Quibdó
PROV2254;Cartagena de Indias
PROV2255;Barranquilla
PROV2256;Cali
PROV2257;Popayán
PROV2258;Buenaventura
PROV2259;Pasto
PROV2260;San José del Guaviare
PROV2261;Obando
PROV2262;Casanare
PROV2263;El Encanto
PROV2264;Caracas
PROV2265;Guanare
PROV2266;Calabozo
PROV2267;Cumaná
PROV2268;San Felipe
PROV2269;Güiria
PROV2270;Maracaibo
PROV2271;Valera
PROV2272;Coro
PROV2273;Barquisimeto
PROV2274;Barinas
PROV2275;Angostura
PROV2276;Curiapo
PROV2277;El Jobal
PROV2278;San Fernando de Atabapo
PROV2279;Quito
PROV2280;Guayaquil
PROV2281;Esmereldas
PROV2282;Loja
PROV2283;Zamora
PROV2284;Tena
PROV2285;Galápagos
PROV2286;Iquitos
PROV2287;Yurimaguas
PROV2288;Yuncos
PROV2289;Puca Urco
PROV2290;Cajamarca
PROV2291;Piura
PROV2292;Trujillo
PROV2293;Huánuco
PROV2294;Moyobamba
PROV2295;Lima
PROV2296;Huancavelica
PROV2297;Ica
PROV2298;Huaraz
PROV2299;Ayacucho
PROV2300;Pucallpa
PROV2301;Puerto Maldonado
PROV2302;Cusco
PROV2303;Puno
PROV2304;Arequipa
PROV2305;Antofagasta
PROV2306;Sorocaba
PROV2307;Iquique
PROV2308;Arica
PROV2309;Calama
PROV2310;La Paz
PROV2311;Cochabamba
PROV2312;Oruro
PROV2313;Chuquisaca
PROV2314;Potosí
PROV2315;Tarija
PROV2316;Santa Cruz
PROV2317;San Ignacio
PROV2318;Roboré
PROV2319;Santa Ana
PROV2320;Riberalta
PROV2321;Cobija
PROV2322;Copiapó
PROV2323;La Serena
PROV2324;Santiago
PROV2325;Valparaíso
PROV2326;Vińa del Mar
PROV2327;Talca
PROV2328;Valdivia
PROV2329;Temuco
PROV2330;Cauquenes
PROV2331;Chillán
PROV2332;Osorno
PROV2333;Puerto Aisén
PROV2334;Punta Arenas
PROV2335;Porvenir
PROV2336;Easter Island
PROV2337;Fortin Falcon
PROV2338;Puerto Guaraní
PROV2339;Asuncion
PROV2340;Pilar
PROV2341;Encarnación
PROV2342;San Pedro
PROV2343;Concepción
PROV2344;Montevideo
PROV2345;Paysandú
PROV2346;Tacuarembó
PROV2347;Melo
PROV2348;Buenos Aires
PROV2349;Junín
PROV2350;Azul
PROV2351;La Plata
PROV2352;Mar del Plata
PROV2353;Trenque Lauquen
PROV2354;Bahía Blanca
PROV2355;Carmen
PROV2356;Corrientes
PROV2357;Curuzú Cuatiá
PROV2358;Santo Tomás
PROV2359;Colón
PROV2360;Paraná
PROV2361;Sancti Spiritu
PROV2362;Reconquista
PROV2363;Rosario
PROV2364;Resistencia
PROV2365;Villa Ángela
PROV2366;Formosa
PROV2367;Xolotas
PROV2368;Salta
PROV2369;Jujuy
PROV2370;Cochinoca
PROV2371;Equia
PROV2372;Rivadavia
PROV2373;Tucumán
PROV2374;Catamarca
PROV2375;Vinchina
PROV2376;Santiago del Estero
PROV2377;Ańatuya
PROV2378;Mailín
PROV2379;Córdoba de Argentina
PROV2380;Villa Nueva
PROV2381;Río Cuarto
PROV2382;Renancó
PROV2383;San Luis
PROV2384;Mercedes
PROV2385;La Rioja
PROV2386;Santa Rita
PROV2387;San Juan
PROV2388;Calingasta
PROV2389;Mendoza
PROV2390;San Rafael
PROV2391;Neuquén
PROV2392;Viedma
PROV2393;Telén
PROV2394;Bariloche
PROV2395;Curacó
PROV2396;Rawson
PROV2397;Esquel
PROV2398;Puerto Deseado
PROV2399;Río Gallegos
PROV2400;Río Grande
PROV2401;Marabitanas
PROV2402;Manaus
PROV2403;Cachoeira
PROV2404;Tefe
PROV2405;Borba
PROV2406;Cocos Islands
PROV2407;Tabatinga
PROV2408;Oriximina
PROV2409;Saint Vincent
PROV2410;Belém
PROV2411;Santarém
PROV2412;Óbidos
PROV2413;Marabá
PROV2414;Amapá
PROV2415;Macapá
PROV2416;Dourados
PROV2417;Vila Bela
PROV2418;Cuiabá
PROV2419;Corumbá
PROV2420;Iguatemi
PROV2421;Vila Boa
PROV2422;Aganja
PROV2423;Palmas
PROV2424;Săo Luís
PROV2425;Chapada
PROV2426;Teresina
PROV2427;Oeiras
PROV2428;Paraíba
PROV2429;Fortaleza
PROV2430;Crato
PROV2431;Natal
PROV2432;Recife
PROV2433;Cabrobo
PROV2434;Maceió
PROV2435;Aracaju
PROV2436;Salvador de Bahia
PROV2437;Juazeiro
PROV2438;Vila do Barra
PROV2439;Porto Seguro
PROV2440;Vitória da Conquista
PROV2441;Ouro Preto
PROV2442;Sabará
PROV2443;Januária
PROV2444;Paracatu
PROV2445;Uberaba
PROV2446;Săo Joăo del Rey
PROV2447;Rio de Janeiro
PROV2448;Campos
PROV2449;Vitória
