ui_element_name;Name: ?Y$x$?!
pop_budget_explanation_everyday_needs;Pop will spend ?Y$x$?W (out of desired ?Y$y$?W) on everyday needs. Ratio: ?Y$val$?W
pop_budget_explanation_luxury_needs;Pop will spend ?Y$x$?W (out of desired ?Y$y$?W) on luxury needs. Ratio: ?Y$val$?W
pop_budget_explanation_education;Pop will spend ?Y$x$?W on education needs. See details in education tooltip.
pop_budget_explanation_investments;Pop will spend ?Y$x$?W on investments.
pop_budget_explanation_banks;Pop will provide ?Y$x$?W to national bank.
pop_growth_topbar;It's expected to grow by ?G$x$?W within the next month.
pop_growth_topbar_2;population changed by ?G$x$?W in the last ?Y30?W days.
pop_growth_topbar_3;Our Adult male population is ?Y$curr$?W. Our adult male
pop_growth_topbar_4;Our total population is ?Y$val$?W.
pop_growth_1;Monthly pop growth: 
pop_growth_2;As this pop is a slave, its growth is divided by ?Y$val$?W.
pop_growth_3;Pop growth is proportional to the size of the pop times the sum of:
pop_growth_4;The growth factor ?Y$x$?W, which is the sum of:
pop_growth_5;The life rating of the province ?Y$x$?W minus the minimum life rating ?Y$y$?W, all times ?Y$val$?W, giving a total ?Y$value$?W popgrowth
pop_growth_6;The base pop growth value ?Y$x$?W
pop_growth_7;The local population-growth modifier ?Y$x$?W
pop_growth_8;The national population-growth modifier ?Y$x$?W
pop_growth_9;A pop growth penalty of ?Y$x$?W is applied due to starvation. Starvation is caused by the pop's life needs fufillment (currently ?Y$y$?W) being less than the starvation limit of ?Y$val$?W
pop_growth_10;The starvation penalty is computed by first taking the max starvation penalty (?Y$x$?W) and adding it to all growth modifiers (?Y$val$?W), giving the ?Ypenalty scale?W (?Y$y$?W), with a min possible result of of ?Y$x$?W
pop_growth_11;Then, subtract the starvation limit (?Y$x$?W) from the pops life need fufillment, and divide it by the starvation limit (?Y$x$?W), with a max possible result of 0. This gives the ?Ystarvation factor?W (?Y$y$?W)
pop_growth_12;Lastly, multiply the ?Ystarvation factor?W (?Y$x$?W) and ?Ypenalty scale?W (?Y$y$?W) to get the net pop growth penalty (?Y$val$?W), which is then added to the rest of the modifiers
pop_assim_1;Monthly pop assimilation: $x$
pop_assim_2;Slaves do not assimilate
pop_assim_3;Pops of an accepted culture do not assimilate
pop_assim_4;Pops in colonial provinces do not assimilate
pop_assim_5;Pops in overseas provinces do not assimilate
pop_assim_6;Assimilation is proportional to the size of the pop times the sum of base assimilation of microcultures $x$ and the product of:
pop_assim_7;The base assimilation scale: $x$
pop_assim_8;The national assimilation-rate modifier: $x$
pop_assim_9;The local assimilation-rate modifier: $x$
pop_assim_10;0.1 for not having an overseas culture
pop_assim_11;$x$ from cores present in the province
pop_assim_12;Variable assimilation factors: $x$
pop_conver_1;Monthly pop conversion: $x$
pop_conver_2;Pops of the state religion do not convert
pop_conver_3;Pops do not convert unless there are pops of the state religion in the same province
pop_conver_4;Conversion is proportional to the size of the pop times the product of:
pop_conver_5;The base conversion scale: $x$
pop_conver_6;The national conversion-rate modifier: $x$
pop_conver_7;The local conversion-rate modifier: $x$
pop_conver_8;Variable conversion factors: $x$
pop_issue_attraction_1;Issue attraction: $x$
pop_issue_attraction_2;This reform is not currently possible
pop_issue_attraction_3;Issue attraction is the product of:
pop_issue_attraction_4;The national modifier to social reform desire: $x$
pop_issue_attraction_5;The national modifier to political reform desire: $x$
pop_issue_attraction_6;And the issue attraction factor: $x$
pop_ideology_attraction_1;Ideology attraction: $x$
pop_ideology_attraction_2;This ideology is not currently available
trade_setting_drawing;Drawing on stockpiles
trade_setting_filling;Filling stockpiles
trade_setting_stable;No stockpile activity
trade_commodity_report_1;Current global demand: $x$
trade_commodity_report_2;Current global production: $x$
trade_commodity_report_3;Current global consumption: $x$
trade_commodity_report_4;Amount on world market: $x$
trade_fill;Fill
trade_use;Draw upon
trade_stockpile_target;Stockpile target amount:
trade_stockpile_current;Current stockpile: 
diplomacy_wx_1;Monthly war exhaustion: 
influence_explain_1;We are currently banned and accumulate no influence with this nation
influence_explain_2;We have a truce with this nation and accumulate no influence with it
influence_explain_3;We are at war with this nation and accumulate no influence with it
influence_explain_4;We accumulate, with all nations, a total of $x$ influence daily.
influence_explain_5;This is the product of the base influence gain rate ($x$) times our national influence modifier ($y$) times our influence modifier from technology ($val$)
influence_explain_6;National influence modifier: $x$
influence_explain_7;Influence modifier from technology: $x$
influence_explain_8;This is divided among the nations we are influencing, resulting in a base daily gain of: $x$
influence_explain_9;which is further multiplied by 1 plus the sum of the following factors:
influence_explain_10;$x$ from being discredited
influence_explain_11;$x$ from being neighbors
influence_explain_12;$x$ from having one or more of our sphere members as a neighbor
influence_explain_13;$x$ from not having its capital on the same continent as ours
influence_explain_14;$x$ from being our subject
influence_explain_15;$x$ from our relationship
influence_explain_16;$x$ from our investment in the nation
influence_explain_17;$x$ from the size of the target nation
influence_explain_18;$x$ from our relative score
until_date;Until $x$
add_wg_1;You can't add a war goal against yourself
add_wg_2;You are at war
add_wg_3;You have at least $x$ diplomatic point(s)
add_wg_4;Current jingoism support ($x$) meets the threshold required to add a war goal ($y$)
add_wg_5;A status quo war goal has not been added to your side
intervene_1;Intervene in war
intervene_2;Intervene in great war
intervene_3;Is a great power
intervene_4;Isn't involved in a crisis
intervene_5;It has been at least $x$ month(s) since the war started
intervene_6;Joining the war would not place you at war against the same nation twice or both fighting with and against the same nation
intervene_7;Isn't a crisis war
intervene_8;Joining would break a truce
intervene_9;Is supporting the defender
intervene_10;Defenders have no war goals other than status quo
intervene_11;Attacker's war score is at least $x$
intervene_12;War exhaustion is less than $x$
intervene_13;Relations with the war leader are at least $x$
intervene_14;None of your sphere members are on the opposing side
intervene_15;None of your allies are on the opposing side
intervene_16;None of your armies are located in provinces owned by the opposing side
intervene_17;Primary defender has a friendly opinion of you
military_score_explain_1;Capital ship score: $x$
military_score_explain_2;Recruitable regiments: $x$
military_score_explain_3;Active regiments: $x$
military_score_explain_4;Is disarmed? (penalty factor of $x$)
military_score_explain_5;Supply consumption modifier: $x$
military_score_explain_6;Average land unit score: $x$
military_score_explain_7;Total number of leaders: $x$
industry_score_explain_2;The following foreign investments also add up (weight factor $x$):
industry_score_explain_3;$y$ in $x$
war_goal_1;Added by: $x$
war_goal_2;Targeting: $x$
war_goal_3;For state: $x$
war_goal_4;Secondary nation: $x$
war_goal_5;Ticking war score: $x$
war_goal_6;If we occupy ?Y$x$?! of the the provinces, we will gain ?Y$y$?! ticking war score (relative to the fraction of occupied provinces)
war_goal_7;We have a grace period of ?Y$x$?! days to occupy, otherwise we will lose ?Y$y$?! ticking war score daily
war_goal_8;War started in ?Y$x$?!, we should fullfill by ?Y$y$?!, before the grace period ?Rruns out?!
war_goal_9;The grace period ?Rhas ran out?! (period was from ?Y$x$?! to ?Y$y$?!)
war_goal_10;Secondary tag: $x$
utt_unit;($country$) - $unit$ ($leader$)\n ($infantry$ / $cavalry$ / $special$)
utt_noleader;no leader
war_score_1;From occupation: $x$
war_score_2;From battles: $x$
war_score_3;From war goals: $x$
war_score_4;From blockades: $x$
dp_inf_tooltip_ban;Embassy banned until $x$
dp_inf_tooltip_discredit;Discredited until $x$
discredit_explain_1;You can't discredit yourself
discredit_explain_2;The target's opinion of you is better than hostile
discredit_explain_3;The great power is not banned
iaction_explain_1;You have at least $x$ influence with the target
iaction_explain_2;Your embassy is not banned
iaction_explain_3;You are not at war with the target
iaction_explain_4;The target's opinion of the great power is at most equal to their opinion of you
expel_explain_1;You can't expel your own advisors
expel_explain_2;The target's opinion of you is at least neutral
ban_explain_1;You can't ban your own embassy
ban_explain_2;The target's opinion of you is at least friendly
dec_op_explain_1;You can't decrease a nation's opinion of you
dec_op_explain_2;You can't decrease a nation's opinion of their sphere leader
dec_op_explain_3;The target's opinion of you is better than hostile
dec_op_explain_4;The target's opinion of a great power can't be made worse than hostile
iaction_explain_5;You're a great power
iaction_explain_6;The target is not a great power
state_transfer_di;State transfer
state_transfer_button;State transfer
state_transfer_offer;$actor$ is offering to give us the states of:
state_transfer_desc;Transfers the ownership of one state to another nation, useful for negotiations beyond the game's scope
state_transfer_explain_1;The target nation is a player
state_transfer_explain_2;There isn't any crisis currently
state_transfer_explain_3;We're not subjects
state_transfer_explain_4;They're not subjects
state_transfer_explain_5;We're at peace
state_transfer_explain_6;We have more than 1 state
state_transfer_explain_7;Must be in a subject-overlord relationship
unit_upgrade_desc;Changes units to different type. After swap, unit strength is reduced to 1%
unit_upgrade_explain_1;Either land or sea units are selected
unit_upgrade_explain_2;Unit type is  unlocked
unit_upgrade_explain_3;Small ships cannot be converted to big ones
unit_upgrade_explain_4;Army is not retreating, in battle, or on transport ships
unit_upgrade_explain_5;Navy is not retreating, in battle, or transports armies
unit_upgrade_explain_6;Navy is docked in a naval base of sufficient level
cancel_ally_explain_1;You can't cancel an alliance with yourself
cancel_ally_explain_2;You have at least $x$ diplomatic point(s)
cancel_ally_explain_3;You're currently allied
cancel_ally_explain_4;You're not currently in a war together
cancel_ally_explain_5;You're not a vassal of the target nation
ally_explain_1;You can't form an alliance with yourself
ally_explain_2;You have at least $x$ diplomatic point(s)
ally_explain_3;You're not currently allied
ally_explain_4;You're not both great powers while a crisis is ongoing
ally_explain_5;You're not a subject nation
ally_explain_6;You're not currently at war with the target
ally_explain_7;The AI will accept
ally_explain_8;The target isn't a subject nation
call_ally_explain_1;You have an alliance with this nation, or this nation is your subject
call_ally_explain_2;You have at least $x$ diplomatic point(s)
call_ally_explain_3;You're at war
call_ally_explain_4;There is a war this nation can be called into
call_ally_explain_5;The AI will accept
call_ally_explain_6;Spherelord is not in the war on the enemy side
cancel_access_explain_1;You have at least $x$ diplomatic point(s)
ask_access_explain_1;You can't get military access from yourself
ask_access_explain_2;You have at least $x$ diplomatic point(s)
ask_access_explain_3;The AI will accept
ask_access_explain_4;You are not currently at war with the target
ask_access_explain_5;Nation is your subject
cancel_given_access_explain_1;You have at least $x$ diplomatic point(s)
cancel_given_access_explain_2;You are not a subject of this nation
give_access_explain_1;You can't give military access to yourself
give_access_explain_2;You have at least $x$ diplomatic point(s)
give_access_explain_3;You are not currently at war with the target
increase_rel_explain_1;Improves our relations by ?G+$x$
increase_rel_explain_2;You can't increase your relationship with yourself
increase_rel_explain_3;You have at least $x$ diplomatic point(s)
increase_rel_explain_4;Current relations are less than 200
increase_rel_explain_5;You are not currently at war with the target
decrease_rel_explain_1;Worsens our relations by ?R$x$
decrease_rel_explain_2;You can't decrease your relationship with yourself
decrease_rel_explain_3;You have at least $x$ diplomatic point(s)
decrease_rel_explain_4;Current relations are greater than -200
decrease_rel_explain_5;You are not currently at war with the target
cancel_w_sub_explain_1;Currently we are subsidizing this nation ?Y$x$?! per day
cancel_w_sub_explain_2;You have at least $x$ diplomatic point(s)
w_sub_explain_1;You can't offer war subsidies to yourself
w_sub_explain_2;You have at least $x$ diplomatic point(s)
w_sub_explain_3;You are not currently at war with the target
w_sub_explain_4;The target is at war
invention_bulb_1;This invention can't currently be discovered
invention_bulb_2;It is possible to discover this invention
invention_bulb_3;This invention has been discovered
not_implemented;This feature is not currently implemented
inc_op_explain_1;The nation's opinion of you is less than friendly
add_sphere_explain_1;The nation has a friendly opinion of you
add_sphere_explain_2;The nation is not currently sphered by another great power
rem_sphere_explain_1;The nation is currently sphered by a great power
rem_sphere_explain_2;The nation has a friendly opinion of you
rem_sphere_explain_3;The nation is in your sphere of influence
rem_sphere_explain_4;Removing a nation from your own sphere of influence will increase your infamy by ?R$x$
rem_sphere_explain_5;Removing a nation from your own sphere of influence will reduce your prestige by ?R$x$
ask_free_trade_agreement;Trade agreement
revoke_trade_rights;Revoke trade rights
msg_trade_rights_revoked;Nation ?Y$y$?W has revoked free trade rights of ?Y$x$?! in their country.
trade_rights_desc;Trade rights or unequal treaties give the other party preferential treatment in trade ignoring tariffs of our country. Once imposed, cannot be revoked for ?Y$x$ years.
revoke_trade_rights_explain_1;Enough time has passed since trade rights were imposed
revoke_trade_rights_explain_2;We have the rights to revoke the agreement
free_trade_desc;If another party agrees, we'll enter into trade agreement removing all tariffs between our nations and our markets (spheres & subjects) for ?Y$x$ years?W.
free_trade_explain_1;Our traders won't pay their tariffs until ?G$date$?!
free_trade_explain_2;Their traders won't pay our tariffs until ?R$date$?!
free_trade_explain_3;We are embargoeing them
free_trade_explain_4;They are embargoing us
free_trade_explain_5;Target is not a subject OR Target is a our subject
free_trade_explain_6;We aren't in a sphere
free_trade_explain_7;Target isn't in a sphere OR Target is in our sphere
free_trade_explain_8;$x$ and their spheres&subjects ?Ghas free trade with?! $y$ and their spheres&subjects.
issue_embargo;Issue Embargo
lift_embargo;Lift Embargo
embargo_desc;Embargo prevents all trade between our nations and their markets (spheres & subjects). Embargoes are applied automatically to enemies during war.
embargo_explain_1;$x$ and their spheres&subjects ?Gembargoes?! $y$ and their spheres&subjects.
embargo_explain_2;$x$ and their spheres&subjects ?Rembargoes?! $y$ and their spheres&subjects.
embargo_explain_3;We don't have trade rights in their country
embargo_explain_4;They don't have trade rights in our country
embargo_explain_5;We aren't in a sphere
embargo_explain_6;They aren't in a sphere
embargo_explain_7;The target isn't in our sphere
fab_explain_1;You can't justify war against yourself
fab_explain_2;You have at least $x$ diplomatic point(s)
fab_explain_3;You are not currently fabricating a casus belli
fab_explain_4;You are an independent nation or the target is your overlord
fab_explain_5;The target is not in your sphere of influence
fab_explain_6;You are not currently at war with the target
fab_explain_7;You can fabricate a casus belli
peace_description;Make a peace offer to end hostilities between you and this nation
peace_explain_1;Is not a subject nation
peace_explain_2;The target is not a subject nation
peace_explain_3;At least one of the negotiating parties is the war leader for their side
peace_explain_4;Both the parties are war leaders (crisis war)
peace_explain_5;You have no other peace offer in progress
war_explain_1;You can't declare war upon yourself
war_explain_2;You have a casus belli to use against this nation
war_explain_3;You have at least $x$ diplomatic point(s)
war_explain_4;You are not already in a war with this nation
war_explain_5;Does not have units stationed inside this nation
war_explain_6;Does not have units stationed inside this nation's overlord
war_explain_7;Is not allied to target
war_explain_8;Is not allied to target's overlord
war_explain_9;Target is not our spherelord AND is not allied to our spherelord
war_explain_10;Target is not our sphereling
wg_result_1;On adding this war goal:
wg_result_2;On achieving this war goal:
wg_result_3;On failing to achieve this war goal:
wg_not_ready;You must finish choosing a war goal
crisis_temperature_ex;The current crisis temperature is ?R$value$?W! Reaching ?R100?W will trigger a crisis war between the two sides
crisis_mode_no_crisis;There is no crisis
crisis_mode_finding_attacker;Finding a backer for the attacker side
crisis_mode_finding_defender;Finding a backer for the defender side
crisis_mode_heating_up;Crisis heating up
crisis_back_explain_1;You are interested in the crisis (on the fence)
crisis_back_explain_2;The crisis has attracted its initial backers
crisis_add_interest_button;Take an interest in this crisis
crisis_add_interest_button_ex_1;You are a great power
crisis_add_interest_button_ex_2;The crisis has attracted its initial backers
crisis_add_interest_button_ex_3;You have at least 1 diplomatic point
crisis_offer_button;Make an offer to this nation to join your side of the crisis
crisis_offer_button_ex_1;You are the leader of one of the crisis sides
crisis_offer_button_ex_2;The crisis has attracted its initial backers
crisis_offer_button_ex_3;You have at least 1 diplomatic point
multiunit_header;$x$ Units Selected
ai_alliance_1;The AI is currently seeking allies
ai_alliance_2;Your nation is close enough to assist in a war
ai_alliance_3;No conflicting ambitions
ai_alliance_4;Your nation's military is sufficiently strong
ai_alliance_5;Has shared mutual strategic interests
ai_access_1;The AI sees one of your wars as advantageous to them
col_start_title;Begin colonizing this state
col_start_1;No colonizers are present or colonization is still in the initial stage
col_start_2;Your nation is at least rank $x$
col_start_3;The state is not the target of a colonial crisis
col_start_4;You are not participating in a crisis war
col_start_5;The minimum life rating you can colonize ($x$) is less than or equal to the life rating of the state ($y$)
col_start_6;Base ?Y$x$
col_start_7;There are at most three other colonizers present
col_start_8;You are adjacent to the state or it is within naval range
col_start_9;You have at least $x$ free colonial points
col_invest_title;Invest in your colony
col_invest_1;Your nation is at least rank $x$
col_invest_2;The state is not the target of a colonial crisis
col_invest_3;You are not participating in a crisis war
col_invest_4;Without competition, you will be able to turn this state into a colony on $x$
col_invest_5;It has been $x$ days since your last investment (next investment possible on $y$)
col_invest_6;You have at least $x$ free colonial points
activated_by_with_a_chance_of;Activated by ?Y$x$?!, with a chance of:
unit_max_speed;Max Speed ?G$x$?! KPH
unit_attack;Attack ?G$x$
unit_hull;Hull ?G$x$
unit_fire_range;Firing Range ?G$x$
unit_supply_consumption;Supply Consumption ?R$x$
unit_supply_load;Supplies Weight ?R$x$
unit_defence;Defence ?G$x$
unit_discipline;Discipline ?G$x$
unit_maneuver;Maneuver ?G$x$
unit_recon;Reconaissance ?G$x$
unit_support;Support ?G$x$
unit_evasion;Evasion ?G$x$
unit_siege;Siege ?G$x$
unit_torpedo_attack;Torpedo Attack ?G$x$
unit_build_time;$x$ days
unit_build_unit_pop_size;$x$k
unit_build_unit_brigades;$x$/$y$
uv_sort_a;Att
uv_sort_b;Def
uv_sort_c;Org
uv_sort_d;Mor
uv_sort_e;Spd
uv_sort_f;Rec
uv_sort_g;Rel
uv_sort_h;Exp
alice_condition_diplo_points;Has atleast $x$ diplomatic points
alice_retreat;Retreat from battle
alice_retreat_1;It has been at least $x$ days since the battle started
alice_retreat_2;You are the lead attacker or defender
alice_province_select;Selects province
alice_province_deselect;Deselects province
alice_province_selector_on;ON
alice_province_selector_off;OFF
province_selector;Selector
province_immigrator;Immigrator
province_victory_points;Victory points represent relative worth of the province to other provinces in the country when calculating occupation score in wars.
province_victory_points_base;?G+1 point base?W
province_victory_points_nb;?G+$X$ points for naval base level?W
province_victory_points_fcount;?G+$X$ points for factories?W
province_victory_points_fortsize;?G+$X$ points for fort level?W
province_victory_points_mainlandcore;?Gx2 for non-overseas core?W
province_victory_points_capital;?Gx3 for nation capital?W
tt_a_bank;a bank
tt_a_university;a university
et_add_selector;enable province selector
et_remove_selector;disable province selector
et_add_immigrator;enable province immigrator
et_remove_immigrator;disable province immigrator
et_if;If
et_else_if;Else
modifier_province_selector;Province selector
modifier_province_immigrator;Province immigrator
modifier_conversion_rate;Conversion Rate
modifier_attrition;Attrition
chat_player_joins;$playername$ joined
chat_player_leaves;$playername$ left
chat_player_ban;$playername$ was banned
chat_player_kick;$playername$ was kicked
chat_player_switch;$playername$ has choosen $country$
chat_player_oos;$playername$ has OOSed!
chat_player_reload;$playername$ has reloaded players
alice_status_stream;Save progress $value$
alice_receiving_savegame;Loading savegame from host
alice_play_pending_client;$playername$ is not ready yet
alice_stockpile_button_0_0;National stockpiles function as a condiment to your usual economic-business activities, where people see ?Ggreen?W lines go up, and ?Rred?W lines go down, as per usual I'm ?Ynot?W a line graph so I mostly go unnoticed :)
alice_stockpile_button_1_0;If you click me 10 times you will receive nothing in return, just trust me, don't click me... ?ROR ELSE?W
alice_stockpile_button_1_1;I see, well now I'm not gonna say anything because I know you will keep clicking until I say a ?Ydifferent?W dialogue and that's just boring
alice_stockpile_button_1_2;Alright I can't make you stop, perhaps this will?
alice_stockpile_button_2_0;I'm a souless button, move on
alice_stockpile_button_3_0;Playing with friends aren't we? ?RWELL GOOD LUCK YOU WILL NEED IT?W
a_alert_reb;One or more of our sphere members has active rebels:
event_auto;Automatically choose this option for the remainder of the session.
event_taken_auto;This option will automatically be taken on ?Y$date$?W.
alice_load_unload_1;A navy docked here has sufficient capacity
alice_load_unload_2;The army is being transported
alice_load_unload_3;The transporting fleet is docked
alice_load_unload_4;One or more armies is being transported
alice_load_unload_5;The fleet is docked
alice_unload_fleet;Unload all armies transported by the fleet
auto_save_lb;Auto-save frequency
auto_save_1;Daily
auto_save_2;Monthly
auto_save_3;Yearly
auto_save_0;None
monthly_emigration_lab;Monthly emigration to (top 10)
monthly_immigration_lab;Monthly immigration from (top 10)
im_em_header;Predicted immigration/emigration for 
alice_unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W attrition
unit_arrival_time_text;(arrive on $date$)
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ by $date$ (ATK $attunit$ DEF $defunit$ Upkeep ?R$cost$?W)
unit_standing_text;$m$ $n$/$x$/$y$ (ATK $attunit$ DEF $defunit$ Upkeep ?R$cost$?W)
disarmed_pop;a member of a disarmed nation
cancel_fac_construction;Cancel factory construction
cancel_fac_upgrade;Cancel factory upgrade
kierkegaard_1;Either
kierkegaard_2;Or
open_and_sub;Subsidize & Reopen Factory
o_set_national_flag;Set national flag $text$ for the owner
o_add_modifier_until;Owner of the province gets $text$ until $date$
o_add_modifier;Owner of the province gets $text$
o_relations_with;Owner of the province's relation with $text$
o_add_to_treasury; for the owner of the province
w_rgo_prod;Global RGO production: $x$
w_artisan_prod;Global artisan production: $x$
w_artisan_profit;National artisan profit: $x$
w_artisan_distribution;National artisan distribution: $x$
w_fac_prod;Global factory production: $x$
alice_lose_gp;We are losing ?YGreat Power?! status!
alice_state_select_title;Select state
press_esc_to_cancel;Press ?YESC?! to cancel
fort_build_tt_1;The province is under your control
fort_build_tt_2;The province is not under siege
fort_build_tt_3;The current level, $x$, plus the province's difficulty level, $n$, is less than your current max level, $y$
nb_build_tt_1;The province is coastal
nb_build_tt_2;No other naval base has been built or is under construction in the state
rr_build_tt_1;Our ruling party allows the government to construct rail roads
tech_ol_tt;?G$x$?! from your overlord having this technology
tech_year_tt;?G$x$?! from the current year
disband_all;Disband all selected units
alice_play_checksum_host;Checksum mismatch with host, ensure you have the same mods and savefiles
alice_play_save_stream;Host is streaming a save to you, wait until it completes
alice_no_start_game_player_loading;Cannot start the game while players are loading
alice_no_start_game_invalid_nations;Cannot start the game while players are on non-existant nations
ai_will_accept_po;They will accept this offer
ai_will_not_accept_po;They will NOT accept this offer
close_and_del;Close & Delete Factory
cb_conditions_header;Conditions to use:
as_a_vassal;as a vassal
change_state_name_to;change state name to $text$
alice_join_crisis_offer;$ACTOR$ will give us the following if we join their side in the current crisis:
alice_unit_disable_rebel_hunt;Stop hunting rebels
alice_regiment_battle_info;$m$ $name$ ?Y$type$?!\nOrganisation: ?Y$organisation$?W\nStrength: ?Y$strength$?W
understaffed_regiment;?RThis regiment is understaffed and will only have $value$ soldiers!?W
tech_queue_explain;Press ?YSHIFT?W to add to queue, ?YRight-click?W to remove
alice_province_building_build;?YSHIFT?W to build on the entire ?Gstate?W.\n?YSHIFT-Right-click?W to build on the entire ?Gcountry?W.
commodity_shortage;?RThere is a shortage of this commodity
commodity_surplus;?GThere is a surplus of this commodity
alice_trade_flow_produced;?YDomestic production:
alice_trade_flow_consumed;?YDomestic consumption:
alice_trade_flow_label;Market overview:
alice_trade_flow_piechart_producers;Producers
alice_trade_flow_piechart_consumers;Consumers
alice_trade_flow_piechart_workforce;Investors
alice_diplo_release_subject;Release subject
alice_diplo_release_subject_desc;Releases one of our subjects, making them no longer our subject, alliances need to be broken separatedly
alice_diplo_release_subject_0;Is our subject
kill_leader;Kill leader
annex_null;becomes unowned
meets_the_conditions_of;meets the conditions of 
does_not_meet_the_conditions_of;does not meet the conditions of 
fab_finish_date;CB fabrication is expected to finish on $date$
fab_is_paused;CB fabrication is currently paused
macro_builder;Unit Builder
macro_total_desc;Total unit stats:
macro_new_template;New
macro_switch_type_land;Build army
macro_switch_type_naval;Build navy
macro_warn_overseas;?RCan't build this unit overseas!?!
macro_warn_culture;?RCan only build using primary culture POPs!?!
macro_warn_unlocked;?RUsing units not unlocked yet!?!
macro_select_province;Please select a province on the map
macro_warn_insuff;?RCan't build $x$ $name$ (only $y$)?!
macro_warn_invalid_province;?RProvince not part of a region?!
shortcut_tooltip;Shortcut: ?Y$x$?!
filter_all;Show ?Yall?! relevant nations.
filter_allies;Filter by nations we have an ?Yalliance?! with.\n?YRight-click?! to filter by nations which want to ally us.
filter_enemies;Filter by nations that are either ?Yenemies or at war with us?!.
filter_sphere;Filter by nations that are within our ?Ysphere of influence?!.\n?YRight-click?! to filter by nations which we are influencing but not on our sphere.
filter_neighbors;Filter by nations we share a ?Yborder?! with.\n?YRight-click?! to filter by nations we share a ?Yborder?! and are not ?Yvassals?!.
filter_best_guess;Filter using a ?Ybest guess?! by relevancy, this includes all ?Yallies?!, ?Yenemies?!, ?Yspherelings?! and nations we share a ?Yborder?! with.
alice_warn_war_ends_for_us;?RThis will end the war for everyone on our side?!.
alice_invention_chance;The chance of discovering this ?Yinvention?! are as follows:
is_primary_culture;?Y$NAME$?! is the primary culture.
is_primary_religion;?Y$NAME$?! is the primary religion.
religion_nation_modifier;Majority of the population professes ?Y$NAME$?!
when;When:
tt_can_use_nation;The conditions needed to allow the use of this wargoal:
et_on_add;The effects executed from adding this wargoal to a war:
et_on_po_accepted;The effects executed from accepting a peace offer with this wargoal:
alice_has_possible_units;Some unit can be built.
alice_no_possible_units;No possible units can be built, and no units are in construction.
CANBUILD_FORCEDISARM;Nation has not been disarmed.
alice_debt_spending;Enable/disable debt spending
alice_loan_size;Our current maximum loan is $x$. Debt greater than that will cause us to go bankrupt
alice_loan_size_mod;Max loan free money modifier: ?G+$x$
capitalists_savings_ratio;Capitalists saving ratio: ?G$x$?!
middle_class_savings_ratio;Middle class saving ratio: ?G$x$?!
farmers_savings_ratio;Farmers saving ratio: ?G$x$?!
landowners_savings_ratio;Landowners saving ratio: ?G$x$?!
capitalists_investment_ratio;Capitalists investment ratio: ?G$x$?!
middle_class_investment_ratio;Middle class investment ratio: ?G$x$?!
farmers_investment_ratio;Farmers investment ratio: ?G$x$?!
landowners_investment_ratio;Landowners investment ratio: ?G$x$?!
alice_currently_bankrupt;We are bankrupt (until $x$)
alice_no_loans_possible;We are currently unable to take loans
alice_rf_demands_enforced_trigger;The rebels will only enforce their demands if:
alice_rf_demands_enforced_effect;Once the rebels enforce their demands they will apply the following effect:
alice_rf_siege_won_trigger;If a rebel wins a siege, the following is checked for, for example in your capital $x$:
alice_rf_siege_won_effect;And if all of the above was true, the following effects apply, for example in your capital $x$:
may_month_name;May
alice_ca_cant_influence;We currently are unable to increase or decrease the opinion of other nations at the moment
alice_gp_status_regain_expiration;If we don't become rank ?Y$x$?W or higher, we will lose ?Ygreat power?W status by ?Y$date$?W!
alice_mil_decay_description;Natural decay ?G-$x$
alice_con_decay_description;Natural decay ?R-$x$
x_from_y;?Y$culture$?W $x$ from ?Y$y$?W
x_in_y;$x$ at $y$
alice_reserve_reg_count;$x$ currently have ?Y$y$?W reserve brigades in the battle.
alice_reinforce_battle_mod_top;?Y$x$?W reserve brigades affected by the following reinforcement modifiers:
alice_reinforce_battle_only_reserve;Only ?Yreserves?W in a battle can be reinforced.
alice_reinforce_battle_spending_modifier;Average army supply fufillment: ?Yx$x$.?W
alice_reinforce_battle_location_modifier;Average location modifier: ?Yx$x$.?W
alice_reinforce_battle_national_modifier;Average national modifiers&techs: ?Yx$x$.?W
alice_reinforce_rate_battle_attacker;The attackers can reinforce up to $x$ soldiers per month.
alice_reinforce_rate_battle_attacker_none;The attackers are currently getting no reinforcements.
alice_reinforce_rate_battle_defender;The defenders can reinforce up to $x$ soldiers per month.
alice_reinforce_rate_battle_defender_none;The defenders are currently getting no reinforcements.
reinforce_rate;This regiment can reinforce up to $x$ soldiers per month.
reinforce_rate_none;This regiment can't currently be reinforced.
alice_domestic_investment_button;Investing in individual projects is ?Rdeprecated?W, use the ?Ydomestic investment?W slider on the budget screen instead
alice_domestic_investment_pops;We have $x$ investors we can indirectly give generous donations to
alice_domestic_investment_needs;They require $x$ each day to satisfy their luxurious lifestyle
alice_budget_scaled_inc;Income: ?G$value$
alice_budget_scaled_1;Poor tax: ?G$value$
alice_budget_scaled_2;Middle tax: ?G$value$
alice_budget_scaled_3;Rich tax: ?G$value$
alice_budget_scaled_4;Tariffs: ?G$value$
alice_budget_scaled_exp;Expenses: ?R$value$
alice_budget_scaled_5;Army maintanance: ?R$value$
